_d4399 		September +... 
_d4403 		Naima remembers very well that Mommy spelled lap with the new letters that we got a couple of weeks ago . 
_d4403 		and is +...
_d4403 		a while ago .
_d4403 		and Naima thinks spelling always means a , p , or e , p , because of that . 
_d4403 		read , e , p , read . 
_d4403 		you know how to spell (.) that word . 
_d4403 		we need a clean piece of paper now don't we ? 
_d4403 		you've written on almost all of this paper . 
_d4403 		oh is there a sticker that says cool somewhere here , let's find it . 
_d4403 		you and grandma were playing with the stickers here . 
_d4403 		where's the one that says cool ? 
_d4403 		is there a  in his name ,  ,  ,  ? 
_d4403 		what's his name ? 
_d4403 		oh grandma made those faces ? 
_d4403 		Daddy's name is  . 
_d4403 		xxx , that's very nice but you can't say  ? 
_d4403 		you can say  but you can't say  ? 
_d4403 		Babaji's name is ? 
_d4403 		yes ,  . 
_d4403 		where is ,  here's the red one . 
_d4403 		I can't find that sticker that says cool , I don't know what happened to it . 
_d4403 		what is Great Grandma's name ? 
_d4403 		do you know ? 
_d4403 		Great Grandma's name ? 
_d4403 		xxx . 
_d4403 		yes , Mommy said it was  turtle and then , and then I realized I better tell you that it was just  because you'll tell her her name was  turtle when you see her , that says cool . 
_d4403 		cool . 
_d4403 		that one says shining success . 
_d4403 		that one says bright i:de:a . 
_d4403 		bright idea .
_d4403 		that one says impressive . 
_d4403 		impressive . 
_d4403 		Naima is impressive . 
_d4403 		and you write so nicely with the crayons . 
_d4403 		you write very nicely . 
_d4403 		grandma made faces , do you want to see them again ? 
_d4403 		can we find them ? 
_d4403 		not there ? 
_d4403 		where are the +..?
_d4403 		did you make those ? 
_d4403 		wow . 
_d4403 		lil [: little] circles ? 
_d4403 		that's hard to do . 
_d4403 		somebody helped you with that , let's see . 
_d4403 		where are the faces ? 
_d4403 		that's your name . 
_d4403 		Naima . 
_d4403 		and there's a face , did grandma make that face for you ? 
_d4404 		you left the crayons over there ? 
_d4404 		bring them here so we can play with them , draw and write . 
_d4404 		thank you ,  it looks like grandma spelled grandma and here are some faces ! 
_d4404 		lots_of faces . 
_d4404 		what should we draw ? 
_d4404 		should we draw a picture of our new house ?
_d4404 		I'm gonna draw a picture of our new house . 
_d4404 		you also , you're going to draw it too ?
_d4405 		and it kinda [: kind of] goes like that , (be)cause there's a room there . 
_d4405 		Mommy's not very good at drawing but this is in the new house , and there's some grass in the front yard , right ? 
_d4405 		I'm gonna draw the grass at the new house . 
_d4405 		grass , grass there and then where's the garage ? 
_d4405 		and the garage is over here and it has two doors . 
_d4405 		and , the house has windows too . 
_d4405 		the new house has windows .
_d4405 		and the front door is purple now , the front door at the new house is purple . 
_d4405 		what am I drawing ? 
_d4405 		yes , new house .
_d4405 		drawing the new house .
_d4405 		where's the green one ? 
_d4405 		we were listening to music this morning , who were we listening to ? 
_d4405 		what music were we listening to ? 
_d4405 		yeah , Patty Larkin . 
_d4405 		eyes on it , I think the cd cover has her eyes on it , the cd cover has her face and you can see her eyes . 
_d4406 		Daddy listened to Patty Larkin with you ? 
_d4406 		did Naima listen to Patty Larkin ? 
_d4406 		no , no drawing on the clothes , draw on the paper . 
_d4406 		yeah , all of us listened to Patty Larkin . 
_d4406 		everybody listened to Patty Larkin this morning . 
_d4406 		what else did you do this morning , did you make coffee ? 
_d4406 		did you help Daddy make the coffee ? 
_d4406 		where did you make the coffee ? 
_d4406 		tea , there was no tea ! 
_d4406 		did you make the coffee in the bathroom ? 
_d4406 		no ! 
_d4406 		where did you make the coffee ? 
_d4406 		where did you make the coffee this morning ? 
_d4406 		upstairs ! 
_d4406 		that's a joke , right ? 
_d4406 		yeah , you're making a joke !
_d4406 		you know that coffee +...
_d4406 		there's no kitchen upstairs !
_d4406 		what ?
_d4406 		nursey Daddy , that's another joke ! 
_d4406 		you're being funny now ,  , no , we do not draw on clothes . 
_d4406 		wash clothing in warm or hot water , okay ,  , check pockets for crayons before placing in dryer ,  . 
_d4406 		good idea .
_d4407 		not on clothes , right , you draw on the pa:per . 
_d4407 		what should we draw a picture of ? 
_d4407 		oh , wanna draw a picture of Daddy ?
_d4407 		a circle , that's right , you knew that was a circle ? 
_d4407 		I didn't know you knew what a circle was . 
_d4407 		a black circle .
_d4407 		this is a rectangle . 
_d4407 		and this is a square . 
_d4407 		what's this , do you know what this is ? 
_d4407 		it looks like a v , it's a triangle .
_d4407 		it looks like a v , part of it looks like a v . 
_d4407 		somebody taught you what a circle is , it wasn't me . 
_d4407 		Daddy taught you what a circle looks like ? 
_d4407 		what's this ? 
_d4407 		hmmm , that's a square . 
_d4407 		square . 
_d4407 		square ! 
_d4407 		square ! 
_d4407 		square sounds like squirrel . 
_d4407 		squirrel . 
_d4407 		and what else sounds like squirrel , how bout [: about] squeak ? 
_d4407 		squeak . 
_d4407 		a mouse squeaks ? 
_d4407 		xxx . 
_d4407 		guinea pig squeaks too . 
_d4407 		doors squeak sometimes .
_d4407 		door +//.
_d4407 		Naima , what are you doing ? 
_d4407 		no , I'm gonna put the crayons away now . 
_d4407 		crayons away .
_d4407 		crayons away , can you put it in the box ?
_d4407 		good job ! 
_d4407 		crayons away , it's time to put the crayons away .
_d4407 		I see more crayons over there , can you put them away too ? 
_d4407 		crayons away , crayons away . 
_d4407 		do you wanna sit on the potty to poop ? 
_d4407 		crayons away , it's time to put the crayons away . 
_d4407 		do they fit ,  they fit , one more , the brown crayon . 
_d4407 		okay , are you gonna put it in , I think it will fit right (.) there . 
_d4407 		good job , we put the crayons away , d'you [: do you] need to go potty ? 
_d4407 		okay , well the potty is in the bathroom if you decide you wanna [: want to] use it ? 
_d4407 		if you feel like sitting on it , you can sit on it . 
_d4407 		oh , you found the comb . 
_d4407 		now that's a squeaky potty . 
_d4407 		let's come in this room , let's come in here , are you gonna [: going to] sit on the potty ? 
_d4407 		okay .
_d4407 		okay . 
_d4407 		the potty is going to bed ? 
_d4407 		mmmm , here's the ball , let's put the potty where it belongs , d'you [: do you] know where it belongs ? 
_d4407 		yeah , we're gonna put it where it belongs ! 
_d4407 		would you like to go for a walk with Mommy ? 
_d4407 		we could go see if Dion is at the farm . 
_d4407 		d'you [: do you] wanna see +...
_d4407 		Dion is a cat who does cat business . 
_d4407 		that's what we say he's doing when we don't see him there . 
_d4407 		you don't want to walk to the farm ? 
_d4407 		that would be nice , maybe we'll see some +... 
_d4407 		motorcycles . 
_d4407 		cars . 
_d4407 		trucks .
_d4407 		I hear a car right now . 
_d4407 		lawnmower ! 
_d4407 		we might see lawnmowers if we go for a walk , what else do we see when we go for a walk ? 
_d4407 		Dion , we could say hi to Dion . 
_d4407 		John Carter's , yes , John Carter's farm , John Carter is the farmer , you're right . 
_d4407 		and Dion is his kitty cat . 
_d4407 		and who else do we see there , once in awhile ? 
_d4407 		while . 
_d4407 		we see Arlene , she's the farmer's wife . 
_d4407 		who is she ? 
_d4407 		other people's name is , Arlene . 
_d4407 		maybe we'll wait till [: until] you poop to go out onto the farm for a walk . 
_d4407 		it belongs ,  , the potty belongs in the bathroom . 
_d4407 		you're gonna poop on the potty when you're a big girl . 
_d4407 		whenever you're ready . 
_d4407 		here are the balls ! 
_d4407 		oh , three balls , we have all three balls here .
_d4407 		three balls , what color +...
_d4407 		there's Emily , what color are they , what color is that ? 
_d4407 		what color is that ? 
_d4407 		mmmm , it's orange , that's close , what color is this ? 
_d4407 		yes , green . 
_d4407 		that's the same color as your booties . 
_d4407 		what color is it ? 
_d4407 		blue: , blue: booties .
_d4407 		yeah , you have a blue crayon .
_d4407 		one more crayon . 
_d4407 		you wanna sit on the bed ? 
_d4407 		that's the heater downstairs , that's the sound of the furnace , the furnace in the basement . 
_d4407 		it is noisy isn't it ? 
_d4407 		shoes are on the be:d . 
_d4407 		shoes are on the be:d . 
_d4407 		no shoes on the bed , right , those are booties though , that's okay . 
_d4407 		booties can be on the bed , but not shoes , I know that's hard to figure out . 
_d4407 		shall we look at a book ? 
_d4407 		do you have any books here ?
_d4407 		we don't write on the bed , I don't like that , we write on paper , that's all . 
_d4407 		you wanna pick out a book ? 
_d4407 		no ?
_d4407 		are you getting sleepy: ? 
_d4407 		John Carter , we can go to John Carter's farm . 
_d4407 		he's the farmer isn't he ? 
_d4407 		he's the farmer . 
_d4407 		yeah , the furnace is noisy downstairs .
_d4407 		what is Daddy's name ? 
_d4407 		and what is Dadaji's name ? 
_d4407 		xxx , right .
_d4407 		and what is Great Grandma's name ? 
_d4407 		xxx , right .
_d4407 		xxx the turtle , it's just  , Great Grandma's name is just  . 
_d4407 		oh that's very loud . 
_d4407 		I think that's too loud for Emily Mommily .
_d4407 		she's saying , that sounds too loud for me , I'm gonna go hide in your pants ! 
_d4407 		where did Emily Mommily go , is she hiding somewhere ? 
_d4407 		maybe we should look for her in the kitchen , where is she ? 
_d4407 		is she in the bathroom hiding ?
_d4407 		oh , there she is ! 
_d4407 		Lucy has a sticker . 
_d4407 		you want me to take the sticker off ?
_d4407 		awhile ago . 
_d4407 		what happened awhile ago ? 
_d4407 		oh we went to the vacation house , yeah , in Maine . 
_d4407 		welcome to Maine , yeah . 
_d4407 		there are many mosquitos in Maine , that's for sure . 
_d4407 		is she gonna hide ?
_d4407 		where's she gonna hide , is she gonna hide in here ? 
_d4407 		is she in the kitchen ? 
_d4407 		she's in the bathroom ? 
_d4407 		is she in the basement ? 
_d4407 		I'll go look in the basement . 
_d4407 		no , where is she ? 
_d4407 		is she in your pants ? 
_d4407 		oh !
_d4407 		Lucy , what were you doing in Naima's pants ? 
_d4407 		you're a silly girl ! 
_d4407 		going to work ? 
_d4407 		oh , for a walk ,  she wants to go for a walk ? 
_d4407 		does she wanna go for a walk with you ? 
_d4407 		she wants to sit ? 
_d4407 		oh , she's gonna sit on the bed .
_d4408 		left Emily Mommily ? 
_d4408 		oh , everybody's sitting on the bed . 
_d4408 		oh , I'll take the sticker off of Sally's head too . 
_d4408 		here she is . 
_d4408 		what do you want me to do ? 
_d4408 		sticker is on him , I'll take it off of him then . 
_d4408 		I have +//.
_d4408 		actually you know what , I can put them on my nails , my finger nails . 
_d4408 		they'll stay better on my finger nails . 
_d4408 		on him . 
_d4408 		you want me to put a sticker on him , I took the sticker off of him . 
_d4408 		mmmm , all your friends are sitting together . 
_d4408 		Emily Mommily ? 
_d4408 		falling away from you ? 
_d4408 		lollipop ? 
_d4409 		brush you zoobs ! 
_d4409 		far away , you're going far away from me ? 
_d4409 		brush your zoobs ! 
_d4409 		do I have_to run and get you ? 
_d4409 		brush your belly !
_d4409 		brush you zoobs . 
_d4409 		what , what ?
_d4410 		Lucy was falling down ? 
_d4410 		did she fell , did she fall down ? 
_d4410 		oh what hap(pened) (.) what happened ? 
_d4410 		what happened to the little girl ? 
_d4410 		you wanna read that baby book together ? 
_d4410 		do you want me to read some it , I see a mouse on there . 
_d4410 		I see a mouse on the book . 
_d4410 		eeny meeny miny mo , count the shoppers as they go , some have baskets , some have none , count the shoppers one by one . 
_d4410 		the baby has no basket . 
_d4410 		the baby has no mommy ? 
_d4410 		the baby has a mommy but not in the picture ,  well that's the baby's mommy , that's the baby's mommy , she has a basket . 
_d4410 		that baby doesn't have a basket , what does this little girl have ? 
_d4410 		yeah she has a backpack . 
_d4410 		you have a backpack too , just like that little girl . 
_d4410 		that's another girl . 
_d4410 		that's a girl ? 
_d4410 		mmmm , that person has a basket , that person has a bag . 
_d4410 		what's that ? 
_d4410 		mmmm , that's a cake .
_d4410 		what is that ? 
_d4410 		tweet tweet tweet . 
_d4410 		yeah that's a bird . 
_d4410 		oh Kim is buying a bear .
_d4411 		Kim buys a bear and an apple , thank you very much carrots [?] . 
_d4411 		here's the story , Kim and carrots [?] , Kim has a shopping cart . 
_d4411 		and a +//.
_d4411 		what's that ? 
_d4411 		mmmm , and she has a purse with pretend money in it . 
_d4411 		Kim and carrots are making a store .
_d4411 		what's she doing ? 
_d4411 		what's Kim doing in this picture ? 
_d4411 		she's buying a bear , in that picture she's putting a box down . 
_d4411 		the Kim and carrots store has toys , cookies , and fruit for sale . 
_d4411 		Mommy visits the store and buys two oranges . 
_d4411 		what's Mommy doing ? 
_d4411 		what's her mommy doing ? 
_d4411 		giving money , hey I think I hear  . 
_d4411 		let's turn this off . 
_d4411 		oh I'm not going , it's okay .
_d4411 		I'm gonna turn off the recording , I'm gonna [: going to] turn off the recording . 
_d4411 		Naima still needs her  that are turned on . 
_d4411 		hair elastics , baby's  two ,  two , yeah those are the hair elastics . 
_d4411 		let's put this on now . 
_d4411 		oh , okay ,  I'm so sorry , can you give me the hair elastics ?
_d4411 		oh where's the other one , where's the other one ? 
_d4411 		oh my gosh .
_d4411 		how come I found a sock ?
_d4411 		and here's the comb .
_d4411 		here's the dog , here's the comb , here's the two hair elastics , where's the baby's head and the hair , where's the hair ? 
_d4411 		where's the baby's hair ? 
_d4411 		there it is ! 
_d4412 		what was Mommy doing ? 
_d4412 		what did I do to doggie woggie ? 
_d4412 		okay .
_d4412 		we need a little comb so we can comb his fur , right ? 
_d4412 		Naima can comb his fur . 
_d4412 		you have some snarls my girl . 
_d4412 		you have some snarls , snarls , snarl:s . 
_d4412 		a lion snarls , roar . 
_d4412 		mmmm , let's get these , lets get the pig+tails . 
_d4412 		does doggie woggie like pig+tails ? 
_d4412 		okay you can comb his hair now , okay ? 
_d4412 		his fur , dogs have fur right ? 
_d4412 		today is September nineteenth , and we are still sleeping on a mattress on the floor in the old house . 
_d4412 		because the new house smells like paint . 
_d4412 		oh where's the other hair elastic , here it is . 
_d4412 		and Naima and Mommy and Daddy slept in the old house last night . 
_d4412 		but we're going to go to the new house today . 
_d4412 		maybe today ? 
_d4412 		later today ? 
_d4412 		oh library , yes we're going to the library today , we are .
_d4412 		we're gonna go to the library , and see +//.
_d4412 		who are we going to see there ? 
_d4412 		do you remember who ?
_d4412 		yeah ,  . 
_d4412 		and some other babies , and  will read books to us . 
_d4412 		mmmm+hmmm , and some other mommies too . 
_d4412 		and we'll see the babies from the old group and we'll see the kids and toddlers from the new group . 
_d4412 		and we'll read books with everybody and we'll sit on our mommy's laps , and have fun and play games . 
_d4413 		you combing his fur ? 
_d4413 		who wants to read a book ? 
_d4413 		doggie woggie wants to read a book ? 
_d4413 		can you pick out a book for him ? 
_d4413 		does he wanna pick a book ? 
_d4413 		wanna help him pick a book ? 
_d4413 		is there a book for him there ? 
_d4413 		what book does he like , does he like pajamas ? 
_d4413 		oh what one is that , is that ,  opposites . 
_d4413 		does he want to sit and read it with us ? 
_d4413 		you want to sit on my lap ?
_d4413 		he's gonna sit here , okay . 
_d4413 		oh and Naima's gonna sit here too , okay , why don't we sit back here . 
_d4413 		yeah he's right here , he can read too , okay , opposites ,  , the elephant and the bunny rabbit are on a +...
_d4413 		what's that ?
_d4414 		seesaw , opposites is the name of the book . 
_d4414 		bi:g and small , short , the pig is short , and the giraffe is tall . 
_d4414 		look that sheep has a balloon , that's high ! 
_d4414 		and that sheep has a balloon but he is low . 
_d4414 		fast , who's fast ? 
_d4414 		and who's slo:w ? 
_d4414 		what's that ? 
_d4414 		snail , right ,  a snail is slow . 
_d4414 		heavy and light , the elephant is on the seesaw with the bunny rabbit . 
_d4414 		day , see that bear is reading a book in the daytime , and: night , see that book sleeps , I mean that , that bear sleeps at night . 
_d4414 		that's his sleeping hat he's wearing , in and out ,  , what is that Naima ? 
_d4414 		what is that ? 
_d4414 		is that a turtle ? 
_d4414 		turtle . 
_d4414 		that's the turtle out of his , out of her shell . 
_d4414 		she came out of her shell , the shell is like the turtle's clothes , he wears , she wears it on her back . 
_d4414 		weak and strong , that mouse is holding a feather , and that moose is holding some weights . 
_d4414 		right and wrong ,  that pig is talking on the phone properly , and that pig is just wearing the phone on her head . 
_d4414 		silly , that's not how you talk on the phone . 
_d4414 		you have_to put it on , near your mouth and near your ear , you don't wear it like a hat , that's silly . 
_d4414 		hot and cold . 
_d4414 		young and old , that's a dinosaur coming out of an egg .
_d4414 		wet and dry , that elephant is wet because her umbrella is too small . 
_d4414 		and that chicken is dry because she has a nice big umbrella to protect her from the rain . 
_d4414 		hello and goodbye , those are opposites too . 
_d4414 		hello and goodbye , the end . 
_d4414 		yes that's the picture of , of all the , these are pictures of all the books by the same person , we have this one , blue hat green hat . 
_d4414 		what's this book called ? 
_d4414 		and it's probably right here , and which one is this ? 
_d4414 		what book is that ? 
_d4414 		yeah opposites .
_d4414 		that one is called the going to bed book . 
_d4414 		that one is called but not the hippopotamus . 
_d4414 		and that one is called a to z . 
_d4414 		you wanna get moo  la la la ? 
_d4414 		did doggie woggie like , like listening to that story ? 
_d4414 		do you need help getting it ?
_d4414 		yeah there's a pig in there . 
_d4414 		oh you found it ! 
_d4414 		here's moo  la +//.
_d4414 		oh here's the comb , okay , do you want doggie woggie to hear the story too ? 
_d4414 		yeah but let's read this one .
_d4414 		moo  la la la . 
_d4414 		hippopotamus .
_d4414 		oh there ,  there's no +//.
_d4414 		oh let's see , hippopotamus , is there any hippo in here , that's a rhinoceros , there's a hippopotamus . 
_d4415 		that's the hippo , you want me to read moo  la la ? 
_d4415 		a cow says . 
_d4415 		a sheep says . 
_d4415 		mmmm , three singing pigs !
_d4415 		three singing pigs say la la la . 
_d4415 		no no you say , that isn't right ! 
_d4415 		the pigs say . 
_d4415 		all day and night . 
_d4415 		some other dogs go . 
_d4415 		right .
_d4415 		and cats and kittens say . 
_d4415 		a horse says . 
_d4415 		xxx in this book the horse says nay . 
_d4415 		na:y ,  , but they do also say  . 
_d4415 		it's quiet now , what do you say ? 
_d4415 		I say wee wee wee , what do you say ? 
_d4415 		what does Naima say ? 
_d4415 		what are all the animals that you see in this picture ? 
_d4415 		who do you see in this picture ? 
_d4415 		mmmm+hmmm a big cow , what else ? 
_d4415 		dog . 
_d4415 		a sheep . 
_d4415 		is that what a sheep says ? 
_d4415 		what's it called , what is it ? 
_d4415 		sheep ? 
_d4415 		and what else do you see in the picture ? 
_d4415 		oh , what's that ? 
_d4415 		looks like a chicken , I think it's supposed to be a duck . 
_d4415 		what else do you see , what about that ? 
_d4415 		yeah . 
_d4415 		yeah the duck is there . 
_d4415 		what are these things on the rhinoceroses ?
_d4415 		yes .
_d4415 		you know how many kitty cats there are ? 
_d4415 		how many kitty cats ? 
_d4415 		what are those ? 
_d4415 		what's that ? 
_d4415 		yeah .
_d4415 		how many kitty cats are there here ? 
_d4415 		how many ?
_d4415 		three , one , two , I don't see a third one . 
_d4415 		I don't see number three . 
_d4415 		there are three pigs , one , two , three . 
_d4415 		how many cows are there ? 
_d4415 		one , one cow . 
_d4415 we need to go check ann [: and] make sure the plumber's [: plumber is] not waiting at the door for us 
_d4415  can we go together to look for the plumber 
_d4415  there might be a truck outside 
_d4415  let's go look . 
_d4415 		let's go look out the window in the kitchen an [: and] see if the plumber's [: plumber is] here . 
_d4415 		you gonna come with me Naima ? 
_d4415 		you can come with me .
_d4415 		we're just going to check . 
_d4415 		oh , he just pulled in , he just pulled in . 
_d4415 		okay , oops , oops , oops .
_d4415 		okay . 
_d4415 		hi mister plumber , it's the plumber and a truck . 
_d4415 		let's go in here , yeah !
_d4415 		coming , we'll go get the door . 
_d4415 		we'll go get the door . 
_d4415 		hello , good how are you ? 
_d4415 		hi , how are you ?
_d4415 		hi , who are you ? 
_d4415 		come on in , Naima , say hi .
_d4415 		I have two little girls myself . 
_d4415 		oh , how old ?
_d4415 		four and six . 
_d4415 		oh , that seems very old . 
_d4415 		does it , how old are you ? 
_d4415 		she's eighteen months . 
_d4415 		my+goodness . 
_d4415 		just a little thing .
_d4415 		yeah we went to Ying's last night . 
_d4415 		yeah and there are statues in there , yup [: yes] .
_d4415 		telling him about that ? 
_d4415 		so +... 
_d4415 		so +... 
_d4415 		when you turn it on it's gonna shoot water out . 
_d4415 		okay out of here ? 
_d4415 		yes . 
_d4415 		okay . 
_d4415 		so that needs to be +...
_d4415 		that's one problem .
_d4415 		he has a piece of paper , the man has a piece of paper .
_d4415 		yes I do .
_d4415 		yes he has a picture on his arm . 
_d4415 		yes I do .
_d4415 		that's right .
_d4415 		yeah .
_d4415 		Ying's , you like Ying's ? 
_d4415 		and there's a bathroom faucet that has a +//.
_d4415 		not faucet but stopper that's +...
_d4415 		yeah let's take a look at that too . 
_d4415 		you have a beautiful little place , huh ?
_d4415 		yeah .
_d4415 		we're moving out .
_d4415 		oh are you ?
_d4415 		yeah .
_d4415 		selling ?
_d4415 		yeah we're selling .
_d4415 		is this it ?
_d4415 		no , it's in this bathroom , sorry .
_d4415 		oh , I'm sorry .
_d4416 		it's actually in here . 
_d4416 		moving is hard , isn't it ?
_d4416 		yes it's very hard ,  +...
_d4416 		this +...
_d4416 		oh ,  , it comes out . 
_d4416 		yes +...
_d4416 		it came out , okay .
_d4416 		dunno [: don't know] how you're gonna fix that . 
_d4416 		well I might be able to do that right here right now .
_d4416 		okay , let me get out of your way . 
_d4416 		oh , I see what happened . 
_d4416 		I'll need a tool .
_d4416 		yes we're gonna stay out of the way .
_d4416 		I'll probably start out in the kitchen , okay ?
_d4416 		yeah yeah that's fine .
_d4416 		yeah we stayed out of the guys way didn't we , we stayed out of the guy's way when we moved all of our stuff .
_d4416 		the guys moved our boxes .
_d4416 		oh dear .
_d4416 		is there a light in here ?
_d4416 		uh , yes .
_d4416 		um ,  , see where the dish +//.
_d4416 		um , paper towels are , there's a little switch right there . 
_d4416 		oh sure , there we are .
_d4416 		yeah he has a picture on his arm . 
_d4416 		this +...
_d4416 		microphone is really poorly placed here .
_d4416 		rolly poly face , is that what that sounded like ? 
_d4416 		okay , we are going to go upstairs and see what else there is to take away in the house . 
_d4416 		the plumber is here isn't he ? 
_d4416 		he has a picture on his arm . 
_d4416 		and I go up the stairs , check things out , okay . 
_d4417 		yeah there's clothes up here . 
_d4417 		there's a computer , Daddy has to take care of . 
_d4417 		and there's little stuff here , we can take this down right now . 
_d4417 		who is that ,  . 
_d4417 		that is Bob Korn , why do we have an old picture of him , okay . 
_d4417 		we can throw that right out . 
_d4417 		right in the trash , how about that ? 
_d4417 		that's a +//.
_d4417 		oh it is a block , you know it's a cedar block . 
_d4417 		you can hold it . 
_d4417 		cedar block . 
_d4417 		mmmm   . 
_d4417 		now we've got a lot of little stuff here and there . 
_d4417 		that's a light bulb .
_d4417 		that's called a light bulb . 
_d4417 		let's check this . 
_d4417 		nothing  there .
_d4417 		check this closet .
_d4417 		that's a block . 
_d4417 		yeah , holding . 
_d4417 		light+bulb , yeah . 
_d4417 		oh , there's a dowel . 
_d4417 		it's like a stick but it's called a dowel .
_d4417 		uh .
_d4418 		yeah the light+bulb is there . 
_d4418 		this is all emptied out basically . 
_d4418 		yup [: yes] . 
_d4418 		oh here's clothes , there's one sock of yours . 
_d4418 		you could wear that today . 
_d4418 		and there's your rattle ! 
_d4418 		oh was it washed , somebody might've washed that , you're right . 
_d4418 		Mommy washed it ? 
_d4418 		maybe I did wash it , I don't really remember . 
_d4418 		what ? 
