_t4 		okay this tape is being recorded with the receiver plugged into the socket labeled mic . 
_t4 		I only got dizzy twirling to the right I never got dizzy twirling to the left .
_t4 		Daddy's very silly .
_t4 		baby .
_t4 		basket .
_t4 		Daddy has to eat some breakfast .
_t4 		have_to shower and Mommy +...
_t4 		showered .
_t4 		Mommy showered but you should bring me my coffee .
_t4 		ten thirty was the +//.
_t4 		yeah we have an appointment at ten thirty .
_t4 		oh did I +...
_t4 		no that's all+right +//.
_t4 		what are you doing ?
_t4 		what're [: what are] you doing ?
_t4 		you're standing up you need to sit down .
_t4 		when you're in this .
_t4 		sit down please .
_t4 		you're spinning around .
_t4 		spinning +...
_t4 		spinning in the basket .
_t4 		spinning in the basket .
_t4 		I was thinking we could  +...
_t4 		oh all+right all+right  .
_t4 		jeez .
_t4 		jeez I can't feel my knees .
_t4 		jeez .
_t4 		cheese no I said  .
_t4 		oh+my+goodness .
_t4 		oh+my+goodness look Daddy .
_t4 		this baby's in a boat .
_t4 		hey you're taking a ride .
_t4 		um I was thinking since the weather's nice we could walk with the stroller to the house .
_t4 		oh excellent idea .
_t4 		and  I mean it'd [: it would ] be great if she fell asleep (.) I mean that would be ideal .
_t4 		oooh .
_t4 		or ten maybe .
_t4 		good luck .
_t4 		well  +...
_t4 		actually yesterday she napped between ten and ten +/.
_t4 		oh so you wanna induce the nap before we go .
_t4 		well (.) before we get there .
_t4 		so that she'll sleep through the thing if possible .
_t4 		oh .
_t4 		xxx .
_t4 		it doesn't take that long .
_t4 		your hands are freezing your hands are so cold .
_t4 		freezing your hands are freezing .
_t4 		your hands are cold .
_t4 		you wanna go back in the basket (.) is that it ?
_t4 		hey !
_t4 		where's the spoon Daddy ?
_t4 		where I don't know where is the spoon ?
_t4 		where's the spoon ?
_t4 		is the spoon in the basement ?
_t4 		where's the spoon ?
_t4 		there it is .
_t4 		there's the spoon .
_t4 		and then uses it when she doesn't have the other ones like belly is becky so +...
_t4 		well everything has got the kay (.) everything's got the kay .
_t4 		the spoon .
_t4 		what's it doing in my shirt ?
_t4 		microphone .
_t4 		she said mikey .
_t4 		hey Naima watch this .
_t4 		look .
_t4 		oh !
_t4 		oh !
_t4 		where's the boat by the way ?
_t4 		where's the boat ?
_t4 		y'know [: you know] that's funny +...
_t4 		I think she thinks (.) I'm not sure I think she's using slowly (.) for anytime something gets off of something .
_t4 		(be)cause I just I just knocked the car of this (.) and she kinda [: kind of] muttered to herself slowly .
_t4 		so that means getting +//.
_t4 		I'm not sure .
_t4 		getting off or coming off ?
_t4 		are you gonna (.) are you going to get off slowly ?
_t4 		what ?
_t4 		you gonna sit on this like a chair ?
_t4 		there's no back to it though so you have_to be extra careful .
_t4 		you get off ?
_t4 		oh !
_t4 		you wanna ride huh ?
_t4 		oh+my+goodness .
_t4 		oh+my+goodness .
_t4 		oh dear .
_t4 		my parents are torturing me .
_t4 		oh I'm being tortured .
_t4 		hey .
_t4 		hey .
_t4 		vroom   .
_t4 		hey .
_t4 		where'd [: where did] the truck go ?
_t4 		where'd [: where did] the truck go ?
_t4 		I had  +...
_t4 		some of their tapes they told me were not +...
_t4 		the the receiver appeared not to be working so some of them (.) so I'm doing a test .
_t4 		some I'm doing some with it plugged into one socket and some (.) I'm gonna tape some plugged into another socket (.) so they can see (.) (be)cause I think that's that's what the issue is .
_t4 		baby .
_t4 		are you putting a lego in the bag ?
_t4 		buy .
_t4 		bag .
_t4 		do you need this   ?
_t4 		doesn't matter .
_t4 		been sitting here on the floor for two days so it can't be that critical .
_t4 		that's the camera .
_t4 		a lowa dowa dowa  .
_t4 		a lowa dowa dowa  .
_t4 		a lowa dowa dowa  .
_t4 		a lowa dowa dowa  .
_t4 		oh chair .
_t4 		I'm sorry I wasn't paying attention .
_t4 		you wanna get on the chair ?
_t4 		you want help getting on the chair ?
_t4 		this baby likes +//.
_t4 		hey you're sitting on a chair !
_t4 		reading a book .
_t4 		and you're reading a book .
_t4 		boy you're almost ready to go to school .
_t4 		what's that ?
_t4 		yeah it's a goat .
_t4 		and what's that ?
_t4 		yes that's a fly .
_t4 		let's start from the beginning (.) that's the spider .
_t4 		the sun .
_t4 		the spider .
_t4 		what's that ?
_t4 		horse .
_t4 		you gonna kiss the horse ?
_t4 		okay (.) and what's that ?
_t4 		the fly that's right .
_t4 		what says moo ?
_t4 		yes .
_t4 		cow .
_t4 		where's the spider ?
_t4 		show me where the spider is +//.
_t4 		cow .
_t4 		where's the spider ?
_t4 		show me where the spider is .
_t4 		yeah that's the spider .
_t4 		and what's that ?
_t4 		sheep I never heard her say sheep before .
_t4 		sheep !
_t4 		sheep .
_t4 		I have like ten words +//.
_t4 		and here's the +//.
_t4 		are you sheepish ?
_t4 		are you sheepish ?
_t4 		sheepy .
_t4 		you sheepy .
_t4 		and here's the goat .
_t4 		I'm gonna take a shower .
_t4 		and I need to talk to my broker .
_t4 		you need to sign out .
_t4 		and I need to sign out (.) let me see if he's in .
_t4 		let me sign out .
_t4 		Naima .
_t4 		we're still reading the book here's the pig .
_t4 		Daddy's gonna take a shower .
_t4 		we can still read the book though .
_t4 		where's the fly in this +//.
_t4 		Daddy went to take a washy+washy .
_t4 		here's the fly .
_t4 		where's the fly ?
_t4 		yes that's the fly and what does a pig say +//?
_t4 		what noise does a pig make ?
_t4 		do you know what noise a pig makes +//?
_t4 		a pig doesn't say Daddy .
_t4 		what does a pig say ?
_t4 		and  !
_t4 		oh you wanna sit in the chair okay .
_t4 		what's that (.)  you wanna read it ?
_t4 		what's that ?
_t4 		you know what that is you said it yesterday .
_t4 		and +..?
_t4 		and hoof hoof hoof (.) what is it ?
_t4 		what says woof woof woof ?
_t4 		who says woof woof woof ?
_t4 		a dog does and there's the cat again .
_t4 		meow .
_t4 		meow meow meow d'you [: do you] remember  cat's name ?
_t4 		sweet pea ?
_t4 		xxx had a cat named Sweet Pea .
_t4 		and  cat was named Fifi .
_t4 		xxx .
_t4 		xxx cat's name is Fifi except that's just his nickname (.) his real name is Angus .
_t4 		Angus .
_t4 		that was  cat's name .
_t4 		and look on that page there's a fly and a duck .
_t4 		what does a duck say ?
_t4 		I don't know .
_t4 		where ?
_t4 		maa maa .
_t4 		cock a doodle  !
_t4 		what does an owl say ?
_t4 		hoo  .
_t4 		what says   ?
_t4 		who says   ?
_t4 		camera .
_t4 		go ?
_t4 		where are we going ?
_t4 		camera .
_t4 		camera .
_t4 		you wanna (.) uh+oh let's leave the camera alone for now you wanna show the book to the camera ?
_t4 		what's that ?
_t4 		you waving to the camera ?
_t4 		hi .
_t4 		let's move the camera back a little bit .
_t4 		there .
_t4 		that's a good book .
_t4 		I like reading that book .
_t4 		wanna read another book with Mommy ?
_t4 		how bout [: about] this book ?
_t4 		blue hat green hat .
_t4 		blue hat green hat .
_t4 		red hat (.) oops .
_t4 		camera .
_t4 		red shirt blue shirt yellow shirt +...
_t4 		oops .
_t4 		yellow pants blue pants red pants oops .
_t4 		blue coat oops see that's a jacket .
_t4 		you wanna get on the chair ?
_t4 		okay .
_t4 		blue coat oops .
_t4 		still looking at that picture that's a dog wearing a jacket .
_t4 		and that's a turkey wearing a jacket .
_t4 		yeah turkey .
_t4 		turkey .
_t4 		the turkey's wearing a jacket backwards .
_t4 		oops .
_t4 		turkey .
_t4 		turkey .
_t4 		you having trouble staying on the chair ?
_t4 		you wanna get down ?
_t4 		let's see what else is in this book +//.
_t4 		that's your jacket that's right .
_t4 		let me adjust this a little here .
_t4 		you want me to put your jacket on ?
_t4 		it's not very cold I don't think you need it .
_t4 		well where's Naima ?
_t4 		where is she ?
_t4 		is she in the ba(throom) +//?
_t4 		there you are .
_t4 		you wanna wear it right now ?
_t4 		no ?
_t4 		let's finish reading the book .
_t4 		red shirt blue shirt yellow shirt oops .
_t4 		the turkey's wearing a shirt like pants .
_t4 		oops .
_t4 		yellow pants red pants green pants oops .
_t4 		where's the turkey ?
_t4 		that's the turkey .
_t4 		blue coat oops .
_t4 		turkey .
_t4 		red socks oops .
_t4 		green shoes yellow shoes +//.
_t4 		blue shoes (.) where's the turkey wearing shoes ?
_t4 		where's the turkey's shoe ?
_t4 		turkey's wearing a shoe on his head .
_t4 		that's not where shoes go .
_t4 		yeah turkey's wearing a jacket .
_t4 		yellow hat green shirt blue pants purple socks red shoes (.) oops .
_t4 		poo [: shampoo] (.)  the shampoo you wanna bring me the shampoo ?
_t4 		thank you .
_t4 		this shampoo bottle rolls nicely .
_t4 		wee !
_t4 		can (.) can you roll it ?
_t4 		hey .
_t4 		yeah that's broken .
_t4 		the tube is broken . 
_t4 		I know it's broken .
_t4 		does the guy fit in the tube ?
_t4 		lemme [: let me] see if the guy fits in the tube .
_t4 		hey where's the guy ?
_t4 		I gotta write that down because I forgot you say that .
_t4 		guy .
_t4 		let's see +...
_t4 		is the guy in the tube ?
_t4 		hi .
_t4 		I'm writing down your words on this big piece of paper .
_t4 		hey what's this ?
_t4 		camera .
_t4 		what d'you [: do you] have there ?
_t4 		are you combing oops are you combing your hair ?
_t4 		are you combing your hair ?
_t4 		you chewing the comb now ?
_t4 		are you chewing ?
_t4 		you getting ready to go out combing your hair ?
_t4 		oh the wheel .
_t4 		the wheel .
_t4 		the wheel rolls nicely  .
_t4 		ready ?
_t4 		are you combing your hair ?
_t4 		here's the wheel again ready ?
_t4 		where'd [: where did] it go ?
_t4 		should we get it out from under the sofa ?
_t4 		should we get it ?
_t4 		what's that ?
_t4 		I'll get it for you .
_t4 		yeah ?
_t4 		kissy kissy .
_t4 		kissy kissy kissy kissy .
_t4 		car ?
_t4 		you mean the wheel ?
_t4 		the wheel the wheel  I don't know if I can hey you're guy is still stuck in this +...
_t4 		tube .
_t4 		c'mon [: come on] guy .
_t4 		c'mon [: come on] guy .
_t4 		there he is !
_t4 		the guy !
_t4 		all+right .
_t4 		then we're gonna throw this tube away (be)cause it's broken .
_t4 		it's not doing us any good .
_t4 		what is that ?
_t4 		what is that a piece of plastic  great .
_t4 		tiny piece of plastic on the floor .
_t4 		oh Daddy said he dropped a piece the other day (.) here .
_t4 		here's the wheel ready ?
_t4 		woah .
_t4 		okay I'm gonna see if the wheel will go up the slide well it won't go up the slide  .
_t4 		let's see if it will go down the slide .
_t4 		Mommy's throwing away some things in the garbage okay ?
_t4 		I'll be right over there .
_t4 		hey this is yours this picture of the flowers .
_t4 		flowers +//.
_t4 		this is the newspaper .
_t4 		I'm giving you the picture of the flowers .
_t4 		guy +//.
_t4 		where'd [: where did] the wheel go by the way ?
_t4 		where's the wheel sweetie ?
_t4 		there it is .
_t4 		the wheel .
_t4 		oh but then I see the book that has the cow in it .
_t4 		y'know [: you know] where the picture of the cow is ?
_t4 		hi cows .
_t4 		that's a baby cow nursing .
_t4 		that baby cow is nursing .
_t4 		you know what that is ?
_t4 		ducky yeah .
_t4 		and what's that ?
_t4 		horse .
_t4 		and a sheepy .
_t4 		baa .
_t4 		d'you [: do you] have_to poop ?
_t4 		horse that's a horse .
_t4 		yyy      .
_t4 		chair .
_t4 		is that a kully ?
_t4 		kully it's a kully .
_t4 		kully and that's a cup .
_t4 		that silver thing is the kully .
_t4 		kully .
_t4 		kully .
_t4 		kully .
_t4 		here's the wheel I'm gonna make the wheel go again .
_t4 		wee (.) what's that ?
_t4 		oh a little tiny piece of bread that's very old (.) thank you I'll keep that .
_t4 		I'll take care of that .
_t4 		where's the wheel can you bring me the wheel and I can make it go again .
_t4 		where's the wheel sweetie ?
_t4 		can you bring me the wheel please ?
_t4 		wheel's [: wheel is] over there .
_t4 		two you have two cards .
_t4 		two cards .
_t4 		one is a picture of a flower .
_t4 		one is a picture of a baby .
_t4 		two cards thank you .
_t4 		chair can you get on the chair yourself .
_t4 		no you want some help okay .
_t4 		do you want help getting on the chair ?
_t4 		you took off the microphone .
_t4 		free at last (.) all+right we'll pause this +...
_t4 		little game here .
_t4 		let's see that was thirty seven minutes .
_t4 		would you like some bread ? 
_t4 		bread  . 
_t4 		are you being like the tea kettle just made a noise like that ? 
_t4 		f two . 
_t4 		mkay [: okay] . 
_t4 		microphone (.) yes . 
_t4 		I put the light on . 
_t4 		you gonna have a little more bread +//? 
_t4 		and here's Daddy he doesn't have a microphone on . 
_t4 		why isn't it focused ? 
_t4 		are we having breakfast ? 
_t4 		any id(ea) +//? 
_t4 		xxx .
_t4 		what d'you [: do you] tell Daddy that you're eating ? 
_t4 		bread . 
_t4 		bread .
_t4 		oh can I have some ? 
_t4 		mmmm . 
_t4 		thank you . 
_t4 		you're feeding Daddy . 
_t4 		is that bread good ? 
_t4 		are you swallowing any of that ? 
_t4 		you gonna get beans +//? 
_t4 		well +... 
_t4 		should've [: should have] got coffee from jack's . 
_t4 		that's the most accessible . 
_t4 		oh yeah . 
_t4 		well that's the only coffee that's close by . 
_t4 		except the convenient store +//. 
_t4 		I don't know that's a good question . 
_t4 		I've never checked +//. 
_t4 		they probably have +...
_t4 		they might . 
_t4 		I suppose . 
_t4 		they might have it . 
_t4 		they might have it .
_t4 		watch out . 
_t4 		okay . 
_t4 		Daddy's going to come back with coffee . 
_t4 		coffee yeah .
_t4 		we're out of coffee beans .
_t4 		yes we do have a lot to do today . 
_t4 		are you gonna have some other food too ? 
_t4 		what ? 
_t4 		what would you like ? 
_t4 		I'm looking for your pears . 
_t4 		thought you had pears in here okay guess not . 
_t4 		open a new +...
_t4 		what ? 
_t4 		yeah I know . 
_t4 		okay . 
_t4 		let's have some wheat germ . 
_t4 		mmmm wheat germ . 
_t4 		Daddy went outside but he'll be coming right back . 
_t4 		Daddy will be coming right back . 
_t4 		oh you (.) really ? 
_t4 		oh really ? 
_t4 		mmmm . 
_t4 		let's have apple sauce and wheat germ . 
_t4 		wheat (.) wheat germ (.) would you like some puffed wheat too ? 
_t4 		while I'm making this other stuff ? 
_t4 		oh this is this stuff I forgot . 
_t4 		yeah this cereal is not so good . 
_t4 		one tablespoon .
_t4 		to four tablespoons of liquid . 
_t4 		eye .
_t4 		yeah .
_t4 		we need to put some liquid in there . 
_t4 		eye ? 
_t4 		are you touching your eye ? 
_t4 		would you like more bread ? 
_t4 		I'm gonna put some soy milk in your cereal . 
_t4 		soy milk . 
_t4 		soy milk . 
_t4 		ooh this is gonna be a big breakfast for you . 
_t4 		what ?
_t4 		pick .
_t4 		we have_to wait for this to absorb a little bit . 
_t4 		let's have a little more bread while we're waiting . 
_t4 		this isn't a fork it's a spoon . 
_t4 		it's a spoon . 
_t4 		okay give it (.) okay let's have a little preview . 
_t4 		thank you . 
_t4 		I'm gonna put just a little bit of flax oil in this . 
_t4 		is it yummy ? 
_t4 		apple +... 
_t4 		and wheat germ +... 
_t4 		and cereal +...
_t4 		mmmm .
_t4 		cereal . 
_t4 		oh wheat germ yeah that's what you were saying . 
_t4 		oh I have some nice plump +... 
_t4 		soggy raisins for you . 
_t4 		wheat germ .
_t4 		oh you do it . 
_t4 		good girl . 
_t4 		you wanna put the bread on the spoon there . 
_t4 		mmmm . 
_t4 		here's some raisin . 
_t4 		I'll put some raisin on your cereal . 
_t4 		raisin . 
_t4 		is it good ? 
_t4 		what raisin ? 
_t4 		oh bread okay .
_t4 		want some bread on a spoon ? 
_t4 		raisin . 
_t4 		there's raisin on the spoon . 
_t4 		there's raisin right there . 
_t4 		you have a lot in your mouth . 
_t4 		I think you have a lot +//. 
_t4 		microphone yeah . 
_t4 		I'm wearing a microphone right now . 
_t4 		lemme [: let me] stir this a little more . 
_t4 		delicious . 
_t4 		raisin ? 
_t4 		there ya [: you] go . 
_t4 		you're eating all the bread huh ? 
_t4 		putting the bread on the spoon . 
_t4 		raisin .
_t4 		you still have raisin in your mouth ? 
_t4 		mmmm . 
_t4 		cereal ? 
_t4 		are you eating your breakfast ? 
_t4 		what do you need ? 
_t4 		raisin .
_t4 		there's raisin here on the spoon . 
_t4 		you can chew what's in your mouth . 
_t4 		take your time . 
_t4 		do we need some  in this ? 
_t4 		you want some water .
_t4 		get you some water . 
_t4 		let's see +... 
_t4 		see .
_t4 		I don't see any of yours (.) here let's use this . 
_t4 		that good ? 
_t4 		here's some cereal .
_t4 		here's the rice . 
_t4 		Daddy's back . 
_t4 		I wonder if he found any coffee at the store . 
_t4 		he was going shopping for coffee . 
_t4 		yeah .
_t4 		I just heard the noise of the car coming back . 
_t4 		you want this raisin on the spoon ? 
_t4 		what ?
_t4 		do (.) what was he doing ? 
_t4 		he was shopping . 
_t4 		tooth (.) teeth (.) no what was he doing . 
_t4 		Daddy was shopping he was looking for coffee . 
_t4 		he was saying where's the coffee . 
_t4 		d'you [: do you] think he found some at the store ? 
_t4 		he might have found some yeah I hear that noise too . 
_t4 		I know you're eating that nice rice . 
_t4 		there's a spoon here with some cereal and some raisin on it would you like this ? 
_t4 		no it's Daddy . 
_t4 		it's Daddy not baba . 
_t4 		yeah that was actually +... 
_t4 		broken . 
_t4 		oh . 
_t4 		frame that holds the glass +... 
_t4 		yeah .
_t4 		which then seals +... 
_t4 		it's just  loose . 
_t4 		there's like these  pins that go on +... 
_t4 		yeah .
_t4 		when you look outside you'll see . 
_t4 		do you think that it's that they did it yesterday or it's been +...
_t4 		like that ? 
_t4 		I think if it had been like that we would have seen it with prior rainstorms I think it +...
_t4 		hi baby . 
_t4 		what is this (.) what is this ? 
_t4 		what is this ? 
_t4 		what d'you [: do you] mean by that what d'you [: do you] mean by that ? 
_t4 		oh we were saying where's the coffee .
_t4 		Daddy went to go shopping +//. 
_t4 		here's the coffee (.) here's the coffee .
_t4 		for coffee . 
_t4 		and we wondered if +//. 
_t4 		here's the coffee .
_t4 		you found it at the store or not . 
_t4 		where did you get that ? 
_t4 		the korean store (.) sort of the usual  swill . 
_t4 		where is it (.) well he didn't find any coffee beans but he found a cup of coffee . 
_t4 		he got a cup of coffee at the store . 
_t4 		swill . 
_t4 		I'm drinking my coffee .
_t4 		I was waiting +... 
_t4 		xxx .
_t4 		xxx I didn't .
_t4 		where ? 
_t4 		where baby ? 
_t4 		d'you [: do you] want s'more [: some more] cereal with raisin ? 
_t4 		well you can share some of this .
_t4 		actually I'll make (.) I'll go ahead and make +... 
_t4 		tea now . 
_t4 		you can put that down okay ? 
_t4 		down thank you here . 
_t4 		sweetie have some breakfast . 
_t4 		cereal . 
_t4 		mmmm cereal .
_t4 		I went to +//.
_t4 		xxx .
_t4 		pain d'avignon yesterday .
_t4 		play .
_t4 		wash  first . 
_t4 		brioche bread and some +//. 
_t4 		yeah we need to figure out what to do because I'd really like to +//. 
_t4 		nothing we're gonna do today .
_t4 		xxx require +...
_t4 		oh I know but .
_t4 		it was  yesterday +... 
_t4 		probably was pretty vigorous .
_t4 		oh you want some water . 
_t4 		um yes but I'm gonna have some of each kind . 
_t4 		if you want one of these . 
_t4 		yes .
_t4 		so +... 
_t4 		what I was thinking was maybe there's some window place +... 
_t4 		that could be called today +... 
_t4 		to fix it (.) I mean they're not gonna fix it I don't think . 
_t4 		if they were (.) are you all+right ? 
_t4 		what happened ? 
_t4 		you have a raisin on your face . 
_t4 		d'you [: do you] like that ? 
_t4 		I mean is it something we (.) could even conceive of fixing . 
_t4 		raisin +//.
_t4 		I don't think so . 
_t4 		then +... 
_t4 		we should look in the phone book and see +... 
_t4 		did they take this out yesterday ? 
_t4 		yeah yeah they did . 
_t4 		I mean I saw them (.) taking it off . 
_t4 		xxx . 
_t4 		yeah .
_t4 		they just probably didn't have a (.) clear sense of what they were doing . 
_t4 		I mean they aren't professional window cleaners they're professional +//. 
_t4 		oh I know .
_t4 		xxx had to be done I would've done the same but I think that at some level they +... 
_t4 		well I haven't seen what the issue is so +... 
_t4 		I'm feeding her right now . 
_t4 		oh I know .
_t4 		but more to the point (.)  +... 
_t4 		what I mean is they can't fix it right ? 
_t4 		no .
_t4 		no they can't fix it (.) I wouldn't want them to try . 
_t4 		right .
_t4 		that's what I was saying . 
_t4 		that's all I was saying . 
_t4 		yeah . 
_t4 		well . 
_t4 		I guess we can +... 
_t4 		where's your spoon  here . 
_t4 		is that good rice_a ? 
_t4 		y'know [: you know] we should actually +... 
_t4 		I suppose her  . 
_t4 		son in+law .
_t4 		son in+law  . 
_t4 		yes baby ? 
_t4 		she's hardly eaten (.) any of her cereal .
_t4 		finish (.) eat your food .
_t4 		good baby (.) here . 
_t4 		Daddy's gonna feed you . 
_t4 		xxx  . 
_t4 		oh (.) she doesn't fall for that huh ?
_t4 		nope [: no] . 
_t4 		yes baby . 
_t4 		you look so serious and earnest . 
_t4 		up .
_t4 		up  . 
_t4 		okay baby . 
_t4 		you said up . 
_t4 		pick me up ? 
_t4 		I don't know if she's +//. 
_t4 		don't know what we're gonna do +...
_t4 		she hasn't eaten . 
_t4 		well she has sort of +... 
_t4 		not enough . 
_t4 		maketuk Daddy . 
_t4 		oh . 
_t4 		here let's clean her up you can take her . 
_t4 		okay baby .
_t4 		here baby (.) baby we're +//. 
_t4 		cleaning you up . 
_t4 		since you don't wanna eat . 
_t4 		finish eating Boo . 
_t4 		clean time to get clean . 
_t4 		hey Naima don't bite . 
_t4 		you don't bite baby . 
_t4 		that's not okay . 
_t4 		and you have raisins in your mouth . 
_t4 		you've been eating raisins . 
_t4 		I'll go get the toast .
_t4 		okay let her out +//. 
_t4 		you're really .
_t4 		you're hyper Boo . 
_t4 		miss Boo you're hyper .
_t4 		hyper .
_t4 		hyper .
_t4 		yes .
_t4 		your first slang word . 
_t4 		is that better ? 
_t4 		is that better miss Booboo ? 
_t4 		Naima . 
_t4 		microphone . 
_t4 		microphone .
_t4 		oh microphone .
_t4 		we seem to have some smoke coming up over here (.) why don't you move out of the way ? 
_t4 		why exactly ? 
_t4 		just the toast  . 
_t4 		cow ? 
_t4 		xxx the cow where's the cow ? 
_t4 		where is it where is the cow ? 
_t4 		where is the cow miss moo moo moo ? 
_t4 		these are both for you right ? 
_t4 		I thought you could have one since +... 
_t4 		well I can do my own toast .
_t4 		okay . 
_t4 		we have got the plum jam . 
_t4 		and some apricot . 
_t4 		which one d'you [: do you] +..? 
_t4 		apricot . 
_t4 		get a knife . 
_t4 		well . 
_t4 		I'll have some plum myself . 
_t4 		it's here . 
_t4 		so baby . 
_t4 		are you gonna have your +//. 
_t4 		I should put the mic on you I guess .
_t4 		you're mean .
_t4 		no there need to be two separate ones . 
_t4 		oh are there two channels ? 
_t4 		yes .
_t4 		I see . 
_t4 		yeah .
_t4 		crayons . 
_t4 		oh .
_t4 		you put them in your mouth I don't want you to +... 
_t4 		oh well it's supervision she's okay . 
_t4 		but supervision is not something we have right this second Boo . 
_t4 		Naima Daddy's gotta eat . 
_t4 		you didn't eat your breakfast . 
_t4 		but Daddy's gonna eat his breakfast . 
_t4 		that's just how it is . 
_t4 		there are certain important things and a good breakfast is one of them . 
_t4 		good breakfast is very important Naima . 
_t4 		miss boo . 
_t4 		miss boobaloo Naima . 
_t4 		that's the cat .
_t4 		yes . 
_t4 		meow meow meow .
_t4 		that's the microphone . 
_t4 		meow meow meow meow meow said the cat . 
_t4 		xxx said the cat . 
_t4 		xxx said the baby . 
_t4 		xxx said the cat and the baby . 
_t4 		could you give me a clean knife please ?
_t4 		thank you . 
_t4 		Naima would you like to get down now ? 
_t4 		are you squirming to get down ? 
_t4 		hulabaloo .
_t4 		hulabaloo . 
_t4 		hulabaloo . 
_t4 		hyper . 
_t4 		hyper hulabaloo .
_t4 		oh . 
_t4 		cat in the almond butter .
_t4 		no (.) looks like the cat +...
_t4 		managed to avoid the almond butter . 
_t4 		the cat dodged the almond butter . 
_t4 		you getting down ?
_t4 		meow meow meow said the cat .
_t4 		what's so funny ? 
_t4 		I'd like to put this where she can at least be . 
_t4 		xxx . 
_t4 		thank you . 
_t4 		thank you . 
_t4 		moo: .
_t4 		what moo ? 
_t4 		no straw . 
_t4 		there should be another one in there with a straw . 
_t4 		what was that noise ? 
_t4 		baby . 
_t4 		you're very good at that noise . 
_t4 		you're making that noise . 
_t4 		that's the tea pot .
_t4 		that's +...
_t4 		that's the tea kettle . 
_t4 		that's the tea kettle boo . 
_t4 		let's see +... 
_t4 		are you a tea kettle ? 
_t4 		kettle ? 
_t4 		tea kettle . 
_t4 		I'm a little tea pot short and stout . 
_t4 		here is my +... 
_t4 		handle (.) here is my +... 
_t4 		here's my spout . 
_t4 		I don't know the rest of it . 
_t4 		look it up in a book . 
_t4 		I wasn't sure if she was saying (.) because I was talking about where you were when you were gone . 
_t4 		I think it's (.) the shape of the box she's saying juice . 
_t4 		cause I sorta [: sort of] thought she was asking +//.
_t4 		that's not juice Naima .
_t4 		that's soy milk . 
_t4 		that's Daddy's soy milk . 
_t4 		milk . 
_t4 		do you want some soy milk ? 
_t4 		baby ? 
_t4 		d'you [: do you] want some soy milk ? 
_t4 		you want some moo .
_t4 		watch how we play . 
_t4 		what shall we play ? 
_t4 		okay you picked john coltrane . 
_t4 		miss Naima . 
_t4 		cds are not for you . 
_t4 		you . 
_t4 		that's john coltrane . 
_t4 		mister train . 
_t4 		hey what's on your face baby ? 
