_t4 		what did you do ? 
_t4 		and this might go here . 
_t4 		I think +...
_t4 		I think this piece +//. 
_t4 		I think I found a beak over there .
_t4 		see ? 
_t4 		all that piece has is beak . 
_t4 		this is another part of a bird . 
_t4 		do you think it goes here ? 
_t4 		mmmm+hmmm .
_t4 		I think we could find a corner piece that might +//. 
_t4 		oh wait .
_t4 		this is a corner piece that must go up here . 
_t4 		the bird's body is (.) there .
_t4 		mmmm+hmmm . 
_t4 		let's [: let us] see . 
_t4 		hmmm .
_t4 		let's find other cor(ners) +//. 
_t4 		oh wait , there's a tiny bit of pink flower .
_t4 		where is that pink flower ?
_t4 		mmmm . 
_t4 		xxx is it an edge piece or not ?
_t4 		does it have one sm(ooth) , one flat side ? 
_t4 		let's [: let us] look at the picture of the cover , on the cover , and see where a piece of bud belongs . 
_t4 		I got that one up here .
_t4 		up there ? 
_t4 		oh , you're right .
_t4 		and there's fur on it . 
_t4 		he:y . 
_t4 		right there . 
_t4 		mmmm+hmmm .
_t4 		oh here's another edge , I mean corner piece .
_t4 		I wonder if that's the corner piece for the bottom left . 
_t4 		mmmm+hmmm . 
_t4 		I think upside down and sideways . 
_t4 		like that ? 
_t4 		and I think (.) this corner piece might go +//. 
_t4 		oh wait , maybe not .
_t4 		I think maybe this is the corner piece for this side . 
_t4 		I don't know if it goes there .
_t4 		I think we need more fur .
_t4 		we need a bottom piece with more fur . 
_t4 		let's [: let us] see . 
_t4 		like that . 
_t4 		xxx bottom piece .
_t4 		now see if this corner piece goes . 
_t4 		he:y . 
_t4 		uh+huh ?
_t4 		hmmm . 
_t4 		mmmm , you need some white to match that . 
_t4 		here's a corner piece . 
_t4 		where +//? 
_t4 		oh .
_t4 		how bout [: about] up in this part ?
_t4 		maybe . 
_t4 		we're still missing one more corner piece . 
_t4 		let's [: let us] find the corner piece .
_t4 		hmmm . 
_t4 		I don't see it .
_t4 		wait , this is a corner piece . 
_t4 		this must go here .
_t4 		probably missing one edge piece here .
_t4 		xxx .
_t4 		let's [: let us] see . 
_t4 		hmmm , there's a side piece . 
_t4 		that goes there .
_t4 		well , it's [: it has] gotta go right on the edge , doesn't it ? 
_t4 		along that edge I think . 
_t4 		wait a minute . 
_t4 		I think that's a black ear . 
_t4 		I think that goes up here .
_t4 		aha . 
_t4 		see look , there's the black ear ?
_t4 		so that's the top part . 
_t4 		mmmm+hmmm .
_t4 		feels like we're missing pieces though . 
_t4 		are we sitting on any ?
_t4 		oh !
_t4 		you were sitting on one piece . 
_t4 		xxx .
_t4 		I don't know . 
_t4 		oh , it looks like the other +/. 
_t4 		is it the other ear ?
_t4 		or part of this ear ? 
_t4 		check here .
_t4 		does it fit in to that ? 
_t4 		hmmm . 
_t4 		no .
_t4 		does this go here ? 
_t4 		it does . 
_t4 		and that goes there .
_t4 		the whole top edge is done now .
_t4 		Naima , how about if that +//?
_t4 		yeah , is it right ? 
_t4 		no .
_t4 		it's too loose to fit . 
_t4 		how bout [: about] +..?
_t4 		I don't think we have a place to put that one yet . 
_t4 		it looks like an ear . 
_t4 		maybe it's the other +//.
_t4 		maybe it goes +...
_t4 		look and see how the brown branch connects to the black ear ?
_t4 		that's this right here . 
_t4 		o:h . 
_t4 		it does go there . 
_t4 		yes . 
_t4 		I think so ,  .
_t4 		mmmm+hmmm ?
_t4 		I checked . 
_t4 		I'm not .
_t4 		I'll check again if you want me to .
_t4 		no , I'm not . 
_t4 		xxx . 
_t4 		yeah . 
_t4 		let's [: let us] see here .
_t4 		those two go +//. 
_t4 		no , they don't go .
_t4 		they look like they go , but they don't .
_t4 		xxx . 
_t4 		no , it doesn't go . 
_t4 		xxx . 
_t4 		xxx . 
_t4 		I don't know . 
_t4 		let's [: let us] find more edge pieces .
_t4 		there have_to be at least a few . 
_t4 		this is an edge piece , this is an edge piece , this is an edge piece .
_t4 		o:h , a very small amount of pink , uh+huh .
_t4 		mmmm . 
_t4 		that doesn't go . 
_t4 		sometimes you just have_to try a+lot of pieces and see what , what fits . 
_t4 		does that go ? 
_t4 		yeah , I guess it does go . 
_t4 		that's nice , isn't it ? 
_t4 		oh , we still need some edge pieces to be found . 
_t4 		this is another edge piece . 
_t4 		where it goes , I don't know .
_t4 		mmmm . 
_t4 		how bout [: about] there ? 
_t4 		oh , that goes .
_t4 		oh I wonder if this now goes here . 
_t4 		ya:y !
_t4 		it's starting to look more like the picture , isn't it ? 
_t4 		that doesn't go there .
_t4 		I think the  be +/.
_t4 		mmmm+hmmm . 
_t4 		some black , we need an edge piece that has a little black in it .
_t4 		do you s(ee) +/.
_t4 		but that didn't look like an edge piece .
_t4 		this is an edge piece .
_t4 		oh ,  , an ear ? 
_t4 		how about on there ? 
_t4 		will it attach to that ear ?
_t4 		I think s(o) +//. 
_t4 		no ?
_t4 		are you sure ?
_t4 		let's see .
_t4 		you were right , it doesn't go there . 
_t4 		mmmm+hmmm . 
_t4 		certainly , the first time you do a puzzle is the hardest I think . 
_t4 		do you think so ? 
_t4 		Daddy will be very surprised . 
_t4 		that doesn't go there . 
_t4 		hmmm . 
_t4 		that goes .
_t4 		all that bluish . 
_t4 		I still don't understand what piece goes there , though .
_t4 		cause there's a+lot of fur involved . 
_t4 		xxx , that doesn't really go . 
_t4 		hmmm . 
_t4 		I think we're missing an edge piece that has black in it . 
_t4 		those don't have any edges . 
_t4 		well I hope we weren't missing a piece when it was a new puzzle . 
_t4 		let's [: let us] lift up and look and see if we +... 
_t4 		somehow did we miss some ? 
_t4 		look behind you , where the other box is . 
_t4 		are there any pieces under that ? 
_t4 		guess not . 
_t4 		okay , maybe we're just missing a piece . 
_t4 		well , we could still put together most of it . 
_t4 		even if we're missing +/.
_t4 		well I wanna keep going .
_t4 		I wanna keep going and see what we can do . 
_t4 		that goes there .
_t4 		hmmm . 
_t4 		where's the picture ?
_t4 		maybe this , maybe this connects over here .
_t4 		no . 
_t4 		mmmm+hmmm .
_t4 		mmmm+hmmm ?
_t4 		hmmm ? 
_t4 		oh , this goes here .
_t4 		I think this goes here . 
_t4 		o:h , is it part of an ear ? 
_t4 		does it go over here ? 
_t4 		it's [: it has] got white . 
_t4 		the white is part of the face of the panda .
_t4 		does it ? 
_t4 		mmmm +...
_t4 		it's a little bit loose .
_t4 		how bout [: about] +/?
_t4 		how bout [: about] +/?
_t4 		it's a very white part . 
_t4 		but with a little black . 
_t4 		I'm not sure we have a place for that .
_t4 		where does the panda have stripes ?
_t4 		so that goes somewhere here . 
_t4 		jaw piece . 
_t4 		actually that looks right .
_t4 		where's that +/? 
_t4 		oh , that's the nose , where +/.
_t4 		see where it gets very very bluish white ?
_t4 		that must be the nose . 
_t4 		try over here , Naima . 
_t4 		what about here ?
_t4 		oh , no , I guess not . 
_t4 		all+right .
_t4 		mmmm . 
_t4 		we got two ears already . 
_t4 		oh , here's another edge piece . 
_t4 		it's really hard to spot them . 
_t4 		that goes there , I think . 
_t4 		this go here ?
_t4 		not really ,  .
_t4 		no ,  . 
_t4 		this is +//.
_t4 		oh , but this goes here .
_t4 		and this goes here . 
_t4 		and we need one more edge piece right there .
_t4 		hmmm .
_t4 		it must have some white and some black , do you see ? 
_t4 		well , that goes there . 
_t4 		and this goes this way . 
_t4 		I think +...
_t4 		uh . 
_t4 		we're getting there , Naima ! 
_t4 		we have more +//. 
_t4 		I think more than half the pieces are put together .
_t4 		do you think so ?
_t4 		you're right . 
_t4 		and it has to be an edge , too .
_t4 		hmmm . 
_t4 		oh .
_t4 		this is an edge . 
_t4 		try that on the side there .
_t4 		okay , that means we've [: we have] done all the edges . 
_t4 		look .
_t4 		all four edges .
_t4 		that's something .
_t4 		at least we did that . 
_t4 		hmmm . 
_t4 		it's pretty white , isn't it ? 
_t4 		hmmm .
_t4 		xxx . 
_t4 		it's like putting the cars down in the right street ?
_t4 		xxx . 
_t4 		he:y . 
_t4 		o:h !
_t4 		that goes very nicely right there . 
_t4 		something must go there somehow . 
_t4 		hmmm , it must have some sky and it must have some white .
_t4 		so the bluish and the white it has to have . 
_t4 		how about that ?
_t4 		no ?
_t4 		bluish and has to have some white . 
_t4 		oh , and it has to have a tiny bit of black .
_t4 		how about this ? 
_t4 		hmmm . 
_t4 		how bout [: about] over here , Naima ?
_t4 		try it there .
_t4 		well , I think +... 
_t4 		well , maybe not .
_t4 		hmmm . 
_t4 		this is not a particularly easy puzzle , is it ?
_t4 		I'm gonna try this here .
_t4 		how bout [: about] there ? 
_t4 		oh no maybe not cause that's its belly .
_t4 		it has to be a place where there's blue sky .
_t4 		it might go over here somewhere .
_t4 		he:y .
_t4 		good job . 
_t4 		I think that goes there . 
_t4 		hmmm . 
_t4 		Daddy left his tv on downstairs . 
_t4 		that doesn't go there . 
_t4 		that goes there . 
_t4 		let's [: let us] see , that has some white fur and some black +//. 
_t4 		oh , that has the eye , Naima .
_t4 		you've [: you have] got the eye piece . 
_t4 		how bout [: about] there ?
_t4 		no it  probably go , no . 
_t4 		well , the other eye should be over here somewhere . 
_t4 		yes , I know I know .
_t4 		that goes there . 
_t4 		that's where it goes .
_t4 		we only have one , two , three , four , five +...
_t4 		I think we have nine . 
_t4 		look .
_t4 		one , two , three , four , five , six , seven , eight +... 
_t4 		nine .
_t4 		we're almost done .
_t4 		mmmm+(o)kay .
_t4 		I don't know .
_t4 		you have a runny nose again . 
_t4 		good . 
_t4 		try this corner .
_t4 		mmmm+hmmm . 
_t4 		I think so .
_t4 		hmmm . 
_t4 		xxx we should celebrate when we're done ?
_t4 		ya:y , we did i:t ! 
_t4 		we did the whole puzzle . 
_t4 		sixty pieces . 
_t4 		that was fun .
_t4 		no , let's [: let us] not .
_t4 		this way we can save it and put it up if we want to save it to look at . 
_t4 		xxx .
_t4 		you wanna pretend ? 
_t4 		we didn't ? 
_t4 		we did i:t ! 
_t4 		yep [: yes] , could you count how many more we could fit (.) if we wanted to ?
_t4 		you only need +//.
_t4 		lemme [: let me] give you a hint .
_t4 		you +...
_t4 		you actually don't have very many more . 
_t4 		well , if we get some more they'll have a place there , won't they ? 
_t4 		is that right ? 
_t4 		you just got +//.
_t4 		you just did a new one , sweetie .
_t4 		I think we should open the window a little cause it's so nice outside . 
_t4 		yes .
_t4 		these windows do have screens . 
_t4 		we don't have_to worry about that . 
_t4 		I haven't seen that in a long time .
_t4 		do you remember that book ? 
_t4 		Naima's Knight . 
_t4 		I think you actually probably have it memorized . 
_t4 		you know that book so well . 
_t4 		Naima's Knight . 
_t4 		look at all the stickers !
_t4 		why does it have all those stickers on ? 
_t4 		do you remember ?
_t4 		why did you put stickers on ? 
_t4 		you're a fierce +/.
_t4 		ooh !
_t4 		you're a fierce bear because +/.
_t4 		ooh !
_t4 		I'm so scared . 
_t4 		go away ?
_t4 		oh .
_t4 		little cub ! 
_t4 		are you a fierce bear or are you a cub ?
_t4 		that's what I thought .
_t4 		oh , little cub .
_t4 		little tiny cub .
_t4 		o:h , okay . 
_t4 		you're gonna be born ?
_t4 		okay .
_t4 		inside ? 
_t4 		you probably have your eyes closed when you're inside . 
_t4 		it probably looks very bright when you come out . 
_t4 		oh , my baby !
_t4 		what's your name , little baby ?
_t4 		you don't wanna decide ? 
_t4 		okay .
_t4 		hello .
_t4 		your name's [: name is] gonna be  Naima  .
_t4 		okay . 
_t4 		your name's [: name is] gonna be Isabelle .
_t4 		yes ?
_t4 		okay .
_t4 		you're named Isabelle ? 
_t4 		oh+my+goodness , how rare and wonderful !
_t4 		you're getting tangled in my (.) my equipment here , dear . 
_t4 		sit up for a second . 
_t4 		okay .
_t4 		xxx .
_t4 		you like being a Bornean sun bear ?
_t4 		is that your favorite ? 
_t4 		mmmm .
_t4 		cu:b .
_t4 		little cub . 
_t4 		xxx .
_t4 		okay .
_t4 		what's it like in there ? 
_t4 		is it cozy ? 
_t4 		and warm ?
_t4 		oh , a cub is being born . 
_t4 		there she is !
_t4 		you're a Bornean sun bear cub and your name is Isabelle . 
_t4 		oh , the calendar ? 
_t4 		cause it's June now .
_t4 		today is June fourth .
_t4 		can you find where that is on the calendar ?
_t4 		can you find it ? 
_t4 		you're right .
_t4 		I think it was rainy both days . 
_t4 		do you wanna get the , down the stamps ? 
_t4 		well , yesterday it was sunny in the afternoon but it was cloudy in the morning . 
_t4 		and I don't remember about the day before that . 
_t4 		yes , it was .
_t4 		you were asleep .
_t4 		you were very much asleep . 
_t4 		here's the stamps .
_t4 		can you pick out what's the right weather ?
_t4 		what's the right weather for today , Naima ?
_t4 		here , you can pick out which one .
_t4 		what's that one ?
_t4 		lemme [: let me] see .
_t4 		that's sunny . 
_t4 		that just means very sunny . 
_t4 		are there clouds out there too , or is it just very sunny ? 
_t4 		well , then that's a good stamp for today , which is June fourth . 
_t4 		can you find the four ? 
_t4 		four is the number that goes with fourth . 
_t4 		wo:w , a Bornean sun bear cub . 
_t4 		how rare , how wonderful ! 
_t4 		ya:y ! 
_t4 		okay , bring the ink box and the stamps over then .
_t4 		thank+you .
_t4 		here .
_t4 		right here , put in right in there . 
_t4 		yes , you stamped the right date . 
_t4 		okay . 
_t4 		can you close the ink box and bring it to me ?
_t4 		without getting ink on your fingers maybe ? 
_t4 		thank+you . 
_t4 		well I don't want the ink to accidentally get on anything . 
_t4 		do you wanna do the spindle box , Naima ? 
_t4 		use the spindle box ?
_t4 		would you like to build the tower ? 
_t4 		okay . 
_t4 		there you go . 
_t4 		remember the pad first .
_t4 		good job , Naima . 
_t4 		good job . 
_t4 		hmmm . 
_t4 		it's rare and wonderful .
_t4 		oh , good job .
_t4 		good job .
_t4 		okay . 
_t4 		I'll put this back . 
_t4 		I was +/.
_t4 		mmmm+hmmm ? 
_t4 		xxx . 
_t4 		well , you know what ?
_t4 		remember how the two drum tapes were slightly different ?
_t4 		I think one of them has the new songs and the new version of drum and the other one has the old version of drum . 
_t4 		oh .
_t4 		that's okay . 
_t4 		you know who that is .
_t4 		coming ! 
_t4 		I am an ambulance driver and a mommy . 
_t4 		let's [: let us] go right to the bed . 
_t4 		v:room   .
_t4 		who are you ? 
_t4 		are you gonna be the nurse who meets the ambulance at the door ?
_t4 		okay , you better do some triage . 
_t4 		you know what that is ?
_t4 		that means you (.) you go the animals and you figure out which animal is the most sick because the animal who is the most sick ise the one that needs to be seen by the doctor first . 
_t4 		Emma is ? 
_t4 		I see . 
_t4 		oh , dear . 
_t4 		you think so ? 
_t4 		two ear boo+boos ? 
_t4 		two is quite a few . 
_t4 		all+right , I'll be the nurse . 
_t4 		okay . 
_t4 		two ear boo+boos and a lantern in the belly . 
_t4 		that's quite serious . 
_t4 		that's called +/.
_t4 		&aw .
_t4 		oh , and what's wrong with you ?
_t4 		oh .
_t4 		xxx . 
_t4 		and this bear is very sick , too .
_t4 		well , you're both gonna need some medicine .
_t4 		here's yours .
_t4 		you have your own medicine ? 
_t4 		with you ?
_t4 		oh . 
_t4 		you could go and get that .
_t4 		no , actually I don't have_to .
_t4 		I'm +/.
_t4 		you go get it and bring it back .
_t4 		you're too sick ? 
_t4 		o:h .
_t4 		well I'm too  . 
_t4 		xxx .
_t4 		two can play at that game , ya [: you] know . 
_t4 		yeah , I'm too bink .
_t4 		xxx .
_t4 		a:w .
_t4 		you need your what ? 
_t4 		your what are medicine ? 
_t4 		lego medicine ? 
_t4 		okay , well , I've [: I have] got some other lego medicine right here which I could give you . 
_t4 		okay .
_t4 		okay . 
_t4 		all+right . 
_t4 		she walked and walked .
_t4 		hey , I'm finding books here I haven't seen +//. 
_t4 		whoops .
_t4 		for a long time . 
_t4 		and what's this ? 
_t4 		triangle ?
_t4 		we haven't seen that for a long time .
_t4 		uh+oh .
_t4 		what's going on ? 
_t4 		really , is she that sick ? 
_t4 		hmmm .
_t4 		mmmm+hmmm . 
_t4 		crying ? 
_t4 		a:w .
_t4 		poor Isabelle .
_t4 		okay , I'm gonna give you some special water .
_t4 		you know another word for special water +/.
_t4 		that they really call it when they're in a hospital ?
_t4 		they call it i+v fluid . 
_t4 		xxx , there we go . 
_t4 		xxx , okay . 
_t4 		oh , I'm so sorry that she's crying . 
_t4 		you'll feel better in just a minute . 
_t4 		do you remember we talked about going to Earthly Delights ? 
_t4 		well , not right this minute , but I think in a few minutes .
_t4 		maybe in fifteen minutes or so , we'll get ourselves ready to go do that . 
_t4 		do you know the other day when I was on the phone with   +... 
_t4 		that  started the vacuum cleaner and started vacuuming all by himself ? 
_t4 		did you know that he can do that ?
_t4 		he likes vacuuming . 
_t4 		he uses a vacuum cleaner all by himself . 
_t4 		you know , you're the only child I know really who doesn't like the noise of vacuum cleaner . 
_t4 		some children actually like that noise . 
_t4 		I'm not sure .
_t4 		but he does .
_t4 		it looks extremely sunny out . 
_t4 		ouch .
_t4 		there's a pig in the sheets ? 
_t4 		oh , is there a pig on the carousel ?
_t4 		yeah .
_t4 		really ? 
_t4 		what's wrong with Isabelle ? 
_t4 		o:h . 
_t4 		where's her mother ? 
_t4 		I have_to be both ? 
_t4 		take what ? 
_t4 		yeah . 
_t4 		my+goodness . 
_t4 		I'm sorry to hear that , my dear . 
_t4 		she does . 
_t4 		okay . 
_t4 		okay , come over here . 
_t4 		I'll put it around the back of you again , okay ? 
_t4 		that means we have_to get there well before eleven o+clock . 
_t4 		well right now it's nine+thirty , so if you wanna have juevos we're gonna have_to go fairly soon . 
_t4 		I'm just gonna finish putting these books away , then we should put some clothes on and go out . 
_t4 		yeah ! 
_t4 		we haven't seen it for a while .
_t4 		I'm gonna use it as a book ,  +//. 
_t4 		what this is is called a +...
_t4 		it's called a +//.
_t4 		I forget what it's called .
_t4 		bookend . 
_t4 		I'm gonna put it up there to keep some books up there too .
_t4 		you have a lot of good books here that you haven't read for a long time . 
_t4 		I noticed . 
_t4 		Vera's First Day of School , yep [: yes] . 
_t4 		and Hooray for Rodney Rat . 
_t4 		and A Pocket for Corduroy . 
_t4 		he wanders into the laundromat ?
_t4 		well , he goes into the laundromat with Lisa , doesn't he ? 
_t4 		that's right . 
_t4 		he spends the night by himself , doesn't he ? 
_t4 		he does .
_t4 		xxx . 
_t4 		Corduroy is special that way .
_t4 		xxx .
_t4 		that's a good idea . 
_t4 		I bet he can get away from danger .
_t4 		well , I'm gonna use it up there as a bookend , cause that's what it's +//. 
_t4 		oops .
_t4 		Naima , come put it up here . 
_t4 		I'll show you how it works .
_t4 		right up here , it's gonna be like (.) an extra space for your books . 
_t4 		I thought I'd put all the paperbacks in this nice box so they'd be easy to get out (.) and read .
_t4 		Naima .
_t4 		keep em [: them] in the red box . 
_t4 		it's a good place for them . 
_t4 		yes , like this .
_t4 		I'm gonna show you .
_t4 		see , the wall is one end +...
_t4 		and it keeps all the books from falling . 
_t4 		why don't you pick out some clean clothes to wear today ? 
_t4 		it might be a good day for shorts or , or leggings or (.) even a dress if you feel like it .
_t4 		I know you like shorts , though . 
_t4 		aren't you a girl who likes shorts ? 
_t4 		I thought so . 
_t4 		yeah .
_t4 		you're dis+attached again ? 
_t4 		okay . 
_t4 		I'm a nursie in the other room ? 
_t4 		why don't you pick out some shorts to wear ? 
_t4 		and a t+shirt . 
_t4 		you know , you will have_to wear some sunscreen , but that's all+right . 
_t4 		well , then if we find your sun jacket +... 
_t4 		your sun pants .
_t4 		insect repellent ? 
_t4 		xxx . 
_t4 		yeah , well we have_to go outside . 
_t4 		that's right .
_t4 		that's right .
_t4 		the first thing you need is a clean pair of underwear +/.
_t4 		and the second thing is shorts and a shirt .
_t4 		I'll take that off for you .
_t4 		yeah . 
_t4 		I think we're all done taping . 
_t4 		I'll go turn it off . 
_t4 		you wanna pick out some shorts ? 
_t4 		well , it's sunny .
_t4 		which shorts would you like ? 
_t4 		there's some  +/.
_t4 		wait what ? 
_t4 		just like Santa ? 
_t4 		I know .
_t4 		xxx .
_t4 		o:h , the grandpa bear has a sleeping cap . 
_t4 		that's called a sleeping cap . 
_t4 		okay , again this is June fourth .
