_t4 		today is August sixteenth . 
_t4 		ribbon .
_t4 		yeah , the ribbon was under , let's hide it again .
_t4 		where's the ribbon ? 
_t4 		you wanna hide the koala ?
_t4 		okay , koala .
_t4 		oh , he's too big , he's just hiding his head ! 
_t4 		oh , are you gonna kiss him now ? 
_t4 		why are you calling the carrot , the parrot a carrot ?
_t4 		that's a parrot !
_t4 		yes , you eat carrots , do you think the parrot eats carrots ? 
_t4 		here , have some carrots , parrot . 
_t4 		xxx ,  . 
_t4 		carrot eat .
_t4 		you wanna have this in your hand , the ribbon ?
_t4 		what ? 
_t4 		you wanna eat carrots ? 
_t4 		you wanna ,  , you wanna feed the parrot , okay .
_t4 		what do you need ?
_t4 		tell me what you need . 
_t4 		you want me to give you carrots so you can feed him ?
_t4 		I'm not sure if we have any carrots . 
_t4 		they're not in season . 
_t4 		whoa .
_t4 		whoa , the ribbon got tangled in your hair .
_t4 		tangled .
_t4 		tangled . 
_t4 		tangled , tangled , tangled . 
_t4 		tangled ,  clunk .
_t4 		Naima went clunk , I saw that .
_t4 		you go clunk on the slide ?
_t4 		whoa . 
_t4 		what ?
_t4 		xxx went ding dong ?
_t4 		somebody .
_t4 		somebody was at the door , it was actually  in the end .
_t4 		yeah , it was  .
_t4 		ding dong went  .
_t4 		somebody went ding dong .
_t4 		somebody went ding dong , ringing the bell .
_t4 		and it was  .
_t4 		yeah , where's your dress ?
_t4 		is there a dress anywhere in this room , on the couch , is there a dress on the couch ? 
_t4 		on the couch ? 
_t4 		what's this ? 
_t4 		what is this ? 
_t4 		yeah .
_t4 		should I wear your dress ? 
_t4 		I'm silly cause [: because] I'm putting it on my head ?
_t4 		hello .
_t4 		today was a hot day , wasn't it ?
_t4 		yeah ,  ,  brought things for us , she bought some things for us .
_t4 		thank you ,  .
_t4 		stuff .
_t4 		xxx brought some stuff .
_t4 		do you think the koala would like the , to wear the ribbon on his ear , let me tie the ribbon on his ear .
_t4 		I'm gonna tie a bow .
_t4 		does that look silly ?
_t4 		ding dong  !
_t4 		ding dong  !
_t4 		yeah , she brought things .
_t4 		she went shopping .
_t4 		I'm gonna hide your dress under the container ,  .
_t4 		where's the dress ? 
_t4 		uh .
_t4 		xxx is silly ? 
_t4 		is she really silly ? 
_t4 		yeah , she went shopping for us .
_t4 		she bought things .
_t4 		at the store , she bought things at the store , and she brought them back to us .
_t4 		yeah , I asked her , please go buy these things  , and she did .
_t4 		what ?
_t4 		yeah ,  went bye+bye .
_t4 		you're trying to hide the (.) the puppet , let me help you .
_t4 		the parrot , the parrot puppet ,  .
_t4 		whe:re's the parrot ? 
_t4 		uh , there she is .
_t4 		you call this puppet carrot , that's news to me .
_t4 		oh , you wanna put your hand in ?
_t4 		put your hand in ,  . 
_t4 		it's like a glove , a puppet is similar to a glove , isn't it ? 
_t4 		sit ?
_t4 		oh , the puppet's [: puppet is] sitting , can the puppet sit next to Mommy ?
_t4 		there . 
_t4 		are you almost ready for some supper ?
_t4 		what would you like to eat ? 
_t4 		you're gonna sit , are you gonna relax or you're gonna sit ? 
_t4 		hi , babe .
_t4 		Sleepy Bear was sitting on the couch next to Michelle today .
_t4 		right ? 
_t4 		you're gonna sit there , up on the couch .
_t4 		up on the sofa , sofa !
_t4 		you're on the sofa ! 
_t4 		xxx .
_t4 		sofa .
_t4 		Naima's sofa .
_t4 		oh , you wanna play dominoes , okay .
_t4 		let's play dominoes with the blocks . 
_t4 		that's a great idea , I like that idea . 
_t4 		you want them all the same size , okay ? 
_t4 		okay , you're gonna put some there , okay . 
_t4 		yeah , that's the idea ! 
_t4 		yeah , but you only need to push one , you only need to push the one at the end . 
_t4 		whoa , you did it ,  , you did it ! 
_t4 		I like the way you did it , you did it in the middle and you pushed each side down .
_t4 		okay , ready ?
_t4 		they all fell down ! 
_t4 		you're gonna lie down ?
_t4 		backpack , you wanna take that off , okay .
_t4 		I think we'll stop for a while . 
_t4 		I'll take the backpack off .
_t4 		and we'll play dominoes , and then will have some supper , and Daddy will then come home . 
_t4 		let's see +...
_t4 		that was (.) not very long +...
_t4 		I see . 
_t4 		xxx was eating sitting in that chair ,  , I see .
_t4 		xxx was eating ?
_t4 		are you on the chair ?
_t4 		are you on  chair or  chair ?
_t4 		who was sitting there eating ?
_t4 		oh ,  was on that chair ?
_t4 		oh !
_t4 		you went under the table , didn't you ?
_t4 		there .
_t4 		xxx .
_t4 		you're sitting in  chair ?
_t4 		oh !
_t4 		hnn: . 
_t4 		xxx chair .
_t4 		oh !
_t4 		yup [: yes] .
_t4 		xxx chair .
_t4 		bye+bye .
_t4 		we said bye+bye to them , bye  , bye  , bye  . 
_t4 		didjou [: did you] say bye to  ? 
_t4 		bye+bye  , bye+bye  .
_t4 		bye+bye everybody .
_t4 		bye+bye everybody .
_t4 		today's date is Sunday August eighteenth .
_t4 		yes .
_t4 		I said it's Sunday August eighteenth . 
_t4 		and ,  +...
_t4 		and here we are , we haven't taped for (.) two days .
_t4 		was  sitting in that chair ?
_t4 		and we just had some visitors , didn't we ?
_t4 		bouncy ?
_t4 		oh , was he bouncing on something ?
_t4 		he was jumping ?
_t4 		xxx was jumping , what was he jumping on ?
_t4 		on a shovel ?
_t4 		wha:t ? 
_t4 		xxx was playing in the water . 
_t4 		so Naima was +...
_t4 		xxx water .
_t4 		you said some good sentences this week .
_t4 		Naima said Mommy bring a high+chair .
_t4 		when I was bringing a high+chair into this room .
_t4 		that was +...
_t4 		when was that ?
_t4 		that was when  was here so that was just +...
_t4 		oh , some days ago .
_t4 		Wednesday .
_t4 		news toys ?
_t4 		Wednesday ?
_t4 		Wednesday ? 
_t4 		and you said , and  told me that you said silly boys play in the park .
_t4 		so this week we've seen the , not the very first time but the more frequent subject verb sentences with the subject and the verb in the appropriate place .
_t4 		where did Daddy go ?
_t4 		oops ,  . 
_t4 		I think Daddy went to the bathroom .
_t4 		oh , you wanna play legos ?
_t4 		okay .
_t4 		and what else ,  , let's see .
_t4 		I'm just gonna rearrange the camera for a minute so we can go play legos over there .
_t4 		mo:ve it .
_t4 		oh , you wanna play dominoes ? 
_t4 		we could do that .
_t4 		you wanna play dominoes with the legos ?
_t4 		you wanna make them fall ?
_t4 		okay .
_t4 		we could do that .
_t4 		xxx played legos . 
_t4 		xxx played legos , too .
_t4 		and they fell down ,  made a big tower and Naima knocked it over .
_t4 		crash .
_t4 		kerplunk ! 
_t4 		kerplunk ! 
_t4 		good job ! 
_t4 		and this week Naima really learned how to put one lego on top of another lego and make it s:tick .
_t4 		make it sit , yeah .
_t4 		where did we go with  and  , Naima ? 
_t4 		where did we go with them ? 
_t4 		to the +...
_t4 		yes , we went to the restaurant .
_t4 		xxx was at the restaurant , too !
_t4 		she's  mommy and  mommy .
_t4 		xxx Mommy is +...
_t4 		xxx ,  !
_t4 		and we all went to the restaurant , everybody went to the restaurant . 
_t4 		everybody was eating .
_t4 		was  at the restaurant ? 
_t4 		what's  daddy's name ?
_t4 		what's  daddy's name ? 
_t4 		do you remember ?
_t4 		what's  daddy's name ?
_t4 		who is  daddy ? 
_t4 		xxx his name is ? 
_t4 		xxx is her mommy !
_t4 		xxx is  mommy . 
_t4 		sit , lego ! 
_t4 		there ! 
_t4 		oh , there's a red one on a green one .
_t4 		xxx and  , they were both eating , weren't they ?
_t4 		ooh clunk . 
_t4 		xxx was being funny , wasn't he ?
_t4 		xxx was being silly . 
_t4 		silly +/.
_t4 		yeah , when you said more raisins_a and you wanted raisins he was saying raisins_a !
_t4 		he was imitating Naima ! 
_t4 		he was imitating you ! 
_t4 		you were greeting  ?
_t4 		ah , yeah , I see . 
_t4 		you were greeting  . 
_t4 		you were saying hi  . 
_t4 		somebody was playing with the legos ?
_t4 		xxx was playing with the legos , he built this piece of a pyramid .
_t4 		Naima knocked it down . 
_t4 		Naima knocked it down .
_t4 		Naima knocked down the blocks that were on top of the legos .
_t4 		I saw you do that . 
_t4 		mmmm   .
_t4 		xxx .
_t4 		are you talking like a puppy dog ?
_t4 		you building tower with the red legos ?
_t4 		nn   .
_t4 		looking for a red lego ?
_t4 		there's a red lego . 
_t4 		right there , near your toe . 
_t4 		near +...
_t4 		another red lego ?
_t4 		there it is !
_t4 		wouldjou [: would you] like it ? 
_t4 		okay ?
_t4 		red , that is a red one , another red one .
_t4 		yeah , that's a blue one , right .
_t4 		what color's [: color is] this one ?
_t4 		yeah !
_t4 		what color ?
_t4 		gree:n .
_t4 		that's right , it's a green one . 
_t4 		what're you doing to the legos , Naima ?
_t4 		what're you doing with the legos ? 
_t4 		what're you doing ?
_t4 		you're helping the legos ?
_t4 		oh !
_t4 		you're helping them stick together ? 
_t4 		Mommy can stick them together , too .
_t4 		xxx made some really good lego (.) objects .
_t4 		xxx put your blocks on top of the lego tower .
_t4 		and Naima knocked them down .
_t4 		yeah .
_t4 		Naima's [: Naima is] helping the legos ?
_t4 		okay , let's see , can I help you get these ?
_t4 		Mommy will help you get these legos .
_t4 		you want another blue one , here you go .
_t4 		okay , I'll give you all the blue ones now . 
_t4 		here's some more blue ones , two more blue ones .
_t4 		here's three blue ones .
_t4 		Naima needs the blue legos ! 
_t4 		blu:e !
_t4 		hey , Naima ! 
_t4 		do you remember when badega came to visit the other day ? 
_t4 		do you remember when badega came to visit ? 
_t4 		who else came that day ?
_t4 		snape ? 
_t4 		badega's [: badega is] a little animal , remember ? 
_t4 		oh yes , you put him under your leg .
_t4 		and who else came ?
_t4 		remember pagadi came ? 
_t4 		pagadi came to visit also . 
_t4 		another blue one , okay .
_t4 		here's some blue ones .
_t4 		who else came to visit that day , who were +//?
_t4 		badega !
_t4 		and who else , who were the women who came , what were their names ?
_t4 		you remember who they were ? 
_t4 		xxx .
_t4 		people , yeah .
_t4 		xxx . 
_t4 		and ?
_t4 		xxx . 
_t4 		yeah .
_t4 		they brought stuff withem [: with them] !
_t4 		they , they brought special toys .
_t4 		and they brought books too , we looked at their books . 
_t4 		and other books , yup [: yes] .
_t4 		I'm giving you all the blue ones , here . 
_t4 		hey , and this the letter z is blue also . 
_t4 		letter z is wet ? 
_t4 		wha:t ? 
_t4 		xxx got wet cause [: because] she went swimming in the water .
_t4 		what was she wearing on her eyes ? 
_t4 		what was she wearing on her +//?
_t4 		she was wearing a hat ?
_t4 		she was wearing goggles . 
_t4 		xxx was wearing goggles .
_t4 		yeah .
_t4 		goggles are glasses , that's right .
_t4 		special kinda [: kind of] glasses . 
_t4 		yes , that's a red one .
_t4 		and it's attached to a yellow one .
_t4 		yes , those are blue , that's right .
_t4 		and I've got some green ones right here . 
_t4 		green ones !
_t4 		yellow .
_t4 		it's yellow like your toothbrush . 
_t4 		yeah , Naima has a yellow toothbrush . 
_t4 		and Mommy has a yellow toothbrush too .
_t4 		Daddy red ?
_t4 		Daddy's teeth ?
_t4 		does he brush his teeth sometimes ?
_t4 		when we go to bed we brush our teeth , right ?
_t4 		at bedtime we brush our teeth ? 
_t4 		and Naima brushes her (.) own teeth by herself , right ? 
_t4 		yeah , that's green .
_t4 		you know what +..?
_t4 		you're taking the green one off ?
_t4 		you know what color that is ?
_t4 		no , it's not red .
_t4 		that's black . 
_t4 		black .
_t4 		that's a black lego . 
_t4 		here's another black lego .
_t4 		whoa , isn't that funny ? 
_t4 		nother [: another] black one .
_t4 		right , nother [: another] black lego . 
_t4 		what color's [: color is] this ? 
_t4 		you know that color . 
_t4 		what color is that ? 
_t4 		is it green ? 
_t4 		no: ! 
_t4 		is it black ?
_t4 		lemme [: let me] see , no that's not black !
_t4 		what color is this ? 
_t4 		no: , this is red . 
_t4 		red , this is a red one . 
_t4 		this is a yellow one ! 
_t4 		this is the letter c .
_t4 		yellow !
_t4 		yellow and red ! 
_t4 		yellow and red !
_t4 		the car is +...
_t4 		but , yeah , this is the body of the car . 
_t4 		this is the body of Naima . 
_t4 		this is white . 
_t4 		this is a white lego . 
_t4 		you know how sometimes you like +...
_t4 		yeah , yellow .
_t4 		another yellow one .
_t4 		you know sometimes you like to find all the white rocks outside in the driveway ? 
_t4 		this is that same color , white . 
_t4 		okay .
_t4 		yeah , that's a red one , that's right .
_t4 		yeah , that's a green one .
_t4 		here's a red one .
_t4 		here's a green one .
_t4 		I'm gonna ,  , you're gonna put a red one on top of the green ones !
_t4 		oh: , what happened there ? 
_t4 		here , let me help you . 
_t4 		try that again . 
_t4 		there ! 
_t4 		there ! 
_t4 		nn  . 
_t4 		I think Daddy's gonna get in the car soon , he's gonna [: going to] go somewhere . 
_t4 		Daddy's gonna go visit some friends . 
_t4 		that's right , Daddy and  are friends . 
_t4 		yup [: yes] ,  is Daddy's friend .
_t4 		and  and  are your friends . 
_t4 		we went to the beach with them , didn't we ? 
_t4 		what did we do at the beach ?
_t4 		we played with the buckets +... 
_t4 		what else did we do ?
_t4 		which shovel did we use ?
_t4 		that big shovel , didn't we use the big one ? 
_t4 		big shovel . 
_t4 		what did we do at the beach , though ?
_t4 		we got wet , yes !
_t4 		yes , we were swimming !
_t4 		I was pulling you with my hands , you were swimming .
_t4 		Mommy was helping you swim .
_t4 		oh , y'wanna [: you want to] play dominoes with the legos , okay .
_t4 		let's , let's do that , let's see .
_t4 		let me do it like +...
_t4 		we need to make some dominoes .
_t4 		yes ,  played legos with us .
_t4 		legos were falling down ? 
_t4 		yeah . 
_t4 		oh , the blacks are fall +...
_t4 		yeah , you did it ! 
_t4 		you made the dominoes fall down . 
_t4 		whoa . 
_t4 		whoa   .
_t4 		Naima get it .
_t4 		did you get it ? 
_t4 		yeah .
_t4 		oh , you got it out of the box ?
_t4 		that lego was in the box .
_t4 		Mommy's building , Mommy's making dominoes .
_t4 		Mommy's making some dominoes .
_t4 		the legos fall down ? 
_t4 		xxx legos .
_t4 		xxx made some stuff with the legos . 
_t4 		here's more dominoes !
_t4 		yeah , the blocks fa:ll down .
_t4 		they fell down when you knocked them down .
_t4 		another block ?
_t4 		hey , another blocks , more blocks ?
_t4 		there's another block under the sofa .
_t4 		Mommy sofa ?
_t4 		does that mean I have_to go get something ? 
_t4 		can you remind me where you thought the   might be ? 
_t4 		xxx if somebody else  .
_t4 		oh , the  box under the bed in my office ?
_t4 		you're reaching something , what are you reaching ?
_t4 		you need some help reaching ?
_t4 		okay , let me help you then .
_t4 		okay .
_t4 		what did you find ? 
_t4 		oh , you found a card under there !
_t4 		and Mommy found a block . 
_t4 		and you found a card too . 
_t4 		here's , here go the dominoes , you ready ? 
_t4 		hmmm , here are some letters , here's the letter a . 
_t4 		here's the letter a . 
_t4 		here's the letter n .
_t4 		you hid the cards under that sofa . 
_t4 		I don't think there are any balls under the sofa .
_t4 		I don't think so .
_t4 		I'm gonna make some towers .
_t4 		badega !
_t4 		you remember badega ? 
_t4 		badega was +...
_t4 		oh , badega was fuzzy !
_t4 		you're fuzzy ? 
_t4 		let's see .
_t4 		badega was a fuzzy animal . 
_t4 		oh , clunk !
_t4 		you knocked down the tower ! 
_t4 		what're you doing , Naima ? 
_t4 		you're doing blocks ? 
_t4 		what're you doing with the blocks ? 
_t4 		are you making a tower ?
_t4 		Mommy's making a tower .
_t4 		Mommy's making a tower with the blocks .
_t4 		oh , there's another block right there . 
_t4 		those are the big blocks over there .
_t4 		are you almost ready to have some dinner ?
_t4 		xxx played with those blocks ?
_t4 		oh .
_t4 		did you put something else ,  , there's the card .
_t4 		there's the card , I'm gonna put the cards in the box . 
_t4 		you're looking at that card ?
_t4 		nn ,  , that's a picture of Mommy , that's right .
_t4 		thank you !
_t4 		that's a picture of me . 
_t4 		that's a picture of me .
_t4 		that's your book . 
_t4 		that's your book , Naima .
_t4 		you wanna read it ?
_t4 		look at that .
_t4 		&aw .
_t4 		how bout [: about] some supper , boo ?
_t4 		ouch . 
_t4 		Naima's [: Naima is] making a tower ?
_t4 		help you ? 
_t4 		nn .
_t4 		didn't find it ?
_t4 		um +...
_t4 		that's red !
_t4 		uh , there's one other place , I doubt it's there but I could check .
_t4 		where's that ?
_t4 		that's white , yes , it's a white lego .
_t4 		no , I'm just thinking of +...
_t4 		that's a blue one , yeah .
_t4 		I'm thinking of various places where papers have gone , (.) blue tower when we've cleaned up for an open house .
_t4 		there's a paper bag in my office with a few pieces of paper in it , it could be in there . 
_t4 		um , how long ago dijou [: did you] get that now ?
_t4 		long time ago , about two months . 
_t4 		that long ago ? 
_t4 		yeah .
_t4 		I don't think so . 
_t4 		well , six weeks at least . 
_t4 		maybe . 
_t4 		well , if you wanna play with her , I'll look for it .
_t4 		sure .
_t4 		are you still recording ?
_t4 		yes , I am , I'll just give you the  +...
_t4 		you're gonna play with Daddy for a few minutes ?
_t4 		hey ! 
_t4 		lucky Daddy !
_t4 		hey , legos !
_t4 		oh , you have ,  made a bunch of legos .
_t4 		xxx made a bunch of legos .
_t4 		he made a really big tower and you knocked it down , didn't you ?
_t4 		you like knocking it down .
_t4 		yeah Mommy went for , to do a job for Daddy in a minute .
_t4 		she'll be back .
_t4 		yeah !
_t4 		oh , you're giving me this , thank you .
_t4 		yeah , it's Naima , Naima's card ?
_t4 		yeah , hey , who's that , who's that boo ?
_t4 		that's Mommy .
_t4 		yeah , that's Mommy looking (.) much younger . 
_t4 		that's a long time ago .
_t4 		yeah , Mommy office ?
_t4 		where , what office ? 
_t4 		hey , let's make a car . 
_t4 		oh , you're making another car ?
_t4 		there's another car over there .
_t4 		I like these blocks , I haven't used these before , look a g ! 
_t4 		a g block ! 
_t4 		I can't believe it , it's a g block ! 
_t4 		and a k block ! 
_t4 		that's funny .
_t4 		oh my , they have so many different letters !
_t4 		that's an n , you're right , my good young girl !
_t4 		who told you +..?
_t4 		that's another n .
_t4 		no , that's a g , nice guess , I guess one in twenty six +...
_t4 		after a while the statistics'll [: statistics will] take over .
_t4 		that's a k .
_t4 		that's a k , look at that , that's +...
_t4 		that's a g , when it's that way , it's a g .
_t4 		that's an n .
_t4 		that's a u: .
_t4 		that's a y: .
_t4 		see , that's a u: and that's a y: . 
_t4 		yeah . 
_t4 		that's red , that's a red k . 
_t4 		and that's a red g . 
_t4 		what a system ! 
_t4 		white , that's a white lego .
_t4 		that's a white lego , that's right . 
_t4 		yeah , you're knocking the legos off .
_t4 		that's  lego , yeah , he made a big lego city , didn't he ?
_t4 		he made a big city .
_t4 		yeah .
_t4 		you could make another lego car right here . 
_t4 		now we have two cars and in fact they hook together , look at that , Naima . 
_t4 		see , they hook together . 
_t4 		what an ingenious invention , legos . 
_t4 		ingenious . 
_t4 		yeah , it's tricky , how do you get them off ?
_t4 		it's tricky .
_t4 		oh , boo , hold on . 
_t4 		oh , sweetie pie , there , i got it off , sweetie look . 
_t4 		geez Louise . 
_t4 		geez Louise . 
_t4 		geez Louise . 
_t4 		Louise ?
_t4 		geez Louise ! 
_t4 		it's not on the  refrigerator , is it ?
_t4 		i've cleared off the fridge .
_t4 		oh . 
_t4 		but I am looking for stuff in the cabinet  .
_t4 		geez Louise .
_t4 		yeah .
_t4 		you're acting a wee bit on the cranky side .
_t4 		right at your feet , my dear .
_t4 		it's right at , behind you , right at your feet .
_t4 		there , you got it ! 
_t4 		she's been learning some letters , is that so ?
_t4 		Jules ? 
_t4 		young lady , that's you , you young lady .
_t4 		you young lady .
_t4 		you young lady .
_t4 		white , that's white .
_t4 		blocks .
_t4 		that's a g . 
_t4 		g ! 
_t4 		hey , we can spell a word , look Naima ! 
_t4 		that's g , that's u , and that's y , and that spells guy . 
_t4 		that spells guy , and you know what a guy is , you have a guy . 
_t4 		nn , that's right .
_t4 		whose card is this ?
_t4 		yeah .
_t4 		it's expired , it's an expired card .
_t4 		is Mommy under there , no ! 
_t4 		here's another card .
_t4 		white .
_t4 		yeah .
_t4 		Mommy under the couch , why ?
_t4 		why , Naima , why , tell me , tell me why ?
_t4 		oh , baby !
_t4 		you're a young lady , boo .
_t4 		that's , that's a microphone , baby boo , that's a microphone .
_t4 		why ?
_t4 		you want me to take it off ?
_t4 		why ? 
_t4 		why , why are you taking it off ?
_t4 		I did .
_t4 		hey , hey , you took it off , you took it off .
_t4 		how did you do that , miss baby o ?
_t4 		yes baby .
_t4 		what's the matter whiny girl ?
_t4 		you're tired , you know , you're sleepy .
_t4 		shall we give you some supper ? 
_t4 		well , I guess Daddy's gonna go .
_t4 		yeah .
_t4 		well , that's too bad .
_t4 		yeah , and you definitely checked down next to your computer , huh ?
_t4 		I did .
_t4 		did you have other piles of stuff that got moved     , any piles of stuff    ?
_t4 		no , I don't know , I mean I guess I'll go down and take a quick look .
_t4 		blue , blue , blue .
_t4 		cause [: because] what I remember is +...
_t4 		blue , blue , blue .
_t4 		blue , blue , blue .
_t4 		what about other piles of papers right around the computer ?
_t4 		cause [: because] you had a couple of piles that were sitting on the table .
_t4 		you have two , now you have two .
_t4 		you have two , baby o . 
_t4 		uh o , baby o . 
_t4 		I think you need to eat , Naima . 
_t4 		why dontchou [: don't you] take care of her , I will go down and look . 
_t4 		I'll go down and look for a few , then I'm gonna go . 
_t4 		Naima , it's just +...
_t4 		hey , do you have enough recording ? 
_t4 		I don't know yet .
_t4 		I guess so .
_t4 		have you got some legos there ? 
_t4 		oh , let's see , what are you giving me ?
_t4 		oh , thank you boo .
_t4 		okay .
_t4 		let's play .
_t4 		xxx play legos with you .
_t4 		oh , thank you , that's red and yellow legos .
_t4 		thank you . 
_t4 		three legos , that's a two green ones and a red one . 
_t4 		right , should I pull them apart ?
_t4 		wouldjou [: would you] like that ? 
_t4 		there . 
_t4 		hmmm .
_t4 		on , okay .
_t4 		today is August twenty+fifth , it's Sunday , and we are in Maine .
_t4 		Sunday . 
_t4 		Sunday .
_t4 		and we're in Maine . 
_t4 		welcome to Maine , that's right . 
_t4 		oh , Mommy cut her hair the other day .
_t4 		you saw me cutting my hair , you saw somebody cutting my hair .
_t4 		Daddy took you where I was cutting my hair ?
_t4 		yeah .
_t4 		I know , I remember that . 
_t4 		it was a place .
_t4 		and there was a woman who was blow+drying my hair . 
_t4 		I don't like getting my hair blow+dried . 
_t4 		she was just drying my hair . 
_t4 		yeah .
_t4 		she was just drying my hair ,  look , you're gonna make more legos sit there ?
_t4 		nn , this is a tall tower , Naima . 
_t4 		this is a ta:ll tower . 
_t4 		hey .
_t4 		Daddy , we're building a very tall tower . 
_t4 		wow . 
_t4 		with a black lego , that's right .
_t4 		xxx . 
_t4 		is what ?
_t4 		xxx .
_t4 		uh , it should be in my black (.) plaid bag which is somewhere in here . 
_t4 		unless I took it out when I was in the car and was reading it . 
_t4 		but I had it in that bag originally . 
_t4 		if it's not there then it's in the car . 
_t4 		and you get charged twelve dollars if you don't return them . 
_t4 		I was thinking  maybe I could walk near  +...
_t4 		you can go now , as you can see we're (.) playing quietly and taping and +...
_t4 		okay . 
_t4 		we are fine . 
_t4 		right Naima ? 
_t4 		Daddy's going for a walk .
_t4 		Mommy and Naima are playing with legos . 
_t4 		Naima and Mommy are playing with legos .
_t4 		making a very tall tower ! 
_t4 		yeah , can I put this on top ? 
_t4 		whaddayou [: what do you] think about this ?
_t4 		this is +...
_t4 		oh okay , are you mad at that block ? 
_t4 		nn , yellow . 
_t4 		welcome to Maine , Naima .
_t4 		welcome to Maine !
_t4 		doggy+woggy , is that his name now ?
_t4 		doggy+woggy happened ? 
_t4 		what happened to doggy+woggy ? 
_t4 		lucybucy ? 
_t4 		oh , doggy+woggy going on top of the tower . 
_t4 		that's Lucy and that's the doggy . 
_t4 		what's the doggy's name ?
_t4 		doggy+woggy , hi doggy+woggy ! 
_t4 		kissing doggy+woggy ? 
_t4 		you gave him +...
_t4 		Lucy .
_t4 		lucybucy , did you give her a new name , lucybucy ?
_t4 		kiss lucybucy .
_t4 		the dog is on top of the tower , doggy+woggy's [: doggy+woggy is] on top of the tower ! 
_t4 		getting a kiss . 
_t4 		getting a kiss . 
_t4 		uh , the tower fell down .
_t4 		you're gonna build a tower again ? 
_t4 		all+right , let Mommy help you okay , if I hold it it's easier . 
_t4 		there . 
_t4 		doggy+woggy was on top of the tower .
_t4 		playing ?
_t4 		is Lucy playing with doggy+woggy ? 
_t4 		oopsy .
_t4 		yeah , he's sitting , you want him to sit on the tower or near the tower ?
_t4 		doggy+woggy is on top of Lucy ?
_t4 		is he balancing there ?
_t4 		is Lucy sitting on the tower ?
_t4 		Lucy ! 
_t4 		yeah ?
_t4 		I know , I'm just tryina [: trying to] get this in a better spot .
_t4 		oh , it's alright . 
_t4 		o:h , play , okay .
_t4 		let's play .
_t4 		let's make more towers . 
_t4 		more towers , honey . 
_t4 		what's the matter ? 
_t4 		let's make a tower again . 
_t4 		is that in your way , I'm sorry . 
_t4 		okay . 
_t4 		okay .
_t4 		oh , there's pictures of elephants there .
_t4 		kissing elephants ?
_t4 		kissing your toes . 
_t4 		oh , Lucy's [: Lucy is] kissing the elephants now ? 
_t4 		oh .
_t4 		bump ?
_t4 		hi elephants . 
