_t4 		hurt your toe ? 
_t4 		the last time we taped was +... 
_t4 		either Thursday or Friday , so there's been a few days . 
_t4 		you can eat it out of the container . 
_t4 		and you can have +... 
_t4 		why don't you use this spoon okay . 
_t4 		where's my coffee . 
_t4 		I'm gonna drink the coffee that Daddy made for me . 
_t4 		mmmm . 
_t4 		yummy . 
_t4 		Naima do you know what we're doing today ? 
_t4 		we're gonna go somewhere . 
_t4 		it's Monday +... 
_t4 		and on Mondays we go to play+group . 
_t4 		who might be there ?
_t4 		who do you think might be there ? 
_t4 		you want me to tell you who might be there , well +...
_t4 		xxx and  might be there . 
_t4 		xxx and  will probably be there . 
_t4 		who else ? 
_t4 		it is , it's a little (.) garlic hummus container . 
_t4 		oh what words are you reading here , are there letters ? 
_t4 		what do you think it says ?
_t4 		that's a g , big g .
_t4 		can you read it ?
_t4 		that's a little s right there . 
_t4 		this is a c . 
_t4 		that says garlic hummus . 
_t4 		right there .
_t4 		it does .
_t4 		who else might be there ,  +... 
_t4 		xxx might be there . 
_t4 		xxx might be there . 
_t4 		xxx might be there . 
_t4 		mmmm: +... 
_t4 		xxx might be there . 
_t4 		we:ll ,  +... 
_t4 		oh you're holding it while you're eating it ? 
_t4 		how come you +//.
_t4 		why do you like garlic hummus and you won't eat any other kind of hummus ? 
_t4 		Naima . 
_t4 		do you know why ?
_t4 		you wanna eat what ? 
_t4 		original garlic hummus .
_t4 		yeah why won't you eat the original garlic hummus ? 
_t4 		I said take it away ? 
_t4 		is that what I said ? 
_t4 		sometimes when the store doesn't have garlic hummus , we have_to buy another kind of hummus . 
_t4 		but sometimes you won't eat that . 
_t4 		even though they're very similar , don't you think ? 
_t4 		don't you think they taste almost the same ? 
_t4 		they do , but you won't eat the original kind ? 
_t4 		and you won't eat the vegetable hummus either . 
_t4 		I wondered about that . 
_t4 		is +//.
_t4 		are there carrots in the original ? 
_t4 		I don't know if there +//.
_t4 		yeah , there might be carrots in the vegetable hummus . 
_t4 		are you saying that you don't like that ? 
_t4 		oh .
_t4 		that's why you don't like the ori(ginal) +//.
_t4 		I don't think there's +//.
_t4 		oh are you thinking cause [: because] the original hummus has orange on the (.) container ? 
_t4 		hmmm . 
_t4 		I see .
_t4 		hmmm . 
_t4 		who else ,  +...
_t4 		well +... 
_t4 		how about ,  ,  . 
_t4 		xxx might be there . 
_t4 		mmmm+hmmm .
_t4 		you're holding it what ? 
_t4 		oh who else might be at play+group , mmmm: +...
_t4 		I think we +//.
_t4 		oh , I know ,   and his new baby brother +... 
_t4 		might be there . 
_t4 		his new baby brother's name is  . 
_t4 		xxx is his name . 
_t4 		what ?
_t4 		oh , you want more almond+butter on bagel ? 
_t4 		kay [: okay] . 
_t4 		you're having a pretty good breakfast . 
_t4 		you do ? 
_t4 		you just asked me for more +...
_t4 		almond+butter on bagel . 
_t4 		I don't know if we have baby yogurt but I can check in a minute . 
_t4 		why don't you have this while I'm checking ? 
_t4 		cause [: because] you asked for this , remember we talked about eating what you ask for ? 
_t4 		yeah , I'm gonna check now . 
_t4 		have_to be a little bit patient . 
_t4 		um , we don't actually have any . 
_t4 		uh +... 
_t4 		baby yogurt , but we do have plain yogurt . 
_t4 		okay . 
_t4 		I'll give you some plain yogurt .
_t4 		yeah .
_t4 		yep [: yes] there's a cow right there . 
_t4 		yeah .
_t4 		who's it talking to ? 
_t4 		who's it saying moo to ?
_t4 		the cow's looking at me ?
_t4 		oh+my+goodness . 
_t4 		cows do nurse . 
_t4 		yep [: yes] . 
_t4 		oh I've got myself in a pickle here . 
_t4 		I don't want a pickle +... 
_t4 		just wanna ride on my motor +... 
_t4 		(motor)cycle . 
_t4 		singing a very old silly song . 
_t4 		hey . 
_t4 		you having a nice big breakfast ? 
_t4 		are you ? 
_t4 		baby ? 
_t4 		silence . 
_t4 		silence . 
_t4 		the baby does not speak . 
_t4 		oh I'm sorry you're a to:ddle:r . 
_t4 		you're a silent toddler . 
_t4 		are you looking outside ? 
_t4 		looks like a nice day . 
_t4 		xxx this is a . 
_t4 		xxx just +/.
_t4 		funny time to launch the  .
_t4 		I know , I know . 
_t4 		I don't know what's the matter with me . 
_t4 		it +/.
_t4 		am I on tape ? 
_t4 		yeah you're on tape . 
_t4 		oh my god ! 
_t4 		in fact I will switch over +... 
_t4 		when you come to have your breakfast +... 
_t4 		I will +... 
_t4 		give you +... 
_t4 		the (.) microphone . 
_t4 		Naima you know what I'm doing here ? 
_t4 		you know what I'm doing here , I'm making a special +... 
_t4 		cupboard +... 
_t4 		for you to get your own cups . 
_t4 		and snacks . 
_t4 		wow . 
_t4 		when you're ready to have snack(s) . 
_t4 		Naima that's a big step . 
_t4 		that means you can +/.
_t4 		what ? 
_t4 		want some cloth ?
_t4 		cloth ?
_t4 		to make a cupboard for you ?
_t4 		this is a cupboard . 
_t4 		this is a cupboard . 
_t4 		I'm making a cupboard for you down here . 
_t4 		a cupboard is like a cabinet . 
_t4 		cabinet . 
_t4 		xxx for you .
_t4 		yeah . 
_t4 		whenever you want a drink you can get your own sippy cup . 
_t4 		and come and ask a grown+up for some juice or water or soy+milk . 
_t4 		and it's gonna have some plates for you so you can pick out your own plate . 
_t4 		and it will have a little bit of snacks for you so you can even get your own snacks sometimes . 
_t4 		okay . 
_t4 		xxx shower .
_t4 		yep [: yes] . 
_t4 		what ? 
_t4 		he is gonna go to work today .
_t4 		his vacation is over . 
_t4 		unfortunately . 
_t4 		it's what+ing its letters ? 
_t4 		it has letters running +... 
_t4 		words running by . 
_t4 		it says touch or cancel is what it says . 
_t4 		yeah .
_t4 		sorry I'm making all this noise . 
_t4 		you have almond+butter under your +... 
_t4 		wheel there  . 
_t4 		that is good , this is kind of useless . 
_t4 		lemme [: let me] just get a few things out of the way . 
_t4 		xxx .
_t4 		xxx ?
_t4 		can you put these bowls up there ? 
_t4 		there's two there .
_t4 		you can sit here . 
_t4 		I do wanna put away a few more of these things .
_t4 		well +... 
_t4 		xxx shower right ?
_t4 		are you  imminently I thought you said you had some time .
_t4 		I will .
_t4 		I do have time but +... 
_t4 		xxx .
_t4 		well , I wanna get this out of your way .
_t4 		xxx . 
_t4 		xxx . 
_t4 		well that's less important  . 
_t4 		you should take a shower and then if there's time on the other end . 
_t4 		all+right all+right . 
_t4 		Naima's cookies . 
_t4 		what do you need ? 
_t4 		what do you need to eat , something more ? 
_t4 		oh you want some Naima's cookies , let's see . 
_t4 		think there were some in here . 
_t4 		are these stale ? 
_t4 		mmmm .
_t4 		okay . 
_t4 		you're done ?
_t4 		Daddy's about to eat . 
_t4 		he's gonna eat and then go to work . 
_t4 		because my vacation is o:ver . 
_t4 		my vacation is over . 
_t4 		I'm just waiting to put the mic on you and then I'll go .
_t4 		I'm gonna put the microphone on Daddy . 
_t4 		I'm standing here .
_t4 		can't you just leave it there ?
_t4 		oh where is he going , do you mean is he going to the hospital or the office ? 
_t4 		I'm going to the hospital . 
_t4 		well I'm going to the hospital first and then the office . 
_t4 		why don't you just turn around for a second . 
_t4 		yeah the hyacinths are at the +... 
_t4 		office . 
_t4 		does he have regular hyacinths or grape hyacinths there ? 
_t4 		yep [: yes] , I do have regular hyacinths . 
_t4 		Mommy's taking a shower Daddy's gonna have his breakfast and I'm gonna sit with you ! 
_t4 		well , Mommy's gonna take a shower first . 
_t4 		wanna nurse in the shower ? 
_t4 		boy , look at those cookies . 
_t4 		Naima boo . 
_t4 		dya [: do you] wanna [: want a] flake ?
_t4 		oat+bran flake ?
_t4 		no ?
_t4 		it's amaranth+flake ya [: you] wanna try it ? 
_t4 		you wanna eat oat+bran flakes ? 
_t4 		mmmm , Daddy's eating amaranth+flakes . 
_t4 		I a:m . 
_t4 		I am !
_t4 		nope [: no] . 
_t4 		I'm eating amaranth+flakes . 
_t4 		mmmm . 
_t4 		amaranth+flakes . 
_t4 		shall I clean you up miss boo+boo ?
_t4 		okay . 
_t4 		you want me to put cave+land on first and then clean you up ? 
_t4 		okay .
_t4 		can I finish eating one or two more bites of my cereal ? 
_t4 		oh baby  !
_t4 		Naima  ! 
_t4 		looks like it's a mixture of +... 
_t4 		almond+butter +... 
_t4 		and bread +... 
_t4 		a:nd what else ? 
_t4 		mmmm .
_t4 		blueberries and yogurt ,  .
_t4 		what a (.) combination . 
_t4 		that's quite a combina(tion) +/.
_t4 		it's a combination of food all+right . 
_t4 		almond+butter , blueberries . 
_t4 		mmmm .
_t4 		mmmm+hmmm .
_t4 		o:h ! 
_t4 		you trying to put the cookie back together again like a puzzle , that's a great idea . 
_t4 		did you eat any cookie cause [: because] if you did then some pieces are missing they're in your tummy ! 
_t4 		mmmm .
_t4 		mmmm .
_t4 		I think there's a missing piece in your tummy cause [: because] you ate it didn't you ? 
_t4 		did you eat some cookie ? 
_t4 		well then that's probably where the missing piece is . 
_t4 		a cookie+bunny ? 
_t4 		a cookie+bunny ! 
_t4 		mmmm .
_t4 		where was the brown bunny ?
_t4 		in your tummy ,  my god !
_t4 		mmmm: . 
_t4 		there was a cookie+bunny and you ate it . 
_t4 		and the pieces are in your tummy , is that what you mean ? 
_t4 		o:h .
_t4 		do you remember the bunnies we saw at the farm ? 
_t4 		I remember the little one's name . 
_t4 		I don't remember the big one's name . 
_t4 		the big one was really big , wasn't he . 
_t4 		yeah .
_t4 		'member [: remember] the rat ? 
_t4 		but it was very big .
_t4 		mice aren't that big , that was a very big rat . 
_t4 		a little girl had that rat as a pet . 
_t4 		she +... 
_t4 		she took it shopping at the grocery store , I couldn't believe it . 
_t4 		mmmm . 
_t4 		you mean the water stopped and she's done with her shower ? 
_t4 		yeah . 
_t4 		you're +//.
_t4 		you're listening very carefully aren't you . 
_t4 		okay you've been very patient boo+boo , let me clean you up . 
_t4 		where was the waterfall ? 
_t4 		oh that waterfall , yeah . 
_t4 		xxx has a little waterfall for her desk . 
_t4 		it's +... 
_t4 		supposed to be like a +... 
_t4 		Japanese or Chinese garden I guess . 
_t4 		you know , she's  mommy . 
_t4 		do you remember  ? 
_t4 		mmmm , boy you have a lot of food on your +... 
_t4 		fingers .
_t4 		mmmm+hmmm on your hands , yeah . 
_t4 		hands and fingers , fingers and toes !
_t4 		I'm trying to get all this combination of food off your hands . 
_t4 		I'm trying but it's not easy , it's kinda [: kind of] difficult ! 
_t4 		that's cause [: because] it's so sticky . 
_t4 		where ?
_t4 		oh is there an insect over there ? 
_t4 		what kind of insect did +//. 
_t4 		could you tell ?
_t4 		a nematode ? 
_t4 		a Naima toad ? 
_t4 		nematode . 
_t4 		I don't know if it was a nematode . 
_t4 		oh it might've been a fly , that makes more sense to me . 
_t4 		mmmm , you have a lot of food on your fingers .
_t4 		blueberry and +... 
_t4 		yogurt , and +... 
_t4 		and blueberries and +... 
_t4 		almond+butter . 
_t4 		oh is that a bagel ,  yeah you're having bagel too I didn't even notice that . 
_t4 		and cookie too , boy what a breakfast ! 
_t4 		you had a cookie+bunny who's in your stomach now ? 
_t4 		you know the easiest way to get your hands clean is to go wash them so after we're done here maybe you could wash your hands . 
_t4 		you could stand on the stool +... 
_t4 		mmmm . 
_t4 		oh , sorry Boo . 
_t4 		kay [: okay] , come on , come on .
_t4 		oh , well let me get it , let me get it boo+boo . 
_t4 		okay , well let me clean your mouth . 
_t4 		Naima let me clean your mouth . 
_t4 		mmmm that's better . 
_t4 		thank you . 
_t4 		little bit more , you're almost done . 
_t4 		you're almost clean . 
_t4 		o:h what a mess this kitchen is . 
_t4 		it is a mess . 
_t4 		it's not a mess ? 
_t4 		I'm trying to clean up the mess . 
_t4 		are there blueberries on your face ? 
_t4 		let me just finish Boo . 
_t4 		o:h ! 
_t4 		I wanna clean you up first . 
_t4 		o:h you baby . 
_t4 		I know you do and Daddy wants to get you out real fast , but I just would like you to be a little cleaner Miss (.) Boo . 
_t4 		there ! 
_t4 		what a big girl , thank you +//.
_t4 		oh , and here's some .
_t4 		on your thigh . 
_t4 		almond+butter on your thigh . 
_t4 		buttah [: butter] , is it buttah [: butter] or almond+buttah [: almond+butter] . 
_t4 		almond+butter , okay . 
_t4 		I'm not an almond Daddy , are you an almond baby ? 
_t4 		xxx . 
_t4 		okay . 
_t4 		okay I'm gonna turn off the recorder +... 
_t4 		and you can go find Mommy if you like . 
_t4 		you sorting things there ?
_t4 		okay .
_t4 		putting the rice over there ? 
_t4 		kay [: okay] . 
_t4 		uh , this is still Monday the nineteenth .
_t4 		you sure you don't wanna +//.
_t4 		I thought that you told me that you would like to have some macaroni and cheese . 
_t4 		oh I thought you picked out +//.
_t4 		all+right , let's put this one back +... 
_t4 		and you can have the chicken cup . 
_t4 		cluck cluck it says . 
_t4 		all+right sweetie . 
_t4 		you know this is +//.
_t4 		Mommy really needs to work on this . 
_t4 		it's not for Naima right now to do the sorting , you can help me sort this a little later . 
_t4 		right now I'd like you to come to your high+chair and (.) sit up and have some lunch ! 
_t4 		no .
_t4 		okay you can go on this for a few minutes . 
_t4 		xxx , you need to go over here . 
_t4 		and then you can get in your (.) high+chair and have some lunch . 
_t4 		okay . 
_t4 		you gonna spin yourself ? 
_t4 		let's see , let's get out that macaroni . 
_t4 		macaroni . 
_t4 		here it is , and there's also brown rice , how lucky . 
_t4 		want some brown rice for your macaroni and cheese ? 
_t4 		mmmm .
_t4 		xxx the macaroni ! 
_t4 		do you want it to be warm or you want it cold ?
_t4 		all+right .
_t4 		I'm going to make it warm for you . 
_t4 		yessy . 
_t4 		there are flies outside .
_t4 		they're minding their own business . 
_t4 		the ants are definitely  . 
_t4 		I know .
_t4 		I know , that's okay . 
_t4 		xxx helping me ? 
_t4 		who's helping who ? 
_t4 		let's have the mac and cheese and you can have carrots from a jar too if you want . 
_t4 		okay . 
_t4 		yep [: yes] .
_t4 		yeah .
_t4 		it was .
_t4 		okay Naima . 
_t4 		come on get up on your high+chair .
_t4 		not to have your bre(akfast) +//.
_t4 		your lunch you're not . 
_t4 		come on up here . 
_t4 		are you sleepy , are you too sleepy to eat lunch ? 
_t4 		would you like to go for a ride in the car ? 
_t4 		I need you to sit  chair . 
_t4 		well you can sit there but I'm not gonna give you lunch until you sit in your high+chair .
_t4 		and here it is , look at that +/.
_t4 		okay .
_t4 		yeah !
_t4 		and +... 
_t4 		here +... 
_t4 		this is from breakfast . 
_t4 		sit down . 
_t4 		mmmm , you want a little bit of brown rice too ? 
_t4 		okay .
_t4 		let's see +... 
_t4 		I could mix this brown rice with something . 
_t4 		I  +... 
_t4 		want me to mix it with something , with yogurt maybe ? 
_t4 		I can mix it up , that might be good , I'll put it here +... 
_t4 		then I'll put the yogurt next to it and then I'll mix them together . 
_t4 		or I could mix it with carrot , too . 
_t4 		all+right .
_t4 		a:nd here's the yogurt . 
_t4 		okay . 
_t4 		yogurt , and brown rice  , and you know what else there is , you can have that spoon . 
_t4 		all+right , what did I do with this , okay , sorry , that mic +... 
_t4 		was not in a good place , now it is , I hope . 
_t4 		uh you know what there is there's some delicious black beans that  made . 
_t4 		yeah , thought you might .
_t4 		mmmm . 
_t4 		now I think actually +... 
_t4 		I'm gonna wash your hands a little bit . 
_t4 		xxx , just because you were in a play+ground +... 
_t4 		and I think you might possibly have dirt on your hands . 
_t4 		xxx just +... 
_t4 		can I see this hand too ? 
_t4 		you want some (.) seaweed to sprinkle or some wheat+germ ? 
_t4 		what's what ?
_t4 		oh I think that's an onion .
_t4 		you don't have_to eat it . 
_t4 		you can put it on the side of your plate if you want . 
_t4 		oh you need me to take it out , I think it was in the beans .
_t4 		I'm gonna put it right there , you don't have_to eat it , do you want some seaweed ? 
_t4 		or some wheat+germ ? 
_t4 		you can sprinkle it if you want . 
_t4 		xxx . 
_t4 		let's see . 
_t4 		there we go . 
_t4 		does that food taste good ? 
_t4 		want a little bit of carrot (.) in a jar also ? 
_t4 		if you're gonna have this you need to use both hands , don't forget . 
_t4 		Mommy's gonna eat something +... 
_t4 		I'm gonna toast bagel . 
_t4 		you can have some of mine .
_t4 		oh I was gonna give you some carrot . 
_t4 		how do you like those beans that  made are they good ? 
_t4 		yes ?
_t4 		you want what ? 
_t4 		oh I was , yep [: yes] the +...
_t4 		I have all these dirty dishes in here that are in my way and , they're making some noise . 
_t4 		that is quite true . 
_t4 		yes , sweetie .
_t4 		try your chicken water . 
_t4 		use two hands . 
_t4 		you can wash down whatever you're eating there . 
_t4 		mmmm+hmmm .
_t4 		the chicken's looking at the words cluck cluck ? 
_t4 		cluack cluack .
_t4 		cluck cluck .
_t4 		cluck sounds like clock doesn't it .
_t4 		and buck buck and cluck cluck (.) rhyme , don't they . 
_t4 		buck , buck , cluck +//.
_t4 		no you know what , we don't drink water with our fingers . 
_t4 		I'll give you water in a sippy cup if you wanna taste water , I don't want you sticking your fingers +... 
_t4 		in your glass all the time . 
_t4 		that's not how we drink . 
_t4 		well +...
_t4 		I don't want you to do that . 
_t4 		cause [: because] drinking properly means you drink with your mouth not with your fingers . 
_t4 		you want me to give you a sippy cup with water in it ? 
_t4 		okay .
_t4 		well you can taste it with your mouth . 
_t4 		&u:h , let's see , sippy cup . 
_t4 		you want something else to eat or to drink ?
_t4 		who is  Mommy ,  Mommy's name is  . 
_t4 		you like them ?
_t4 		xxx . 
_t4 		are they a little bit spicy ? 
_t4 		I wasn't , I wasn't sure if they were , or not . 
_t4 		maybe they're spicy . 
_t4 		okay , what am I doing ? 
_t4 		what's Mommy doing , as you like to say . 
_t4 		I'm +//.
_t4 		okay , gonna put (.) some things away that don't really belong upstairs . 
_t4 		I am ,  +... 
_t4 		make a bag full of +... 
_t4 		things that I'm going to put in the basement . 
_t4 		that's what I'm doing . 
_t4 		I don't know if that's still good . 
_t4 		okay let's see . 
_t4 		what ? 
_t4 		you like the beans that she made ? 
_t4 		you can tell her that when you see her next time . 
_t4 		I'm sure she'd like to know about that . 
_t4 		I'm sure she like sit when people (.) like the food that she makes . 
_t4 		I bet +... 
_t4 		that my bagel is getting burned , yep [: yes] . 
_t4 		I was right . 
_t4 		that's what happens when you leave something (.)  in the +... 
_t4 		in a  stove , or a toaster too long . 
_t4 		sometimes . 
_t4 		it gets a little bit burned . 
_t4 		okay .
_t4 		
_t4 		it's gonna be very crunchy and right now it's actually also hot . 
_t4 		I'm gonna cut some so that you can have some . 
_t4 		I'm gonna cool it down before I give it to you , don't worry . 
_t4 		good . 
_t4 		yeah . 
_t4 		mmmm , I'm gonna put cream+cheese on my bagel . 
_t4 		would you like to try some ? 
_t4 		okay .
_t4 		why is it bad ? 
_t4 		why ? 
_t4 		I'll give you naked bagel , I have some here for you that's naked , you don't have_to eat the cream+cheese . 
_t4 		I just thought you might like to try it . 
_t4 		
_t4 		I think that bagel's [: bagel is] still cooling down for you . 
_t4 		I'm gonna give you some plain bagel . 
_t4 		here's plain bagel . 
_t4 		crunchy: . 
_t4 		you like it +//? 
_t4 		the bagel ? 
_t4 		o:h . 
_t4 		that cd ? 
_t4 		what , who gave us what ? 
_t4 		oh .
_t4 		xxx  . 
_t4 		and Vanessa . 
_t4 		I'll go look for it , as soon as I put away this salmon . 
_t4 		uh+huh .
_t4 		Mommy's eating salmon do you wanna try some ? 
_t4 		okay .
_t4 		that's it . 
_t4 		salmon is a little bit salty . 
_t4 		smoked salmon , you could try it . 
_t4 		okay .
_t4 		you gonna hold me with your messy hands ? 
_t4 		hmmm .
_t4 		don't forget you have your water to help wash down whatever you're eating . 
_t4 		okay .
_t4 		now I'm gonna sit down +... 
_t4 		and eat my lunch . 
_t4 		you want more salmon ? 
_t4 		okay . 
_t4 		mmmm , that's a new food for you . 
_t4 		there's some , there's a piece +... 
_t4 		you wanna hold on to me ? 
_t4 		somehow eating the salmon makes you wanna hold on to me ? 
_t4 		cause [: because] it's a new taste ? 
_t4 		yeah .
_t4 		it's okay . 
_t4 		xxx a little interim clean+up here . 
_t4 		did you have fun at play+group today ? 
_t4 		you were playing +/.
_t4 		who else's mommy was there ? 
_t4 		xxx (.) was there . 
_t4 		who's  +//.
_t4 		who +... 
_t4 		xxx is whose mommy ? 
_t4 		right .
_t4 		she's  and  mommy , who else was there ? 
_t4 		&u:m  was there , whose mommy is she ? 
_t4 		right ,  and  mommy . 
_t4 		and +... 
_t4 		xxx was there , whose mommy is she ? 
_t4 		that's right , she's  and  mommy . 
_t4 		and +... 
_t4 		uh  was there . 
_t4 		whose mommy is  ? 
_t4 		xxx . 
_t4 		I'm eating my salmon . 
_t4 		what ? 
_t4 		oh .
_t4 		okay I can get you more yogurt . 
_t4 		you need what ? 
_t4 		okay .
_t4 		here I'm gonna pour it . 
_t4 		you can use that spoon to [?] get [?] it [?] with . 
_t4 		you wanna have some dried apricots ? 
_t4 		I'll cut it up for you . 
_t4 		you wanna talk about a bear for all seasons ? 
_t4 		that's a good book . 
_t4 		I think there's a fox in that book . 
_t4 		mmmm+hmmm .
_t4 		the fox +... 
_t4 		yeah .
_t4 		which bear wanted to nurse ? 
_t4 		mmmm , the artist who illustrated that book ? 
_t4 		she +//.
_t4 		mmmm+hmmm , and a bear for all seasons . 
_t4 		she did .
_t4 		mmmm+hmmm .
_t4 		mmmm+hmmm . 
_t4 		I think she does in that book . 
_t4 		she doesn't squash the worm in that book , I don't think so . 
_t4 		oh , we don't have any , but we could go buy some frozen strawberries . 
_t4 		next time we go to the store . 
_t4 		would you like to do that ? 
_t4 		mmmm+hmmm , would you like some frozen blueberries right now or some fresh banana ? 
_t4 		mmmm , I don't think we have frozen banana . 
_t4 		I'll check .
_t4 		oh , there is a little bit . 
_t4 		xxx get the phone .
_t4 		hello ?
_t4 		hi .
_t4 		okay .
_t4 		uh  look here .
_t4 		July .
_t4 		for  ,  +...
_t4 		xxx nineteenth and twentieth .
_t4 		of July .
_t4 		I hope that's right , I'm like ninety percent sure that's right .
