_t4 		Mommy's microphone .
_t4 		I'm gonna roll the red ball .
_t4 		there it goes .
_t4 		what else is under the chair ?
_t4 		what else is under the chair there ?
_t4 		another ball (.) hey .
_t4 		you got another ball .
_t4 		we have two balls +//.
_t4 		and the clown .
_t4 		hi clown .
_t4 		hey +//.
_t4 		kiss .
_t4 		oh kiss the clown .
_t4 		you're giving him the ring ?
_t4 		yeah .
_t4 		on his head .
_t4 		another ring ?
_t4 		maybe the pony would like the balls .
_t4 		I like the grass better .
_t4 		I like grass better than balls .
_t4 		thank you for the rings .
_t4 		I'm gonna shut that door because the fan is so noisy upstairs .
_t4 		that's a loud fan .
_t4 		the fan makes a big noise .
_t4 		thank you for the ball where's the pole that all the rings and the ball go on ?
_t4 		you know where the pole is ?
_t4 		I don't see it .
_t4 		I see it (.) it's under the chair .
_t4 		can I put some rings on your pole ?
_t4 		there's the hole .
_t4 		yeah  catch ?
_t4 		there .
_t4 		it's okay .
_t4 		maybe it does let me see .
_t4 		no the hole is too small .
_t4 		the pole is too big for this hole .
_t4 		big big .
_t4 		oh (.) I didn't catch it in time .
_t4 		give me another chance ?
_t4 		I caught it .
_t4 		can you catch it ?
_t4 		caught Naima .
_t4 		no (.) you don't wanna catch it .
_t4 		what's that ?
_t4 		ball .
_t4 		the fan .
_t4 		it's very loud isn't it ?
_t4 		it's a big noise .
_t4 		it's very loud .
_t4 		yes .
_t4 		hi clown .
_t4 		hi .
_t4 		hi missus clown .
_t4 		you feeding the horse s'more [: some more] rings ?
_t4 		stuck ?
_t4 		you making peepee now ?
_t4 		are you pooping more ?
_t4 		yeah .
_t4 		I thought so .
_t4 		that's okay .
_t4 		didn't go under the chair .
_t4 		put it under the chair so I have_to retrieve it ?
_t4 		why am I not surprised ?
_t4 		what ?
_t4 		surprise .
_t4 		oh you love that word (.) surprised .
_t4 		I am not surprised .
_t4 		I got you .
_t4 		okay let's see .
_t4 		oh hey there's a ball way down there .
_t4 		here's this ring .
_t4 		and there's the tape .
_t4 		okay (.) okay I'm gonna get the ball .
_t4 		uh+oh .
_t4 		uh+oh .
_t4 		I can't get it .
_t4 		but I got the tape .
_t4 		you know the tape can go on this pole too .
_t4 		I'll have I have_to go over there to get the ball .
_t4 		it's behind the chair now .
_t4 		okay .
_t4 		I got it here's the ball .
_t4 		here's the ball .
_t4 		let's put the mic back on the mic holder .
_t4 		it's a microphone .
_t4 		you can ignore it it's okay .
_t4 		you testing it ?
_t4 		thank you .
_t4 		I'm gonna roll this ball .
_t4 		oh it's like a bangle .
_t4 		it's like a bangle .
_t4 		like a bracelet .
_t4 		still pooping s'more [: some more] ?
_t4 		yes .
_t4 		hi clown .
_t4 		oh it's stuck between your legs .
_t4 		oh+my+goodness .
_t4 		yes ?
_t4 		okay .
_t4 		the clown was riding the horse .
_t4 		that clown was riding the horse .
_t4 		maybe we could roll things and knock other things down with them .
_t4 		that might be fun .
_t4 		where's that tape +..?
_t4 		here's the tape .
_t4 		here's the rings .
_t4 		what can we knock down ?
_t4 		parrot .
_t4 		polly wan [: want] a cracker ?
_t4 		hello hello .
_t4 		hello little girl .
_t4 		oh I +...
_t4 		I love legos I like to eat them .
_t4 		legos are my +//.
_t4 		oh thank you .
_t4 		for that drink of water (.) yummy .
_t4 		can I have some juice ?
_t4 		oh thank you (.) thank you .
_t4 		that's a delicious lego .
_t4 		oh that water .
_t4 		oh more juice  that's very good .
_t4 		it is good isn't it ?
_t4 		parrot .
_t4 		I'm gonna roll things around .
_t4 		well actually maybe we could roll things and they could go into this +...
_t4 		basket .
_t4 		oh that didn't work very well .
_t4 		oops .
_t4 		that's not working at all .
_t4 		I'm putting things in the basket .
_t4 		I'm throwing things into the basket .
_t4 		wanna put the people in the basket ?
_t4 		there .
_t4 		here's another person .
_t4 		great .
_t4 		what else can we +//.
_t4 		oh can we put the squeaky guy in the basket ?
_t4 		squeaky guy's in the basket .
_t4 		here's another person .
_t4 		hey I wonder if (.) yes this peron fits +...
_t4 		in the dump truck .
_t4 		sort of .
_t4 		driving .
_t4 		vroom [x 
_t4 		vroom  .
_t4 		could we look at a book perhaps ?
_t4 		hey what's in this picture ?
_t4 		yeah a boat .
_t4 		who's in the boat ?
_t4 		yeah the bear and who's that ?
_t4 		one berry two berry pick me a blueberry .
_t4 		hat berry shoe berry in my canoe berry .
_t4 		that kind of a boat is called a canoe .
_t4 		what's that ?
_t4 		you know what that is ?
_t4 		it's like a toast tree .
_t4 		with pieces of toast on it .
_t4 		toast .
_t4 		under the bridge and over the dam looking for berries berries for jam .
_t4 		oh no they're gonna fall off the waterfall .
_t4 		they're falling .
_t4 		who who's that ?
_t4 		mice .
_t4 		those are mice .
_t4 		yeah .
_t4 		and look at that pig .
_t4 		what does she have ?
_t4 		an umbrella that's right .
_t4 		oh no +...
_t4 		they're falling down .
_t4 		and the boat's on top of their heads .
_t4 		three berry four berry hay berry strawberry .
_t4 		beach yeah they're at the beach .
_t4 		what's that ?
_t4 		it's a frog !
_t4 		inside +//.
_t4 		who else do we see in that picture ?
_t4 		yeah .
_t4 		two ponies .
_t4 		yeah ponies .
_t4 		and some sheep .
_t4 		yeah they're on the beach in that picture .
_t4 		shoes [?] .
_t4 		he doesn't have any shoes his feet are naked .
_t4 		does that mean naked ?
_t4 		strawberry pony .
_t4 		there's a duck wearing a hat .
_t4 		silly duck .
_t4 		quack quack quack .
_t4 		silly duck .
_t4 		and what's the bear doing ?
_t4 		is the bear dancing ?
_t4 		yeah +...
_t4 		I think we have a battery problem .
_t4 		quick berry quack berry pick me a +...
_t4 		oh a train yes .
_t4 		and there's a boy yes .
_t4 		did you say he fell down ?
_t4 		yes he fell down .
_t4 		dow:(n) .
_t4 		xxx down ?
_t4 		there's a train .
_t4 		the bear is in the train and the boy is in the train .
_t4 		and the duck is in the train .
_t4 		let's investigate this .
_t4 		okay .
_t4 		we're back .
_t4 		come over here okay ?
_t4 		let's go read over here .
_t4 		here's more books .
_t4 		more books .
_t4 		hey .
_t4 		where's the bird ?
_t4 		Tim is drawing +//.
_t4 		you wanna read that one ?
_t4 		oh the bird feeder  you've been reading this one with  I bet .
_t4 		okay .
_t4 		shh Kim oops .
_t4 		Kim keeps quiet and still .
_t4 		where's the bird ?
_t4 		and what's that she's got there ?
_t4 		it's a shovel .
_t4 		just like your shovel .
_t4 		and a bucket too .
_t4 		hand yeah you put a shovel in your hand .
_t4 		the bird pulls a worm from the earth .
_t4 		what a funny breakfast .
_t4 		that bird's eating the worm .
_t4 		worm .
_t4 		you wanna see that again ?
_t4 		oh  this picture is about filling the bird feeder with seed .
_t4 		she's using a spoon .
_t4 		you've done that too yep [: yes] she's putting seeds in the bird feeder with a spoon .
_t4 		yeah +...
_t4 		what does she see up there ?
_t4 		a nest .
_t4 		Daddy brings water for the bird bath .
_t4 		I think he's going to pour that .
_t4 		watch out carrots .
_t4 		what's Daddy gonna do with that ?
_t4 		is he gonna pour the water ?
_t4 		I see the chick there .
_t4 		d'you [: do you] have a chick ?
_t4 		where's that chick ?
_t4 		hi chicky .
_t4 		bawk [x 
_t4 		or does he say cheap cheap cheap .
_t4 		oh and a ball (.) a ball .
_t4 		your diaper cover's [: cover is] coming off .
_t4 		there (.) there (.) hi chick .
_t4 		bawk [x 
_t4 		oh kissing the chick .
_t4 		that was a big kiss .
_t4 		oh putting a hat on him ?
_t4 		are you giving him a hat ?
_t4 		that would make him a very silly chick .
_t4 		kiss you kissed the chick ?
_t4 		let's look at these pictures .
_t4 		who's that ?
_t4 		oh the chick is too big for that small cup .
_t4 		it doesn't fit in .
_t4 		Naima who's that ?
_t4 		and who's that ?
_t4 		that's Daddy .
_t4 		and who's that ?
_t4 		that's you that's not  .
_t4 		and who's that ?
_t4 		you saw  but that's you that's not  .
_t4 		who's that person ?
_t4 		you just talked to +//.
_t4 		yes we talked to her on the phone .
_t4 		just now +...
_t4 		grandma .
_t4 		it's grandma .
_t4 		hi grandma .
_t4 		yes I'm drinking that milk out of this cup .
_t4 		who's that ?
_t4 		great grandma .
_t4 		thanks for the chick .
_t4 		and who's that ?
_t4 		yes .
_t4 		what's my other name ?
_t4 		what's my other name ?
_t4 		I'm drinking milk .
_t4 		what's my other name ?
_t4 		Mommy is my name (.) do I have another name ?
_t4 		my other name is  remember ?
_t4 		the chick is too big for that little cup .
_t4 		oh that fits .
_t4 		that ring is too big too .
_t4 		but the ball fits .
_t4 		big (.) too big ?
_t4 		the ball fits .
_t4 		you need a smaller ring to fit in there ?
_t4 		here's a small ring +...
_t4 		oh  underneath (.) Mommy's going underneath .
_t4 		is that ring (.) the right size ?
_t4 		is that ring too big ?
_t4 		let's see .
_t4 		want me to catch ?
_t4 		there's nothing to catch .
_t4 		what am I catching ?
_t4 		you gotta put something in first .
_t4 		that's too big isn't it ?
_t4 		the chicky's [: chicky is] really too big .
_t4 		what about this ring ?
_t4 		that ring might fit .
_t4 		oh no that's not too big that fits .
_t4 		chick is too big .
_t4 		oh I caught it .
_t4 		I caught it .
_t4 		let's see .
_t4 		what else can we look at ?
_t4 		oh (.) catch (.) okay I caught it .
_t4 		yeah that's the Mama Mama book .
_t4 		Mama Mama .
_t4 		what (.) catch okay .
_t4 		Mama Mama .
_t4 		you wanna read this book okay .
_t4 		you wanna pick out a book ?
_t4 		pick a book .
_t4 		oh that book okay .
_t4 		yes a cat .
_t4 		looks like the cat has some toys .
_t4 		and what's this ?
_t4 		a bear .
_t4 		you wanna pat the bear ?
_t4 		nice bear .
_t4 		flowers .
_t4 		what are they ?
_t4 		flowers .
_t4 		butterfly_a .
_t4 		what's that ?
_t4 		a shirt ?
_t4 		it looks like pants to me but that's close .
_t4 		what's that ?
_t4 		laundry that's right (.) laundry in a basket .
_t4 		what's that ?
_t4 		bucket ?
_t4 		I think it's a bucket (.) a pail .
_t4 		like you have a bucket .
_t4 		look at the +//.
_t4 		kitty+cats .
_t4 		xxx are you patting them ?
_t4 		meow [x 
_t4 		and who's that in the mirror ?
_t4 		that's right that's the soap .
_t4 		what's that ?
_t4 		it looks like a frog (.) it looks like frog soap .
_t4 		yeah .
_t4 		it's soap in the shape of a frog .
_t4 		and there's a mirror (.) who's that ?
_t4 		that's you .
_t4 		it's you the baby .
_t4 		you baby .
_t4 		can you pick another book ?
_t4 		pick another book .
_t4 		let's look at another book .
_t4 		which book is this ?
_t4 		what kind of (.) what kind of book is this ?
_t4 		sushi .
_t4 		yeah the sushi book .
_t4 		go .
_t4 		xxx yeah .
_t4 		cup (.) yep [: yes] (.) tofu in my +...
_t4 		bowl that's right .
_t4 		crab and avocado (.) you know avocado (.) yummy .
_t4 		crab and avocado fill my california +//.
_t4 		roll .
_t4 		I'll take yellow +//.
_t4 		are you standing on me ?
_t4 		are you standing on Mommy's (.)  .
_t4 		leg .
_t4 		from the red and the  +...
_t4 		has so many grains of +...
_t4 		what ?
_t4 		big big futomaki has so many grains of +...
_t4 		rice . 
_t4 		yeah .
_t4 		rice .
_t4 		yummy in my nose ?
_t4 		that is a funny joke .
_t4 		belly .
_t4 		belly .
_t4 		hot hot hot .
_t4 		xxx flying  flying from Japan .
_t4 		someday I'll eat with chopsticks but today just with my (.) hands .
_t4 		yes what's in there ?
_t4 		oh !
_t4 		a block was in that box .
_t4 		I wonder if the chick will fit in the box .
_t4 		oh yes .
_t4 		peek+a+boo .
_t4 		peek+a+boo .
_t4 		peek+a+boo .
_t4 		peek+a+boo .
_t4 		peek+a+boo .
_t4 		what else are we gonna play with ?
_t4 		babies ?
_t4 		it's a special car .
_t4 		what's that ?
_t4 		balls (.) this is one ball .
_t4 		do we have more like this (.)  we do we have three like this .
_t4 		one (.) two (.) three .
_t4 		three brown balls .
_t4 		all gone (.) they're over there .
_t4 		oh you're throwing them over your head  .
_t4 		I got you right in the belly .
_t4 		can you catch the ball ?
_t4 		catch .
_t4 		oh .
_t4 		balls lots_of balls .
_t4 		did you kick that ball ?
_t4 		did you kick that ball ?
_t4 		oh .
_t4 		there it is it's in the cup .
_t4 		hey before this battery runs out .
_t4 		today is Thursday (.) the twenty+sixth of June .
_t4 		and both the sequence and the last one are from today .
_t4 		oh+my+goodness this baby's climbing on me .
_t4 		me .
_t4 		it is heavy isn't it ?
_t4 		yeah .
_t4 		okay  too heavy  put it on my knee .
_t4 		it's almost bed time .
_t4 		it's almost bed time .
_t4 		you're gonna go brush your teeth soon with the toothbrush .
_t4 		remember how to do that ?
_t4 		aqua shoes (.) you can wear your aqua shoes tomorrow .
_t4 		you can wear your aqua shoes tomorrow .
_t4 		when you go outside .
_t4 		thank you for that lovely block .
_t4 		shall we put the people on the blocks ?
_t4 		people .
_t4 		what's the matter ?
_t4 		you are throwing things around .
_t4 		randomly .
_t4 		oh you know what that could hurt your feet if you dropped it .
_t4 		you enjoy throwing things right now ?
_t4 		you're throwing (.)  (.) no be careful .
_t4 		no that's dangerous .
_t4 		I'm gonna put the balls (.) in the box .
_t4 		this box has two balls in it now .
_t4 		and I'm putting the holes on the pole .
_t4 		the holes on the pole .
_t4 		oh .
_t4 		I like this book .
_t4 		puppy+dog .
_t4 		who's this one ? 
_t4 		yeah a firefighter .
_t4 		yes baby bird .
_t4 		cowboy .
_t4 		yes .
_t4 		princess .
_t4 		yes .
_t4 		rag doll .
_t4 		correct (.) you read the whole book by yourself .
_t4 		boo baby .
_t4 		who's that who's that ?
_t4 		puppy dog .
_t4 		right .
_t4 		baby bird .
_t4 		cowboy .
_t4 		princess .
_t4 		and +...
_t4 		rag doll .
_t4 		she's got a funny thing on her head .
_t4 		doesn't she +..?
_t4 		what else do we have here ?
_t4 		this one .
_t4 		I see a zebra .
_t4 		oh meow .
_t4 		are you gonna give the cat some water to drink ?
_t4 		thank you .
_t4 		the other cup is right there .
_t4 		the bigger one .
_t4 		thank you little girl (.)  a person .
_t4 		oh hello person .
_t4 		can I kiss these people .
_t4 		&aw kiss Naima .
_t4 		it's a person .
_t4 		well +...
_t4 		what ?
_t4 		xxx ?
_t4 		xxx not here .
_t4 		you're gonna see  in a couple of +//.
_t4 		shoes (.) shoes . 
_t4 		shoes ?
_t4 		you need shoes right now ?
_t4 		aqua shoes ?
_t4 		you can wear your aqua shoes tomorrow .
_t4 		it's almost bedtime .
_t4 		yeah are you sleepy ?
_t4 		are you sleepy ?
_t4 		okay I caught them .
_t4 		okay .
_t4 		seven o'clock .
_t4 		time for bed .
_t4 		time for bed .
_t4 		let's get ready to go to bed now .
_t4 		let's pick out some books to bring to bed .
_t4 		is that a book you picked out for bed ?
_t4 		okay (.) let's see +...
_t4 		let's bring the very busy spider also .
_t4 		okay (.) we'll bring these two books to bed .
_t4 		let's take this off .
_t4 		yes the microphone that's what we're taking off . 
_t4 		you're having breakfast aren't you what are you eating for breakfast ?
_t4 		odios ?
_t4 		that's what I thought +...
_t4 		I thought it was odios you were eating for breakfast do you need more odios ?
_t4 		is that coming off okay .
_t4 		let's have s'more [: some more] odios . 
_t4 		it's all+right it's just a microphone honey .
_t4 		yeah ?
_t4 		no don't pull it (.) here have s'more [: some more] odios (.) look look soggy .
_t4 		is that a soggy odios ?
_t4 		you can leave that there okay ?
_t4 		that's a microphone here have s'more [: some more] odios .
_t4 		you took your bib off .
_t4 		you took your bib off .
_t4 		by yourself .
_t4 		microphone's [: microphone is] on yeah that's right .
_t4 		howbout [: how about] some wheat ?
_t4 		wheat to eat .
_t4 		wheat to eat .
_t4 		wheat to eat (.) wheat is to eat .
_t4 		today is June twenty+eighth .
_t4 		just gonna have a little more on the tape .
_t4 		did you drop an odio or a piece of wheat on the floor ?
_t4 		is that what happened ?
_t4 		oh+my+goodness .
_t4 		you know these odios are soggy cause they were in the yogurt .
_t4 		soggy odios oh+my+goodness .
_t4 		oh+my+goodness .
_t4 		are you chewing them ?
_t4 		xxx lap (.) where you playing in  lap when you saw  ?
_t4 		what ?
_t4 		say it again ?
_t4 		odios .
_t4 		soggy odios that's what you're eating .
_t4 		they're not very soggy they're just a little bit soggy .
_t4 		odio .
_t4 		odio .
_t4 		you can say it right (.) odio .
_t4 		odio .
_t4 		odio_b [x 
_t4 		have s'more [: some more] yogurt .
_t4 		yogurty .
_t4 		it's yogurty yogurt .
_t4 		yogurty Mommy ?
_t4 		I never heard such a thing .
_t4 		what're [: what are] you doing ?
_t4 		what're [: what are] you doing ?
_t4 		hair+elastic ?
_t4 		what did you do ?
_t4 		what're [: what are] you doing ?
_t4 		what's this ?
_t4 		hair .
_t4 		what is this ?
_t4 		that's your hair .
_t4 		what's this ?
_t4 		it's a hair+elastic isn't it ?
_t4 		what d'you [: do you] need ?
_t4 		you want some rice ?
_t4 		want s'more [: some more] snack ?
_t4 		you want some of these snacks .
_t4 		doink doink . 
_t4 		oh the yogurt fell down and spilled .
_t4 		oh gosh  no is it on your belly  no let me see .
_t4 		oh it's on your belly .
_t4 		you've got a yogurty belly .
_t4 		yogurty belly baby .
_t4 		you wanna put that on the spoon and then eat it ?
_t4 		you're not hungry this morning ?
_t4 		I've got more soggy odios .
_t4 		soggy ones .
_t4 		exactly .
_t4 		soggy odios they're totally soggy .
_t4 		they're totally soggy .
_t4 		totally .
_t4 		you're totally toddler (.) you're totally a toddler .
_t4 		toddler .
_t4 		oh I'm sorry I shouldn't tickle your feet while you're eating huh ?
_t4 		you're kicking my knee .
_t4 		is there hair on the elastic ?
_t4 		that wouldn't surprise me very much .
_t4 		can I put that back in your hair ?
_t4 		no ?
_t4 		no ?
_t4 		I'm gonna try to do it anyway .
_t4 		so you won't get your hair in your eyes .
_t4 		totally toddler .
_t4 		yeah let's not touch the microphone too much .
_t4 		howbout [: how about] s'more [: some more] soggy odios ?
_t4 		soggy food .
_t4 		it's some soggy food .
_t4 		d'you [: do you] hear the birds ?
_t4 		I hear them out the window right now .
_t4 		they're singing .
_t4 		the birds are singing .
_t4 		what ?
_t4 		birds ?
_t4 		are singing .
_t4 		what're [: what are] they doing (.) they're singing .
_t4 		what're [: what are] they doing ?
_t4 		they're singing a song .
_t4 		that's what that bird's singing .
_t4 		that bird isn't singing I've been working on the railroad .
_t4 		two different kinds of songs .
_t4 		yeah like that .
_t4 		no more ?
_t4 		soggy .
_t4 		that's the soggiest odio I've ever seen in the whole world !
_t4 		is it in fact very very very soggy ?
_t4 		you giving that to me ?
_t4 		thank you .
_t4 		I caught it .
_t4 		oh I caught that one .
_t4 		I caught it .
_t4 		oh I caught that piece of cereal .
_t4 		hey there's another really very soggy odio here .
_t4 		it's so soggy and wet .
_t4 		more of that okay .
_t4 		wow look at all those .
_t4 		that's a lot of cereal .
_t4 		that's a lot of cereal .
_t4 		mmmm crunchy .
_t4 		crunch .
_t4 		there's more right here .
_t4 		there's more right here .
_t4 		I'll make it soggy how's that ?
_t4 		hey I found another soggy odio .
_t4 		it's a soggy soggy very soggy odio .
_t4 		giraffe .
_t4 		are you being tall like a giraffe ?
_t4 		are you a giraffe ?
_t4 		what do giraffes eat ?
_t4 		I think they eat leaves .
_t4 		think giraffes eat leaves for breakfast .
_t4 		I know the pieces of cereal fell down when you +//.
_t4 		oh+my+goodness .
_t4 		that's sticking to your finger .
_t4 		that cereal sticks to your finger .
_t4 		that's a funny way to eat .
_t4 		sticky like tape .
_t4 		I've never seen such a thing .
_t4 		oh it's stuck to your finger .
_t4 		it's stuck to your finger .
_t4 		stick (.) stick .
_t4 		sticky .
_t4 		your fingers have (.) yogurt tape on them .
_t4 		that bird is still singing .
_t4 		oh there's one last soggy wet very big swollen soggy odio .
_t4 		right here .
_t4 		giraffe are you being a giraffe a tall giraffe ?
_t4 		are you a tall giraffe eating some leaves ?
_t4 		leaves for breakfast .
_t4 		more odios ?
_t4 		tall .
_t4 		giraffe .
_t4 		eating leaves .
_t4 		you're a tall giraffe eating leaves .
_t4 		tall .
_t4 		ooh tall .
_t4 		giraffe .
_t4 		eating leaves .
_t4 		eating plants eating the trees .
_t4 		yeah let's leave that here's a little more yogurt would you like s'more [: some more] leaves miss giraffe ?
_t4 		howbout [: how about] s'more [: some more] (.) sticky cereal ?
_t4 		no ?
_t4 		tall (.) oops .
_t4 		Mommy spilled the yogurt .
_t4 		it's dirty .
_t4 		yes .
_t4 		I made your straps dirty .
_t4 		want more yogurt ?
_t4 		you didn't eat that much .
_t4 		oh would you like some egg yolk ?
_t4 		would you like egg yolk ?
_t4 		think the egg is cool enough to eat now .
_t4 		yeah .
_t4 		egg yolk exactly .
_t4 		oh boy .
_t4 		that's a lot of egg yolk .
_t4 		yummy .
_t4 		yummy egg yolk .
_t4 		yolk ?
_t4 		yummy you want egg white too ?
_t4 		there's the egg white .
_t4 		gotta chew the egg white .
_t4 		is it good ?
_t4 		xxx another egg  .
_t4 		would you like that to drink ?
_t4 		mmmm multigrain beverage .
_t4 		oh Mommy how delicious can you get ?
_t4 		you got egg all over you now .
_t4 		it's all over your body .
_t4 		want s'more [: some more] egg white ?
_t4 		mmmm egg whites are good aren't they ?
_t4 		good to eat ?
_t4 		yeah .
_t4 		ooh baby .
_t4 		would you like to go to the play+ground this morning ?
_t4 		no not with  with Mommy .
_t4 		Mommy will take you to the play+ground (.) then we have_to go see doctor  .
_t4 		doctor  .
_t4 		yeah we're gonna see doctor  today and nurse ellen .
_t4 		that's what we're gonna do this morning and we're also gonna see  .
_t4 		xxx coming today .
_t4 		yeah .
_t4 		play outside with  and  when you see them ?
_t4 		and with Mommy .
_t4 		and we're gonna see grandma today (.) she's coming .
_t4 		grandma's coming today .
_t4 		grandma (.) yeah we saw  last time we saw grandma .
_t4 		that's nice and cold you know .
_t4 		it's cold food .
_t4 		is that sweet ?
_t4 		it's soy milk .
_t4 		soy milk .
_t4 		yeah ?
_t4 		yeah ?
_t4 		soy milk .
_t4 		yeah ?
_t4 		what ?
_t4 		want more yolk ?
_t4 		it's awfully messy .
_t4 		yeah yolk is messy .
