_d5930 		xxx are you giving me a present ? 
_d5931 		xxx  . 
_d5931 		after all danger of frosts has past . 
_d5931 		does it look the same ? 
_d5931 		what does it look like ? 
_d5931 		hmmm .
_d5931 		nah: !
_d5931 		can you put these things in the garbage for me ? 
_d5931 		those that's garbage there . 
_d5931 		an(d) this too . 
_d5931 		sorry there was more . 
_d5931 		xxx  . 
_d5931 		xxx     . 
_d5931 		okay here's all the different categories of seeds . 
_d5931 		these things we have_to wait until we have our garden built . 
_d5931 		actually that has gotta go elsewhere . 
_d5931 		okay . 
_d5931 		xxx there . 
_d5931 		and this has gotta go +... 
_d5931 		direct seed after last frost . 
_d5931 		you have two kinds of bean seeds is that right ? 
_d5931 		well that's what +//. 
_d5931 		that's all I'm gonna give you right now because we're getting ready +... 
_d5931 		let's see , after last frost .
_d5931 		to go investigate the problem with the grow core . 
_d5931 		or maybe to go to the garden store .
_d5931 		plant outdoors today . 
_d5931 		(be)cause we need some flats to sow seeds in . 
_d5931 		okay . 
_d5931 		xxx    . 
_d5931 		let's go look at that soil and see what the problem is .
_d5931 		xxx . 
_d5931 		oh , brother .
_d5931 		oh , not only is it looking +... 
_d5931 		not different . 
_d5931 		I'm gonna take this +... 
_d5931 		out . 
_d5931 		I think +... 
_d5931 		possibly +... 
_d5931 		yeah .
_d5932 		I don't know let's sit here a while longer . 
_d5932 		I do not know why this is happening . 
_d5932 		but I think maybe we shouldn't have put the stuff on top of it to weight it down . 
_d5932 		let's leave it like this . 
_d5932 		I'm gonna leave it here a while longer . 
_d5932 		now I think +... 
_d5932 		(I)'m (gonn)a [: going to] go to the garden store and get some flats . 
_d5932 		to grow things in . 
_d5932 		no no . 
_d5932 		I want you to leave it right there . 
_d5932 		yeah yeah yeah yeah yeah  .
_d5932 		yeah yeah yeah yeah yeah . 
_d5932 		are you hungry ?
_d5932 		y(ou) know you didn't have a second breakfast yet .
_d5932 		you had milk second breakfast .
_d5932 		do you +//?
_d5932 		Naima . 
_d5932 		Naima .
_d5932 		you're not gonna flip it over .
_d5932 		no no no . 
_d5932 		you're all set .
_d5932 		you're not gonna get a paper towel .
_d5932 		what do you want a paper +//.
_d5932 		can you tell me what you want it for ? 
_d5932 		I know you did .
_d5932 		I don't want you to touch the grow core . 
_d5932 		I want it to stay there and I want it to work . 
_d5932 		so we have_to leave it alone so that it will work . 
_d5932 		hee   . 
_d5932 		alright . 
_d5932 		let's go to the garden store . 
_d5932 		
_d5933 		want some yogurt with berries ? 
_d5933 		ah: . 
_d5933 		sounds like a good idea . 
_d5933 		you can sit at your table here and have some and I'll sit with you .
_d5933 		and do some kinda [: kind of] work while I'm doing that . 
_d5933 		
_d5933 		you want porridge ?
_d5934 		just yogurt with berries ? 
_d5934 		okay . 
_d5934 		oh .
_d5934 		xxx . 
_d5934 		xxx .
_d5934 		oh . 
_d5934 		xxx   . 
_d5934 		this door . 
_d5934 		I shut the +//.
_d5934 		oh Naima did that come out . 
_d5934 		lemme [: let me] fix it please .
_d5934 		I'll fix that . 
_d5934 		I shut this door by accident . 
_d5934 		and I shut it too far and now I can't get it to open . 
_d5934 		xxx . 
_d5934 		probably Daddy can fix it . 
_d5934 		I think Daddy's downstairs .
_d5934 		I'm gonna get you some .
_d5934 		I just have_to get Daddy to come upstairs and help fix the door first . 
_d5934 		or maybe even we left them at the vacation house . 
_d5934 		I think . 
_d5934 		that's possible . 
_d5934 		xxx  . 
_d5934 		(be)cause I can't +//. 
_d5934 		I haven't seen them in our house for a while . 
_d5934 		so I +//. 
_d5934 		either that or they're in one of the cooler bags . 
_d5934 		or could be in Mommy's purse even . 
_d5934 		oh , I didn't even get you your food yet . 
_d5934 		they might look in their silverware drawer +...
_d5934 		and find +... 
_d5934 		the missing spoons . 
_d5934 		it's possible +...
_d5934 		that they might be able to find them . 
_d5935 		I'm gonna bury the berries . 
_d5935 		I'm gonna bury them in yogurt . 
_d5935 		there you go . 
_d5935 		there you go . 
_d5935 		know why it wasn't working anyway . 
_d5935 		there now it should be working . 
_d5935 		I'm gonna play it back and see what happens . 
_d5935 		(ex)cept I have 
_d5935 		I don't know what was happening before .
_d5935 		I don't know why it wasn't working . 
_d5935 		yes . 
_d5935 		yes you are gonna be perfectly fine .
_d5935 		you're not sick . 
_d5935 		more berries dear ? 
_d5935 		xxx . 
_d5935 		canoe+berries ?
_d5935 		I don't think we have any canoe+berries . 
_d5935 		I don't think we have any canoe+berries . 
_d5935 		I know you are .
_d5935 		I know you are . 
_d5935 		look , you're gonna finish this whole bag of blueberries .
_d5935 		look . 
_d5935 		no: . 
_d5935 		go:ne . 
_d5935 		go:ne .
_d5935 		they're all gone . 
_d5935 		o:h no .
_d5935 		
_d5935 		just the blueberry part ?
_d5935 		oh brother . 
_d5935 		o:h . 
_d5935 		yes ?
_d5936 		yes ? 
_d5936 		what's happening ? 
_d5936 		what's what ? 
_d5936 		that's okay that it's not making any noise .
_d5936 		I'm not worried about it not making noise . 
_d5936 		yeah , we don't want that to happen .
_d5936 		have you been to the Autobahn Society where they have the big windows and you can see all their bird+feeders ?
_d5937 		mmmm   . 
_d5937 		are you talking about the Cape Cod Museum of Natural History ? 
_d5937 		or the one in Wellfleet ? 
_d5937 		I think Wellfleet . 
_d5937 		um , I don't think I've taken Naima there . 
_d5937 		oh , they have a great great window . 
_d5937 		overlooking the outdoors . 
_d5937 		we could make a tunnel with that . 
_d5937 		another tunnel . 
_d5937 		well , if you'd like to . 
_d5938 		Naima I think there's one right over there . 
_d5938 		oh well , again you could put two halves together and make a whole one . 
_d5938 		so , Mom whenever you wanna have breakfast +...
_d5938 		you can go ahead       .
_d5938 		okay .
_d5938 		Naima you should have breakfast in a little while . 
_d5938 		ooh . 
_d5938 		yeah you can put some more halves together if we can find them . 
_d5938 		well this is kind of a +//. 
_d5938 		it's not really a half . 
_d5938 		it's a carved out piece you could put together . 
_d5938 		and that will make a whole . 
_d5938 		and here's a different kind of halves you could put together .
_d5938 		Naima this is one that's (.) cut on the diagonal . 
_d5938 		but that goes together and makes a whole one . 
_d5938 		and then +... 
_d5938 		hmmm . 
_d5938 		I don't think that one . 
_d5938 		oh , here .
_d5938 		these two halves (.) will make a whole one . 
_d5938 		a half blocks . 
_d5938 		that's a half block . 
_d5938 		two halves of a half block . 
_d5938 		mmmm+hmmm . 
_d5938 		where +//? 
_d5938 		we could make a tunnel with it . 
_d5938 		would you like to make a tunnel ? 
_d5938 		uh well we could put it here . 
_d5938 		or you could put it over on the other side . 
_d5938 		yeah .
_d5938 		yes .
_d5938 		you need to use all the +//. 
_d5938 		it's good to use all the blocks up . 
_d5938 		it's fun . 
_d5938 		here's a half and there's a half . 
_d5938 		yes it also can make a square . 
_d5938 		and there's a quarter and here's a q(uarter) +//. 
_d5938 		well that's not a quarter , no . 
_d5938 		sorry that's a  +... 
_d5938 		a half block in a half . 
_d5938 		halved . 
_d5938 		a halved half block . 
_d5938 		look at the whole thing . 
_d5938 		xxx    . 
_d5938 		does it need more work ? 
_d5938 		or do you wanna go and have some breakfast ? 
_d5938 		a lot more work . 
_d5938 		you still have more blocks . 
_d5938 		oh .
_d5938 		oh no . 
_d5938 		xxx .
_d5938 		oh the pig says  no .
_d5938 		why does the pig say  no ? 
_d5938 		oh really ? 
_d5938 		he's seeing you . 
_d5938 		oh okay .
_d5938 		he what does he see ? 
_d5938 		oh okay .
_d5938 		hey we got some more of these blocks . 
_d5938 		oh .
_d5938 		well this is almost one of those but not quite . 
_d5938 		but if you put those two ramps together they would make a whole one of those . 
_d5938 		no not this one . 
_d5938 		the other one . 
_d5938 		that one . 
_d5938 		see if you can fit them together . 
_d5938 		to make one of those . 
_d5938 		other blocks . 
_d5938 		maybe if you put it on top you could +... 
_d5938 		get it . 
_d5938 		you figured it out . 
_d5938 		very good . 
_d5938 		and do what ? 
_d5938 		well we've got some that are underneath here . 
_d5938 		well I don't think we have any that make a complete set . 
_d5938 		unless you wanna +//.
_d5938 		unless you want to  +...
_d5938 		okay . 
_d5938 		take those ? 
_d5938 		yes you c(an) +//. 
_d5938 		I'm sure it's okay . 
_d5938 		okay . 
_d5938 		oh the ones that she's using . 
_d5938 		oh , you +//. 
_d5938 		I didn't notice . 
_d5938 		hey  . 
_d5938 		yeah . 
_d5938 		xxx    . 
_d5938 		did you take some of our blocks ? 
_d5938 		I did . 
_d5938 		xxx     . 
_d5938 		Naima noticed . 
_d5938 		oh . 
_d5938 		yes . 
_d5938 		let Grandma  take them away . 
_d5938 		yes we're gonna  +//. 
_d5938 		Mommy can use something else . 
_d5938 		we will find something else .
_d5938 		yeah .
_d5938 		we can do something else .
_d5938 		yeah .
_d5938 		I will get that in a minute . 
_d5938 		
_d5939 		hey , a book . 
_d5939 		we can use a book to put her stuff on . 
_d5939 		oh you want the blue thing too ? 
_d5939 		oh , then we need a lot of books here .
_d5939 		we can put that on (.) some little books . 
_d5939 		I mean on some books here . 
_d5939 		is that high enough ? 
_d5939 		no , we need still higher . 
_d5939 		maybe we'll put this book underneath . 
_d5939 		did you see this block ? 
_d5939 		here's a block . 
_d5939 		alright . 
_d5939 		xxx  . 
_d5939 		now you can take this .
_d5939 		
_d5939 		and we'll push this over here . 
_d5939 		okay . 
_d5939 		wanna go over there ? 
_d5939 		and put your blocks in ?
_d5939 		maybe we need to put another +... 
_d5939 		oops careful Naima .
_d5939 		don't knock this over . 
_d5939 		okay . 
_d5939 		can you go back over there ? 
_d5939 		okay . 
_d5939 		bec(ause) +/.
_d5940 		alright . 
_d5940 		okay .
_d5940 		xxx  . 
_d5940 		oh you pulled that  +//. 
_d5940 		don't pull it out much or the whole garage is gonna cave in . 
_d5940 		it's gonna collapse . 
_d5940 		mmmm+hmmm . 
_d5940 		okay .
_d5940 		well we (.) don't have too many blocks unless we take this apart . 
_d5940 		but you might have enough here . 
_d5940 		do you have enough here ? 
_d5940 		over here ? 
_d5941 		good job . 
_d5941 		should we ta(ke) a  +//. 
_d5941 		you know construction workers take breaks and they have +... 
_d5941 		they have their  snack breaks . 
_d5941 		would you like to go and have a snack break ? 
_d5941 		but are we gonna have a snack break pretty soon ? 
_d5941 		mmmm .
_d5941 		oop(s) . 
_d5941 		is that the way you want it ? 
_d5941 		careful behind you , Naima . 
_d5941 		don't knock that over . 
_d5941 		Mommy's equipment . 
_d5941 		I'll move it out of your way . 
_d5941 		hmmm . 
_d5941 		it's got a sky+light ? 
_d5941 		oh it's got a tall roof . 
_d5941 		Naima you might wanna give Grandma  a little break so she can have some breakfast ? 
_d5941 		well us construction workers are gonna take a break in just a few minutes . 
_d5941 		okay good . 
_d5941 		are you ready ? 
_d5941 		there's fromage +...
_d5941 		yogurt , porridge , muffins . 
_d5941 		mmmm I'm ready for a construction break . 
_d5941 		you too Naima ? 
_d5941 		why don't you try the muffin . 
_d5941 		if you want you could also have +/. 
_d5941 		xxx gonna have a foot operation . 
_d5941 		did you know that ? 
_d5941 		I have a sore foot . 
_d5941 		xxx . 
_d5941 		a joint in my foot hurts . 
_d5941 		so the doctor's gonna fix the +... 
_d5941 		what are you thinking ? 
_d5941 		Naima ? 
_d5941 		I think you were thinking something . 
_d5941 		it's alright . 
_d5941 		you don't always have_to tell people . 
_d5941 		but anyway I will see you on the computer . 
_d5941 		xxx  .
_d5941 		I will show you m(y) +//. 
_d5941 		I'm gonna be wearing a special boot for a while . 
_d5941 		oh . 
_d5941 		I don't have_to have a cast , I have_to wear a special boot . 
_d5941 		on my foot . 
_d5941 		oop(s) . 
_d5941 		no no   it spilled out . 
_d5941 		you hafta pay attention to where your food goes or you're gonna lose it . 
_d5941 		you lost a whole bunch of fromage here . 
_d5941 		we were thinking if you were gonna be here or (.) you know coming back last week of June +... 
_d5941 		I think I've told you there's a garden thing . 
_d5941 		yeah . 
_d5941 		the garden .
_d5941 		did you actually read +..? 
_d5941 		have a chance to read +... 
_d5941 		well I looked at it .
_d5941 		about the garden . 
_d5941 		since it wasn't something I was gonna do I didn't keep it .
_d5941 		I did actually take a look at it . 
_d5941 		but I don't think I'd know  . 
_d5941 		know of them making gardens  . 
_d5941 		so are +//? 
_d5941 		actually are you thinking of coming up ? 
_d5941 		(be)cause next time  .
_d5941 		hmmm , yeah . 
_d5941 		I think that's gonna be the weekend after your vacation . 
_d5941 		oh .
_d5941 		oh , maybe so . 
_d5941 		it's like June twenty+sixth . 
_d5941 		uh . 
_d5941 		oh yeah , the +//. 
_d5941 		yeah . 
_d5941 		I guess so . 
_d5941 		so you would be back ? 
_d5941 		yeah , I think we would be back . 
_d5941 		that'd be great if you wanted to come then . 
_d5941 		hmmm .
_d5941 		well we'd like to have you +//. 
_d5941 		you know , if you'd like to go with us . 
_d5941 		xxx one or two or +...
_d5941 		maybe . 
_d5941 		maybe . 
_d5941 		you don't have_to eat it then . 
_d5941 		it's alright . 
_d5941 		unfortunately I have read +//. 
_d5941 		this is horrible . 
_d5941 		I've read that Bush is coming to Auster that same weekend . 
_d5941 		oh is that the weekend ? 
_d5941 		yeah . 
_d5941 		I did . 
_d5941 		you've read it .
_d5941 		I did not  sure which town it was . 
_d5941 		when I saw that in the paper I thought  no . 
_d5941 		xxx  . 
_d5941 		oh wait yeah . 
_d5941 		hmmm . 
_d5941 		maybe they'll change . 
_d5941 		maybe they'll +//. 
_d5941 		at the last minute something will +//. 
_d5941 		yeah .
_d5941 		xxx  . 
_d5941 		call (th)em away .
_d5941 		Naima what else would you like ? 
_d5941 		what else would you like to eat sweetie ? 
_d5941 		xxx .
_d5941 		xxx . 
_d5941 		you are gonna be okay .
_d5941 		did you like the muffin ? 
_d5941 		the hyacinth tree .
_d5941 		yeah . 
_d5941 		in blossom . 
_d5941 		in blossom . 
_d5941 		in blossom . 
_d5941 		it's blossoming . 
_d5941 		that means it's blooming . 
_d5941 		when you say in blossom it means blooming Naima .
_d5941 		okay . 
_d5941 		Naima do you want some scrambled egg ? 
_d5941 		I would make you some if you wanted .
_d5941 		what ? 
_d5941 		mmmm+hmmm .
_d5941 		xxx    .
_d5941 		you are gonna be okay . 
_d5941 		
_d5941 		with skin ?
_d5941 		Naima decided she liked skin . 
_d5941 		oh . 
_d5941 		pear skin . 
_d5941 		pear skin . 
_d5941 		alright . 
_d5941 		xxx  .
_d5941 		
_d5941 		they do . 
_d5941 		bears love pear skin . 
_d5941 		Klar the Bar ? 
_d5941 		xxx .
_d5941 		Claire Bear . 
_d5941 		instead of Pear Bear you're Claire Bear . 
_d5941 		xxx   . 
_d5941 		Mom would you like some pear ? 
_d5941 		sure . 
_d5941 		I'll have whatever Naima has . 
_d5941 		
_d5941 		no I don't wanna +//.
_d5941 		actually I take that back . 
_d5941 		which she rejected . 
_d5941 		xxx   . 
_d5941 		we don't get pears too often . 
_d5941 		no . 
_d5941 		these are +//. 
_d5941 		actually I got them when we were in Providence at the grocery store . 
_d5941 		oh .
_d5941 		last month . 
_d5941 		organic . 
_d5941 		mmmm+hmmm . 
_d5941 		there's no pears on Cape Cod ? 
_d5941 		sometimes it seems that way .
_d5941 		the ones on Cape Cod aren't usually organic . 
_d5941 		oh . 
_d5941 		but you know what you need to do is to grow one . 
_d5941 		grow a pear tree . 
_d5941 		well +...
_d5941 		fruit growing on Cape Cod is +... 
_d5941 		not good .
_d5941 		not +//. 
_d5941 		it doesn't  it doesn't work because of +... 
_d5941 		because of fungi and +... 
_d5941 		oh , mmmm+hmmm . 
_d5941 		uh those  some diseases . 
_d5941 		more so even than pests , but +... 
_d5941 		hmmm . 
_d5941 		I know people that have terrible trouble growing apples . 
_d5941 		and even people who +... 
_d5941 		the one guy I know who used to grow apples organically switched over to +... 
_d5941 		hmmm . 
_d5941 		using some kind of te(chnology) +//. 
_d5941 		chemical because it was just impossible . 
_d5941 		here . 
_d5941 		mmmm+hmmm . 
_d5941 		well .
_d5941 		and even in Massachusetts I don't think there's any certified organic (.) apples . 
_d5941 		uh you know  has an apple tree . 
_d5941 		or maybe she does . 
_d5941 		hmmm . 
_d5941 		she doesn't +//. 
_d5941 		I think +... 
_d5941 		I don't know if she actually sells them . 
_d5941 		Naima do you still wanna have your hair cut today ? 
_d5941 		okay . 
_d5941 		do you wanna do it while Grandma  still here ? 
_d5941 		okay . 
_d5941 		Grandma  do we have time to do that after breakfast ? 
_d5941 		yeah .
_d5941 		okay . 
_d5941 		what time is it getting .
_d5941 		eight+forty . 
_d5941 		yeah . 
_d5941 		maybe Grandma  could read you a book while I cut your hair so that your head will stay still . 
_d5941 		what do you think ? 
_d5941 		xxx   .
_d5941 		why ? 
_d5941 		(be)cause you can't move your head when you're getting a haircut because the scissors could +... 
_d5941 		hurt your neck a little bit . 
_d5941 		or they could cut your hair uneven . 
_d5941 		yeah .
_d5941 		xxx   . 
_d5941 		are you gonna put +//. 
_d5941 		the old+fashioned way to cut hair was to put a bowl over your head . 
_d5941 		xxx   .
_d5941 		do you know that ? 
_d5941 		that's funny .
_d5941 		she cuts her son's +//. 
_d5941 		they don't have their hair cut all year long and then +... 
_d5941 		the one son comes up from North Carolina +... 
_d5941 		and she puts a bowl over his head ? 
_d5941 		and she puts a bowl over his head and cuts his hair .
_d5941 		xxx  . 
_d5941 		that's pretty funny .
_d5941 		and that's the only time he gets a haircut .
_d5941 		and how old is he ? 
_d5941 		he is  +... 
_d5941 		I think he's probably older than you . 
_d5941 		oh brother . 
_d5941 		let me think now . 
_d5941 		I think all her +... 
_d5941 		are all her children older than you ? 
_d5941 		no maybe not . 
_d5941 		I didn't think so . 
_d5941 		maybe not .
_d5941 		but clo(se) +//. 
_d5941 		maybe close . 
_d5941 		yeah , you're close in age . 
_d5941 		and she's older than you , right ? 
_d5941 		yeah she just turned eighty or +... 
_d5941 		(a)bout eighty+one . 
_d5941 		mmmm . 
_d5941 		yep [: yes] that was excellent . 
_d5941 		Naima do you want a piece of cheese to eat ? 
_d5941 		for some protein ? 
_d5941 		we don't have any manchego cheese . 
_d5941 		we have cheddar cheese . 
_d5941 		um . 
_d5941 		there's kippers . 
_d5941 		do you want some kippers ? 
_d5941 		or mackerel ? 
_d5941 		got lots_of   on my hands .
_d5941 		I don't think I've had mackerel . 
_d5941 		that's a good idea . 
_d5941 		yeah . 
_d5941 		something frozen with protein ? 
_d5941 		something frozen with +/.
_d5941 		I never heard of that . 
_d5941 		first frozen . 
_d5941 		oh warm it up . 
_d5941 		oh , really ? 
_d5941 		xxx   .
_d5941 		I think that's a good combination . 
_d5941 		that's a good .
_d5941 		I haven't been able to find the mackerel yet . 
_d5941 		let me finish looking for the mackerel . 
_d5941 		Naima did have macaroni and cheese the other day . 
_d5941 		mmmm+hmmm . 
_d5941 		that was a good thing to have for breakfast since it did have protein . 
_d5941 		or maybe we used up the mackerel . 
_d5941 		let me just see . 
_d5941 		I don't know this is taking +... 
_d5941 		xxx . 
_d5941 		you can start on the mackerel while I heat up the macaroni and cheese . 
_d5941 		actually I'd better check +/.
_d5941 		uh  , Naima , guess what . 
_d5941 		there isn't any macaroni and cheese . 
_d5941 		we used it up . 
_d5941 		yeah , I thought we had some but we do +//.
_d5941 		when you ate it for breakfast the other day that was the last one . 
_d5941 		I could make some for you though on the stove . 
_d5941 		okay .
_d5941 		you alright ? 
_d5941 		sit up straight in your chair . 
_d5941 		that'll probably help . 
_d5941 		yeah I think maybe that you wanna sit up straight in your chair .
_d5941 		you're gonna be fine .
_d5941 		xxx   . 
_d5941 		you have a strong gag reflex . 
_d5941 		you're alright . 
_d5941 		you're really gonna be okay . 
_d5941 		nope [: no] you're not gonna do anything . 
_d5941 		yeah .
_d5941 		you're gonna be fine . 
_d5941 		you're gonna be fine . 
_d5941 		yes you are .
_d5941 		do you want some water to drink ? 
_d5941 		plain water ?
_d5941 		(o)kay . 
_d5941 		look the sun went away again .
_d5941 		yeah . 
_d5941 		oh it's hiding . 
_d5941 		it's a hiding sun .
_d5941 		xxx  .
_d5941 		xxx  . 
_d5941 		do you wanna pour your own water this morning ? 
_d5941 		mmmm+(o)kay .
_d5941 		is that mackerel that you cooked +//? 
_d5941 		that's not smoked is it ?
_d5941 		it is smoked mackerel . 
_d5941 		it is smoked ?
_d5941 		yeah . 
_d5941 		where do you get it ?
_d5941 		well actually it's smoked up at that farm . 
_d5941 		oh . 
_d5941 		from  circus in Providence . 
_d5941 		oh okay .
_d5941 		I see . 
_d5941 		I think Whole Foods . 
_d5941 		tomorrow . 
_d5941 		okay , I guess now I finish making macaroni and cheese . 
_d5941 		what  .
_d5941 		some of the what ? 
_d5941 		what ? 
_d5941 		yes . 
_d5941 		I've got some and I'm gonna make cheese sauce to go on it . 
_d5941 		that's what I'll do .
_d5941 		do you know how to make cheese sauce Naima ? 
_d5941 		what is the recipe ?
_d5941 		what's that ? 
_d5941 		no I'm not gonna go away . 
_d5941 		do you need a tissue for your nose ? 
_d5941 		you can use a tissue to blow your nose if you want .
_d5941 		use a tissue . 
_d5941 		are you done with the water ? 
_d5941 		(o)kay , we don't play with +... 
_d5941 		nope [: no] . 
_d5941 		actually +...
_d5941 		you're not allowed to play with your food .
_d5941 		including your water .
_d5941 		including your water . 
_d5941 		gonna wipe your hands on that ? 
_d5941 		there . 
_d5941 		clean up the water that spilled . 
_d5941 		can I taste some of your mackerel ? 
_d5941 		can I have a piece of your mackerel ?
_d5941 		oh I meant to give some to Grandma  . 
_d5941 		that's alright .
_d5941 		no , Naima gave me a piece to taste . 
_d5941 		oh , okay .
_d5941 		the cheese sauce now . 
_d5941 		mmmm .
_d5941 		xxx . 
_d5941 		it's delicious . 
_d5941 		that is delicious . 
_d5941 		I like smoked +//. 
_d5941 		any smoked fish . 
_d5941 		smoked +... 
_d5941 		trout . 
_d5941 		smoked +... 
_d5941 		I like the smoked mackerel . 
_d5941 		and smoked salmon . 
_d5941 		it's delicious . 
_d5941 		mmmm+hmmm .
_d5941 		uh Mom are you +//? 
_d5941 		I don't feel like I've quite offered you enough . 
_d5941 		you know there's some +//. 
_d5941 		there's some low+fat cottage+cheese . 
_d5941 		no no I'm fine . 
_d5941 		xxx  .
_d5941 		I'm fine . 
_d5941 		um . 
_d5941 		bagel . 
_d5941 		yogurt . 
_d5941 		nope [: no] I'm fine . 
_d5941 		apple . 
_d5941 		cardinals come back . 
_d5941 		we haven't seen too many birds . 
_d5941 		there's still 
_d5941 		yeah chickadee .
_d5941 		chow+chickadee .
_d5941 		chow+chickadee ? 
_d5941 		what's a chow+chickadee . 
_d5941 		that's a very good question . 
_d5941 		I think a female blue+jay +... 
_d5941 		either looks exactly like a male blue+jay or is a li(ttle) +//. 
_d5941 		doesn't have quite as bright a color blue . 
_d5941 		cardinals come back . 
_d5941 		that's a really good question though .
_d5941 		yeah . 
_d5941 		I don't know the difference .
_d5941 		hmmm .
_d5941 		I don't know the difference . 
_d5941 		I do know the difference with cardinals . 
_d5941 		the female is half brown . 
_d5941 		basically the female is +//.
_d5941 		but you know what ? 
_d5941 		the juvenile males look kinda [: kind of] like the females . 
_d5941 		oh really .
_d5941 		you can't really tell them apart . 
_d5941 		(be)cause they don't get their +/.
_d5941 		what does juvenile mean ? 
_d5941 		young .
_d5941 		are you a juvenile ? 
_d5941 		child .
_d5941 		are you a juvenile ? 
_d5941 		is that another name +/. 
_d5941 		another word +... 
_d5941 		that means the same thing as child ?
_d5941 		mmmm+hmmm are you wiping your face ? 
_d5941 		playing hide+and+seek .
_d5941 		what ?
_d5941 		cardinals come back . 
_d5941 		bears ? 
_d5941 		xxx    .
_d5941 		xxx . 
_d5941 		to the feeder ? 
_d5941 		where's Claire ?
_d5941 		where is Claire today ? 
_d5941 		there she is . 
_d5941 		xxx   .
_d5941 		where's Claire ? 
_d5941 		I hear a noise . 
_d5941 		there she is . 
_d5941 		where's Claire ?
_d5941 		you know you're getting that all over your face . 
_d5941 		why don't you use this clean (.) Kleenex instead of those +... 
_d5941 		the dirty +... 
_d5941 		lemme [: let me] wipe off . 
_d5941 		gunk all over your face . 
_d5941 		use this clean (.) Kleenex . 
_d5941 		it's a clean Kleenex . 
_d5941 		clean tissue . 
_d5941 		
_d5941 		wait a minute have you seen Claire this morning ? 
_d5941 		xxx I hear her . 
_d5941 		oh who is that that's screaming .
_d5941 		is that Claire that's screaming ?
_d5941 		xxx   .
_d5941 		is Claire here today ?
_d5941 		I haven't seen her today . 
_d5941 		where is she ? 
_d5941 		no I have not seen +/.
_d5941 		she went off to the play+ground with her what ? 
_d5941 		with her Grandma ? 
_d5941 		oh with her friends .
_d5941 		oh .
_d5941 		where is Claire .
_d5941 		there she is . 
_d5941 		where's Grandma  ?
_d5941 		have you seen her ?
_d5941 		maybe she went off to the play+ground with her Granddaughter . 
_d5941 		peek . 
_d5941 		no don't use that one Naima that's +//. 
_d5941 		no you don't but it on the floor but +... 
_d5941 		use the clean Kleenex . 
_d5941 		now are you wiping your face ? 
_d5941 		good . 
_d5941 		
_d5941 		alright .
_d5941 		mmmm it is good . 
_d5941 		
_d5942 		a little piece . 
_d5942 		mmmm . 
