_t4 		oh there's that siren noise . 
_t4 		Daddy reads that to you and you talk a lot about the words in here huh ? 
_t4 		oh yeah there are lots_of words in +... 
_t4 		hey all about me . 
_t4 		these are all the words that describe the parts of the body . 
_t4 		the elbow is a part of his body and your body too . 
_t4 		elbow . 
_t4 		my clothes . 
_t4 		there's lots_of clothes in there . 
_t4 		that's coat or a jacket . 
_t4 		that's an undershirt . 
_t4 		that's a kind of underwear . 
_t4 		what is that you know what that is ? 
_t4 		what  what's that ? 
_t4 		what is that ? 
_t4 		yeah pants . 
_t4 		shaky shaky you were sitting on the shaky egg . 
_t4 		the guy is gonna jump on the top of the letters . 
_t4 		and the motorcycle chicken is jumping on top of the letters . 
_t4 		ooh . 
_t4 		sitting high up in the sky . 
_t4 		what are you sitting now the lion . 
_t4 		and the lion's [: lion is] jumping up everybody's up on top of the letters . 
_t4 		the guy . 
_t4 		everybody's [: everybody is] up there now . 
_t4 		are you driving with fire engine ?
_t4 		all about me . 
_t4 		that is that's glass looks like a glass of milk of cow's milk doesn't it ? 
_t4 		I think that's a glass of cow's milk . 
_t4 		oh on the glass . 
_t4 		let me see . 
_t4 		there's a clown on the glass that's right .
_t4 		shimmy shimmy shimmy . 
_t4 		yeah what color is the car ? 
_t4 		yeah that's right . 
_t4 		oh I think we need to  we need to go start the laundry machine up again so that the diapers will get more dry  wanna help me . 
_t4 		well you can walk over to the +//.
_t4 		no let's walk you can walk . 
_t4 		we'll both walk together .
_t4 		I lift you up if you wanna see what is in there in a minute . 
_t4 		let's go . 
_t4 		can I hold your hand please ? 
_t4 		let's see see there's nothing in the washing machine but the diapers need to go around again because they're not really dry yet . 
_t4 		although the covers are dry . 
_t4 		those are dry . 
_t4 		shimmy shimmy . 
_t4 		what is these all the shimmy shimmy about .
_t4 		wiggle wiggle wiggle . 
_t4 		what's making this +..?
_t4 		wiggle wiggle wiggle . 
_t4 		alright now put that on . 
_t4 		wiggle wiggle wiggle okay .
_t4 		doggy woggy is stuck here . 
_t4 		here maybe he'd like to go on top of the letters container too . 
_t4 		I'll be right there . 
_t4 		Mommy is right here . 
_t4 		let's close this .
_t4 		everybody's [: everybody is] on top of the letters now .
_t4 		oh sweetie . 
_t4 		is that the airplane ? 
_t4 		is there is there a person in that airplane ? 
_t4 		yeah it's got stuck didn't it .
_t4 		just need your hand for a second . 
_t4 		what happened to the airplane did the airplane go shopping to buy yogurt ? 
_t4 		buy cottage cheese . 
_t4 		airplane  hey there are balls under this couch too . 
_t4 		balls were under the sofa . 
_t4 		I don't know where did it go . 
_t4 		there it is . 
_t4 		I have_to get the ball okay .
_t4 		hey here are the animal cards . 
_t4 		but I don't I think the armadillo's [: armadillo is] somewhere else you were so focused on the armadillo . 
_t4 		yeah who's here let's see what animals are here . 
_t4 		I think the armadillo is lost because we +//.
_t4 		actually I think it's in Mommy and Daddy's room but let's see what else is here what other animals are here . 
_t4 		ants yep [: yes] . 
_t4 		I don't know . 
_t4 		playing games with the armadillo ? 
_t4 		yeah . 
_t4 		what's that ? 
_t4 		ants are hiding ,  what's that animal ?
_t4 		do you remember ?
_t4 		well actually it's a porcupine but it looks a little bit like a raccoon . 
_t4 		porcupine . 
_t4 		porcupines live in forests porcupine .
_t4 		you're sitting on your slide . 
_t4 		and what's that ? 
_t4 		it is an animal that bellows . 
_t4 		walrus they live in the ocean . 
_t4 		you're sliding on your slide .
_t4 		are you gonna slide down ?
_t4 		wee . 
_t4 		we  .
_t4 		the guy's gonna slide down too . 
_t4 		does the guy like to slide down ? 
_t4 		whoa . 
_t4 		on his tummy  . 
_t4 		boxes little boxes . 
_t4 		there's a red one and a blue one . 
_t4 		and they're all made out of ticky tacky . 
_t4 		what was that ?
_t4 		it's so windy out can you hear that wind ? 
_t4 		it is so windy .
_t4 		the wood block . 
_t4 		red block . 
_t4 		that's a triangle block isn't it ? 
_t4 		are there shapes in +//.
_t4 		I think there are shapes in here . 
_t4 		can you show me which shape is the triangle ? 
_t4 		where's the triangle ? 
_t4 		yeah that's right . 
_t4 		what's that ? 
_t4 		yeah that's a star . 
_t4 		that's the moon or a crescent . 
_t4 		which that's a rectangle . 
_t4 		that's a heart . 
_t4 		that's a an oval . 
_t4 		where's the circle ? 
_t4 		do you see any circles here ? 
_t4 		where's the circle on this page ? 
_t4 		there's the circle . 
_t4 		do you see any squares ? 
_t4 		yeah that's a square . 
_t4 		that's looks like a square but it's actually a diamond . 
_t4 		it's a diamond . 
_t4 		ya ya ya ya ya bouncing on Mommy my+goodness what are you doing . 
_t4 		yeah  you're really bouncing . 
_t4 		whoa . 
_t4 		and then you're fallin(g) down .
_t4 		whoa  .
_t4 		yeah that's a picture of Daddy . 
_t4 		what ? 
_t4 		show me again . 
_t4 		Daddy and who is he with ? 
_t4 		who is he with ? 
_t4 		yeah Daddy is standing next to Babajee in that picture . 
_t4 		you can have it . 
_t4 		where's the picture of Laura I think that's there we go . 
_t4 		who's that person ? 
_t4 		who's that person ? 
_t4 		yes great grandma . 
_t4 		who's that who's that ? 
_t4 		who's that ? 
_t4 		yeah . 
_t4 		Daddy yeah . 
_t4 		in that picture he's just standing . 
_t4 		oop(s) you stepped on the siren . 
_t4 		xxx . 
_t4 		you're sitting on the siren oh+my+goodness . 
_t4 		where's the alphabet ? 
_t4 		it's the letter V . 
_t4 		and that game with the balls where that goes is also in your bedroom . 
_t4 		I think I'm gonna take all the books and put them allin Naima's room . 
_t4 		can we do that , let's collect all the books into a pile . 
_t4 		and take them into Naima's room are there more books over here ? 
_t4 		uh+oh ball . 
_t4 		well I'm not gonna play that getting the ball game right this minute and here's Naima's tea .
_t4 		right here . 
_t4 		oh  . 
_t4 		did the chicken jump on top of the letters ? 
_t4 		that's a jumping chicken . 
_t4 		oh we have some library books here these are library books let's leave these here . 
_t4 		those books up there belong to the library and we have_to return them . 
_t4 		that's not broken . 
_t4 		I'm gonna take all the books up into your room okay ? 
_t4 		let's go take these can you carry that goodnight book ? 
_t4 		right here . 
_t4 		right here this is the goodnight book . 
_t4 		let's take all the books into your room . 
_t4 		are you gonna carry that book for me ? 
_t4 		where's the goodnight book Naima . 
_t4 		can you +...
_t4 		can you bring it it's over there . 
_t4 		are you gonna bring your cards  . 
_t4 		you can bring the cards that's fine . 
_t4 		we gonna take these all into your room and put them in the book case where is Naima ? 
_t4 		okay .
_t4 		Mommy's right here .
_t4 		Mommy's [: Mommy is] putting books in your book case . 
_t4 		that's what I'm doing . 
_t4 		these are Mommy's books . 
_t4 		we're gonna bring those into Mommy and Daddy's room . 
_t4 		that is the jaguar . 
_t4 		the jaguar in that picture is standing on a tree standing on a tree . 
_t4 		is that what you're doing are you pretending to stand on a tree ? 
_t4 		look at all these cards wow . 
_t4 		corduroy book here's corduroy right there . 
_t4 		I don't know you're gonna hafta find the jaguar . 
_t4 		that is a pig . 
_t4 		well I don't know what the pig's name is . 
_t4 		where did the jaguar go I don't know you'll have_to look for the jaguar . 
_t4 		oh jaguar where are you you just had him a minute ago . 
_t4 		there here here he is . 
_t4 		that's a jaguar . 
_t4 		right there that's the jaguar . 
_t4 		you're breaking the cards I wouldn't do that I don't think that's such a good idea . 
_t4 		are those the ants ? 
_t4 		oh yeah . 
_t4 		that's the pig . 
_t4 		yeah those are koalas right .
_t4 		is that what a koala says ? 
_t4 		what does a  I have no idea what a kookaburra says . 
_t4 		we'll hafta +...
_t4 		we can ask Mark what a kookaburra says . 
_t4 		maybe a kookaburra says let's have tea . 
_t4 		oh the library books I left them in the living room so that we can remember to take back and return them . 
_t4 		xxx . 
_t4 		oh  . 
_t4 		going this room well these are the +... 
_t4 		hello . 
_t4 		
_t4 		
_t4 		not a holiday for you ? 
_t4 		
_t4 		
_t4 		no idea shoulda let me know come on in . 
_t4 		
_t4 		it's actually easier (be)cause I don't wanna go down with her +... 
_t4 		
_t4 		if you come in this way and go down .
_t4 		
_t4 		okay . 
_t4 		
_t4 		yeah that's fine .
_t4 		
_t4 		good morning .
_t4 		
_t4 		
_t4 		xxx I had no idea .
_t4 		
_t4 		sure .
_t4 		
_t4 		okay .
_t4 		they have hats he has a hat . 
_t4 		you saw Peter yeah . 
_t4 		he said hi to you . 
_t4 		he did say hi didn't he . 
_t4 		yeah . 
_t4 		okay .
_t4 		I think we're gonna have_to stop recording actually . 
_t4 		it's all+right it's all+right .
_t4 		yeah I'm gonna  .
_t4 		is spot drawing something ? 
_t4 		spot is drawing . 
_t4 		yeah yeah let's read that book (be)cause I wanna [: want to] count it looks like there's numbers in that book . 
_t4 		not quite done yet .
_t4 		there . 
_t4 		let's go over here and read this book . 
_t4 		little dog laughed to see such sport and the +...
_t4 		little dog laughed to see such sport . 
_t4 		dish ran away with the spoon  . 
_t4 		okay .
_t4 		I'm gonna put this off for a minute . 
_t4 		where's the armadillo ? 
_t4 		did you hide him again ? 
_t4 		here's the armadillo . 
_t4 		do you wanna read this spot book ?
_t4 		what's that ? 
_t4 		yeah what's he doing ? 
_t4 		there's one son .
_t4 		I see the armadillo . 
_t4 		where's the grasshopper ? 
_t4 		grasshopper . 
_t4 		yes that's the grasshopper . 
_t4 		where's the where (a)re the ants ? 
_t4 		where are the ants ? 
_t4 		what else is in those cards what other +//? 
_t4 		yeah there's a panda bear . 
_t4 		what is that panda bear doing ? 
_t4 		standing eating bamboo . 
_t4 		yummy . 
_t4 		where's the armadillo ? 
_t4 		xxx hiding behind the panda . 
_t4 		where did the armadillo go ? 
_t4 		is that the armadillo ? 
_t4 		is he hiding behind the panda ? 
_t4 		well I don't know but I see a fox here . 
_t4 		fox is right here the fox is hiding behind the grasshoppers . 
_t4 		fox . 
_t4 		Eliza ? 
_t4 		what ? 
_t4 		you're mixing up the song with the game with the cards . 
_t4 		the song is Eliza Jane . 
_t4 		where did the armadillo go ? 
_t4 		ahh here's the armadillo right here . 
_t4 		there's there's her tail . 
_t4 		she has a tail . 
_t4 		it might be Daddy . 
_t4 		but we already talked to Daddy once so I'm not sure it's Daddy . 
_t4 		hello ? 
_t4 		hello ? 
_t4 		oh God . 
_t4 		ah: .
_t4 		stupid prerecorded +/.
_t4 		where did the armadillo go ?
_t4 		is that armadillo hiding again ? 
_t4 		she's always hiding somewhere . 
_t4 		I can never find her .
_t4 		she hides she likes to +...
_t4 		where ? 
_t4 		over there ?
_t4 		oh there she is . 
_t4 		where's her where is she ? 
_t4 		did she go to the bathroom ? 
_t4 		did the armadillo go to the bathroom ? 
_t4 		xxx there she is . 
_t4 		there's the armadillo . 
_t4 		armadillo_b armadillo_a . 
_t4 		oh there's the panda . 
_t4 		xxx panda doing ? 
_t4 		there's the armadillo she's right there . 
_t4 		I don't know where is the armadillo ? 
_t4 		what's the top doing there ? 
_t4 		what're the grapes doing there ? 
_t4 		oh it's a person . 
_t4 		the person is the person you use for playing the odd game and here's another person . 
_t4 		Daddy called it the odd game . 
_t4 		are these grapes ?
_t4 		I'm throwing them up in the air and then I'm catching them . 
_t4 		again . 
_t4 		throwing up .
_t4 		throwing up . 
_t4 		throwing the grapes up in the air .
_t4 		up in the air .
_t4 		up in the air .
_t4 		throwing the  grapes up in the air .
_t4 		yes you hit the bug with those grapes .
_t4 		I don't know where the armadillo went . 
_t4 		where did the armadillo go ? 
_t4 		I'm busy counting these .
_t4 		one two three four five six seven eight . 
_t4 		they're eight sticks there  . 
_t4 		is she hiding ? 
_t4 		is she hiding from me ? 
_t4 		xxx .
_t4 		there she is . 
_t4 		Naima what did we do today who did we go and see ? 
_t4 		Cindy and who else did we see ? 
_t4 		xxx and who else was there ?
_t4 		yep [: yes] .
_t4 		and was there a man ? 
_t4 		yes it was  Daddy was also there for a little bit . 
_t4 		did we did we ride our bicycles there ? 
_t4 		did we ride our bicycles to  house ? 
_t4 		no what did we do how did we get there ?
_t4 		how did we get how did we get to  house ?
_t4 		how did we get to  house ? 
_t4 		oh we brought our dinosaurs there did you share with him ? 
_t4 		you shared them with him .
_t4 		I think that lid goes on that container over there . 
_t4 		do you think so ?
_t4 		this one it's the same color . 
_t4 		you know how to put it on yourself you just put it on . 
_t4 		good job . 
_t4 		you put that on all by yourself . 
_t4 		ahh this is a wheel .
_t4 		I'm gonna take all the things that make musical noises and put them in one spot . 
_t4 		all the rattles .
_t4 		you slipped on the cards all the rattles and the shaky egg and this star fish is kind of a rattle too then I'm gonna put all the animals that move around in another spot . 
_t4 		oh here she is she was hiding Naima . 
_t4 		where did she go ? 
_t4 		there she is . 
_t4 		you want me to get the armadillo ?
_t4 		here she is . 
_t4 		what's that you have what's that what is that ? 
_t4 		thank you . 
_t4 		I think I will fold this ribbons and put them in the container . 
_t4 		you wanna have them ? 
_t4 		this one is very soft (.) and silky  . 
_t4 		you're putting a ribbon on you head .
_t4 		shaky egg's [: egg is] over here see the blue shaky egg is right there . 
_t4 		where did the armadillo go ? 
_t4 		there she is I think I'm gonna put this blocks in with the other blocks . 
_t4 		hmmm you're getting even more teeth Naima getting more teeth you already just got two new ones . 
_t4 		oops sorry that must koalas koalas aren't bears are they . 
_t4 		we learn that in that book about bears the we returned to the library . 
_t4 		at the library because we returned them already . 
_t4 		well the library's not open right now . 
_t4 		I'm gonna put this blocks with the other blocks now .
_t4 		I'll be right back . 
_t4 		what ? 
_t4 		there's a lego .
_t4 		where's the lego ? 
_t4 		where did the armadillo willo go ? 
_t4 		yes . 
_t4 		I don't   there she is look . 
_t4 		there she is and there is the spider hello spider I don't think that's good to eat is it ? 
_t4 		you have the spider in your hand . 
_t4 		where did the airplane go ? 
_t4 		I don't know I was wondering where the airplane went . 
_t4 		if you're happy and you know it clap your hands .
_t4 		if you're happy and you know it clap your hands .
_t4 		if you're happy and you know it and you really wanna show it .
_t4 		if you're happy and you know it jump up and down . 
_t4 		if you're happy and you know it touch you nose . 
_t4 		if you're happy and you know it +//.
_t4 		okay you're dancing very nicely too . 
_t4 		we'll put Liza on just a minute . 
_t4 		koalas aren't bears . 
_t4 		but koalas do live in trees . 
_t4 		they do like to spend a lot of time in trees . 
_t4 		koala are marsupials . 
_t4 		marsupials . 
_t4 		kangaroos are marsupials .
_t4 		and I think lemurs are marsupials . 
_t4 		lemurs lemurs were in that same book we've returned to library already . 
_t4 		marsupials . 
_t4 		yeah . 
_t4 		cassowary cassowary crocodile crocodile cassowary cassowary .
_t4 		cassowary .
_t4 		cassowary did you hear the word cassowary ? 
_t4 		mmmm you have the armadillo card .
_t4 		I have the koalas right here . 
_t4 		here's the koala picture . 
_t4 		you wanna take it ? 
_t4 		you can take the armadillo .
_t4 		I'm just gonna turn the music down a little bit .
_t4 		you wanna hear Eliza again ?
_t4 		I'm just put it down down very low . 
_t4 		where's that armadillo ?
_t4 		today's Tuesday I think it's the fifteenth of October .
_t4 		there's the armadillo . 
_t4 		I'm gonna be putting the toys away and the cards and the wallet  I'm gonna put things in your wallet Naima .
_t4 		are you gonna put the koala in there ? 
_t4 		what a great idea . 
_t4 		oh it fits too . 
_t4 		the koala fits in your wallet . 
_t4 		hay .
_t4 		are you dancing ? 
_t4 		what is this song about what are they talking about ? 
_t4 		boomshakalaka  (boomshaka)laka what are the words here ? 
_t4 		streets go up and go down . 
_t4 		I don't know where the armadillo is . 
_t4 		xxx way over there ? 
_t4 		oh dear .
_t4 		get the armadillo okay . 
_t4 		east or west . 
_t4 		west the taxi cab is the best +... 
_t4 		riding east or west . 
_t4 		bouncing on the bus take a ride with us . 
_t4 		what's that ? 
_t4 		oh good piece of brick . 
_t4 		boom boom boom yeah it's from the fireplace . 
_t4 		we'll talk to Daddy about fixing that I think . 
_t4 		meanwhile let's put this here . 
_t4 		here's the armadillo Naima . 
_t4 		a brick . 
_t4 		it's piece of brick . 
_t4 		yeah you gave it to me thank you that was the right thing to do . 
_t4 		oh you know what that juice is from last night let me get you your water okay ? 
_t4 		hey can we put the dinosaurs back ? 
_t4 		yeah that's what I meant I meant playing with the dinosaurs .
_t4 		what ? 
_t4 		you know who's coming home today ? 
_t4 		who's coming home today ? 
_t4 		do you know who's coming home today ? 
_t4 		yes . 
_t4 		he is he is coming home today . 
_t4 		let's put these away . 
_t4 		he's gonna see you and say hi boo boo . 
_t4 		yes the dinosaurs go there . 
_t4 		are you ?
_t4 		brachiosaurus ? 
_t4 		um  I don't know that's a good question where is the brachiosaurus ? 
_t4 		missing . 
_t4 		I see the brachiosaurus over here .
_t4 		what did you remember what  called this dinosaur ? 
_t4 		he thought it looked like a goose because of the neck . 
_t4 		xxx called it the goose . 
_t4 		Daddy's [: Daddy is] gonna play with you when gets home today . 
_t4 		oh you right . 
_t4 		okay let's do it together can you help here you do it too there who's that ? 
_t4 		who's he ? 
_t4 		it might be a she that's right Mommy said it might be a she .
_t4 		who what's what's the name of that dinosaur though ? 
_t4 		do you remember ? 
_t4 		tyrannosaurus+rex ? 
_t4 		rex . 
_t4 		don't forget him or her . 
_t4 		it might be a she . 
_t4 		yes I'm spinning the bead . 
_t4 		oh which one are we doing it together tyrannosaurus+rex okay . 
_t4 		let's hold it . 
_t4 		it might be a she you wanna hold it with me there . 
_t4 		you're taking him out ? 
_t4 		oh we didn't forget we're just leaving him out I guess . 
_t4 		he's upside down yes that's right you wanna turn him upside down so that he's right side up . 
_t4 		oh I didn't mean that way I'm sorry I meant like this so that his head goes in this spot . 
_t4 		his head goes there . 
_t4 		oh triceratops goes right there that's right triceratops . 
_t4 		triceratops . 
_t4 		I +//.
_t4 		I think we didn't forget him .
_t4 		one more hey you did it Naima good job . 
_t4 		brachiosaurus rex ? 
_t4 		Mama is putting the toys away actually . 
_t4 		I don't know where armadillo willo is but here's another dinosaur who got lost he was lost over there . 
_t4 		where did he go can you put find him right place for him . 
_t4 		where does he go ?
_t4 		he goes right there . 
_t4 		oh the pteradon goes there .
_t4 		remember we couldn't find the pteradon when we were leaving  house we left the pteradon at  house there's a dinosaur over there though . 
_t4 		I think that's the spinosaurus upside down right there near the water . 
_t4 		where's the spinosaur(us) , where do you think he goes ? 
_t4 		maybe let see let's look at him . 
_t4 		I think maybe it goes up here .
_t4 		mmmm+hmmm . 
_t4 		we go we go up there and here's another dinosaur . 
_t4 		and nobody's turned on , let's turn you on . 
_t4 		baby is f+one . 
_t4 		Mommy is f+two . 
_t4 		a baby_a . 
_t4 		oh , baby's battery is dead . 
_t4 		that's what's going on , okay . 
_t4 		okie+dokie . 
_t4 		let's give baby a new battery . 
_t4 		battery . 
_t4 		okay , where are the batteries ? 
_t4 		baby needs a new +...
_t4 		getting a fresh battery . 
_t4 		more food ?
_t4 		okay . 
_t4 		okay , be do be do be . 
_t4 		Mommy can't get that +...
_t4 		thing closed . 
_t4 		yes honey ?
_t4 		what ? 
_t4 		what d'ya [: did you] say there ? 
_t4 		oh , that looks like a toy doesn't it , it's not a toy . 
_t4 		it's not a toy .
_t4 		xxx . 
_t4 		now +... 
_t4 		this one baby . 
_t4 		all+right .
_t4 		yes baby ? 
_t4 		look , you have some rice there . 
_t4 		rice , rice , rice . 
_t4 		rice , rice , rice , the baby's eating rice . 
_t4 		rice , rice , rice now . 
_t4 		xxx Mommy is f+two . 
_t4 		all+righty . 
_t4 		where's the witch ? 
_t4 		let's see . 
_t4 		where's the witch ? 
_t4 		oh , you're right !
_t4 		that's the witch . 
_t4 		I just need your hand for a second . 
_t4 		the +//.
_t4 		you know what , there's more than one witch in there . 
_t4 		I need this hand too . 
_t4 		there's several witches in there . 
_t4 		did you know that ? 
_t4 		that's a tiger . 
_t4 		those children are dressed up like tigers for Halloween . 
_t4 		let's look at that +...
_t4 		name ? 
_t4 		that's the witch . 
_t4 		find the bee , okay let's sit down here and look at that . 
_t4 		I will find the bee for you . 
_t4 		let me see +//.
_t4 		that's a witch too ! 
_t4 		here , sit down , let's look at this . 
_t4 		what's that ? 
_t4 		that's a puppy dog , that's a child dressed up like a puppy dog for Halloween . 
_t4 		that's a spider+witch . 
_t4 		she's dressed up like a spanish dancer , I think they mean a flamenco dancer . 
_t4 		a flamenco dancer . 
_t4 		that boy is dressed up like a bandit ! 
_t4 		she's a witch . 
_t4 		what else is here ? 
_t4 		oh , there's the musketeer ! 
_t4 		xxx . 
_t4 		you were looking for him . 
_t4 		what is it ? 
_t4 		right . 
_t4 		that kid ?
_t4 		that's sort of like a clown . 
_t4 		that kid's dressed up like a clown +... 
_t4 		for Halloween . 
_t4 		he's dressed up like a gangster . 
_t4 		she is a +... 
_t4 		that dress is called a kimono . 
_t4 		you mean what is that called ? 
_t4 		with lots_of spots .
_t4 		she's a villainess +//. 
_t4 		oh I see , she's supposed to be Glenn Close . 
_t4 		xxx what else is here +//? 
_t4 		there's another witch !
_t4 		you see that witch , she's got a big hat , that witch . 
_t4 		can I see it , I can't see it too well . 
_t4 		what is that baby dressed like ? 
_t4 		dressed like . 
_t4 		that baby is dressed up like a pumpkin . 
_t4 		a pumpkin ! 
_t4 		that's a picture of a pumpkin . 
_t4 		that's a kid wearing a funny black hat . 
_t4 		that child is dressed up like a cat . 
_t4 		a black cat . 
_t4 		oh , did you tell Daddy about where we went yesterday in the escalator ? 
_t4 		tell Daddy about the escalator . 
_t4 		we went up the escalator at the store just like Corduroy [?] . 
_t4 		and what did we find up there ? 
_t4 		beds ! 
_t4 		beds !
_t4 		lots_of little beds , just like in the Corduroy story . 
_t4 		lots_of beds . 
_t4 		wow . 
_t4 		was this in the mall ? 
_t4 		wow . 
_t4 		Naima rode on the escalator by herself . 
_t4 		what ? 
_t4 		by herself ? 
_t4 		standing . 
_t4 		oh my God !
_t4 		that's a red dog . 
_t4 		what did we buy in the store ?
_t4 		tell Daddy , he wasn't there , he doesn't know . 
_t4 		did you hear that ? 
_t4 		seats ? 
_t4 		tell him again . 
_t4 		sheets ?
_t4 		who did +//?
_t4 		who did we buy them for ? 
_t4 		oh_a . 
_t4 		who did we buy those for ? 
_t4 		I think I know . 
_t4 		who were the sheets for ? 
_t4 		do you remember ?
_t4 		Naima , Daddy's asking you . 
_t4 		that's Bob the builder . 
_t4 		were they for  ? 
_t4 		yes_b . 
_t4 		yes_b . 
_t4 		that is +...
_t4 		some animal . 
_t4 		what color is that costume ? 
_t4 		looks like a puppy dog , doesn't it ? 
_t4 		another puppy dog . 
_t4 		what are you gonna be for Halloween , what are you gonna dress up as ? 
_t4 		what's you +...
_t4 		a bee , and who made the costume for you ? 
_t4 		yes , Grandma  made it for you . 
_t4 		oh , there is , there is a bee in here actually , let's find that +... 
_t4 		what's Mommy gonna dress up as for Halloween ? 
_t4 		what's my costume , d'ya [: do you] know ? 
_t4 		yes , Mommy is a bee also . 
_t4 		great+grandma is also a bee . 
_t4 		and Grandma  is also a bee . 
_t4 		yeah , that is a bear . 
_t4 		xxx  , it's time to say bye+bye to Daddy . 
_t4 		you wanna give him a kiss bye+bye ? 
_t4 		yeah , mmmm+hmmm .
_t4 		no ?
_t4 		this talk I have_to  .
